,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,new_addition,go_id,updated_github_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
85,IHaskell,A Haskell kernel for IPython.,https://github.com/gibiansky/IHaskell,,kernels,21,True,gibiansky/IHaskell,,,https://github.com/gibiansky/IHaskell,2013-08-26 07:16:09.000000,2021-05-02 11:31:56.000000,2021-05-02 11:31:49.000000,233.0,39.0,658.0,2242.0,1892.0,2018-08-01 13:12:37.900000,0.0.5,,21.0,5.0,4.0,4.0,100.0,,MIT,,,,,,,2.0,,,,,,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,2018-08-01 13:12:37.900000,,21.0,,,,,,,,,,
86,IRkernel,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,21,True,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2021-05-06 06:07:26.279191,2021-02-10 10:22:01.000000,282.0,47.0,493.0,1428.0,577.0,2020-07-20 12:11:32.000000,1.1.1,,4380.0,15.0,,,38.0,,MIT,,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,33795.0,2.0,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2021-05-06 06:07:26.279191,38.0,340936.0,,,,,,,,,,,IRkernel,,,,
87,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,21,True,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000000,2021-05-01 14:37:15.000000,2021-04-10 13:03:02.000000,73.0,26.0,111.0,778.0,163.0,2021-04-10 13:07:39.934000,3.0.9,,16604.0,11.0,3.0,3.0,16.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2021-04-10 13:07:39.934000,,16604.0,,,,,,,,,,
88,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,21,False,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000000,2021-03-10 10:08:52.000000,2017-11-16 19:29:56.000000,86.0,39.0,29.0,768.0,264.0,2017-11-16 17:59:43.000000,1.5.1,,5107.0,26.0,166.0,118.0,7.0,https://pypi.org/project/notedown,BSD-2-Clause,2017-11-16 17:59:43.000000,48.0,4204.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567000,31617.0,3.0,,,,,,,,,,,,,,,,,,,,
89,pivottablejs,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook, care of PivotTable.js.",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,21,False,nicolaskruchten/jupyter_pivottablejs,pivottablejs,,https://github.com/nicolaskruchten/jupyter_pivottablejs,2015-09-09 13:39:18.000000,2018-12-04 14:43:26.000000,2018-12-04 14:43:25.000000,58.0,16.0,37.0,433.0,32.0,2018-01-15 18:14:37.000000,0.9.0,,8261.0,10.0,196.0,162.0,3.0,https://pypi.org/project/pivottablejs,MIT,2018-01-15 18:14:37.000000,34.0,8261.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,
90,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,21,True,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000000,2021-04-02 15:15:15.000000,2021-04-02 15:15:07.000000,36.0,15.0,113.0,433.0,353.0,2021-04-02 15:07:25.000000,1.4.10,,25250.0,54.0,2.0,,30.0,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-04-02 15:07:25.000000,2.0,13867.0,,,,2.0,,,,,,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2021-04-02 15:06:23.719000,,11383.0,,,,,,,,,,
91,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,21,False,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000000,2021-04-19 20:41:31.000000,2020-04-30 08:50:34.000000,56.0,67.0,48.0,414.0,282.0,2020-04-30 08:53:17.000000,0.4.4,,13495.0,21.0,21.0,3.0,8.0,https://pypi.org/project/ipysheet,MIT,2020-04-30 08:53:17.000000,18.0,9462.0,https://anaconda.org/conda-forge/ipysheet,2020-10-12 16:07:52.593000,32123.0,3.0,,,,,,ipysheet,https://www.npmjs.com/package/ipysheet,2020-04-30 08:49:24.146000,,2886.0,,,,,,,,,,
92,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,oschuett/appmode,appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-04-26 19:20:13.000000,2021-04-26 19:20:06.000000,61.0,3.0,49.0,366.0,96.0,2020-06-09 08:23:50.000000,0.8.0,,5092.0,16.0,292.0,254.0,8.0,https://pypi.org/project/appmode,MIT,2020-06-09 08:23:50.000000,38.0,2395.0,https://anaconda.org/conda-forge/appmode,2021-01-24 17:12:41.412000,113314.0,2.0,,,,,,,,,,,,,,,,,,,,
93,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,21,True,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000000,2021-04-29 13:58:22.000000,2021-04-29 13:58:21.000000,56.0,28.0,25.0,228.0,147.0,2021-04-29 13:47:38.000000,0.6.0,,29000.0,4.0,28.0,28.0,15.0,https://pypi.org/project/jupyter-resource-usage,BSD-2-Clause,2021-04-29 13:31:58.000000,0.0,10727.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946000,255825.0,2.0,,,,,,,,,,,,,,,,,,,,
94,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,21,True,SamLau95/nbinteract,nbinteract,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000000,2021-04-19 19:56:44.000000,2021-04-15 20:39:36.000000,22.0,43.0,41.0,198.0,590.0,2021-01-05 06:47:54.000000,0.2.6,,7873.0,37.0,38.0,1.0,8.0,https://pypi.org/project/nbinteract,BSD-3-Clause,2021-01-05 06:47:54.000000,37.0,7873.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
