,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,trending,conda_dependent_project_count,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
135,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,20,True,lckr-jupyterlab-variableinspector,lckr/jupyterlab-variableInspector,conda-forge/jupyterlab-variableinspector,https://github.com/lckr/jupyterlab-variableInspector,BSD-3-Clause,2018-06-13 18:16:02.000,2022-08-01 14:06:03.000000,2022-08-01 14:06:03,166.0,,83.0,26.0,89.0,45.0,116.0,939.0,2021-04-10 13:07:39.934,3.0.9,,16362.0,11.0,3.0,3.0,18.0,https://pypi.org/project/lckr-jupyterlab-variableinspector,2021-04-10 13:07:22.000,,9944.0,https://anaconda.org/conda-forge/jupyterlab-variableinspector,2021-04-10 15:26:15.988,9070.0,2.0,,,,,,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2021-04-10 13:07:39.934,,5941.0,,,,,,,,,,,,
136,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,20,True,jupyterlab_latex,jupyterlab/jupyterlab-latex,conda-forge/jupyterlab-latex,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2022-10-27 20:37:14.000000,2022-08-18 09:17:14,436.0,4.0,64.0,13.0,115.0,30.0,55.0,533.0,2021-09-15 15:34:35.000,3.1.0,,5556.0,16.0,3.0,2.0,22.0,https://pypi.org/project/jupyterlab_latex,2021-09-15 15:34:16.000,1.0,4263.0,https://anaconda.org/conda-forge/jupyterlab-latex,2021-09-15 23:50:03.130,6241.0,2.0,,,,,,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,2021-07-06 17:15:27.404,,1092.0,,,,,,,,,,,,
137,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,20,True,jupyterlab-katex,jupyterlab/jupyter-renderers,conda-forge/jupyterlab-vega3,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2022-10-17 08:45:22.000000,2022-07-08 08:01:04,556.0,,73.0,34.0,181.0,39.0,71.0,448.0,2022-01-17 16:38:22.000,3.3.0,,1710.0,30.0,1.0,1.0,27.0,https://pypi.org/project/jupyterlab-katex,2022-01-17 16:38:22.000,,153.0,https://anaconda.org/conda-forge/jupyterlab-vega3,2022-01-18 08:04:45.123,1829.0,2.0,,,,,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2021-03-11 21:19:20.467,,1466.0,,,,,,,,,,,,
138,Matlab Kernel,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,20,True,matlab_kernel,calysto/matlab_kernel,conda-forge/matlab_kernel,https://github.com/Calysto/matlab_kernel,BSD-3-Clause,2015-01-31 12:51:06.000,2022-09-28 16:30:18.373000,2022-05-09 10:21:01,216.0,,74.0,23.0,33.0,26.0,104.0,443.0,2022-05-09 10:21:42.000,0.17.1,,4384.0,56.0,5.0,,18.0,https://pypi.org/project/matlab_kernel,2022-05-09 10:21:12.000,5.0,3412.0,https://anaconda.org/conda-forge/matlab_kernel,2022-09-28 16:30:18.373,23331.0,2.0,,,,,,,,,,,,,,,,,,,,,,
139,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,20,True,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,BSD-3-Clause,2016-11-07 14:08:25.000,2022-04-19 19:03:10.872000,2022-04-04 19:36:18,182.0,,39.0,23.0,32.0,19.0,24.0,414.0,2022-04-19 10:58:08.000,2.0.3,,1723.0,8.0,32.0,29.0,3.0,https://pypi.org/project/nbtutor,2022-04-19 10:58:08.000,3.0,94.0,https://anaconda.org/conda-forge/nbtutor,2022-04-19 19:03:10.872,115696.0,3.0,,,,,,,,,,,,,,,,,,,,,,
140,Octave Kernel,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,20,True,octave_kernel,calysto/octave_kernel,conda-forge/octave_kernel,https://github.com/Calysto/octave_kernel,BSD-3-Clause,2014-07-31 01:59:06.000,2022-08-21 18:36:02.000000,2022-08-21 18:36:02,415.0,6.0,61.0,25.0,48.0,30.0,143.0,410.0,2022-03-31 08:36:27.000,0.34.2,50.0,14921.0,112.0,7.0,,18.0,https://pypi.org/project/octave_kernel,2022-03-31 08:36:20.000,7.0,8721.0,https://anaconda.org/conda-forge/octave_kernel,2022-03-31 10:34:34.891,440218.0,2.0,,,,,,,,,,,,,,,,,,,,,,
141,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,20,True,jupyterlab-github,jupyterlab/jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2022-09-05 16:32:10.000000,2022-09-05 14:24:06,238.0,5.0,98.0,27.0,77.0,23.0,37.0,340.0,2021-11-27 17:02:34.000,3.0.1,,2999.0,23.0,4.0,2.0,16.0,https://pypi.org/project/jupyterlab-github,2021-11-27 16:59:30.000,2.0,1369.0,,,,2.0,,,,,,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2021-11-27 16:51:25.639,,1630.0,,,,,,,,,,,,
142,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/jpmorganchase/jupyterlab_templates,,lab-extensions,20,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/jpmorganchase/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2022-10-30 05:36:31.000000,2022-08-25 14:05:40,332.0,4.0,52.0,13.0,91.0,10.0,71.0,315.0,2021-03-28 03:28:25.639,0.3.1,,8332.0,24.0,4.0,4.0,14.0,https://pypi.org/project/jupyterlab_templates,2019-06-30 05:07:41.000,,5062.0,https://anaconda.org/conda-forge/jupyterlab_templates,2021-03-28 15:22:13.818,7669.0,2.0,,,,,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2021-03-28 03:28:25.639,,3015.0,,,,,,,,,,,,
143,naas,"Schedule notebooks, run them like APIs, expose securely your assets: Jupyter as a viable Production environment.",https://github.com/jupyter-naas/naas,,notebook-tools,20,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,AGPL-3.0,2020-09-20 17:09:00.000,2022-11-01 15:40:29.000000,2022-11-01 15:29:33,1757.0,44.0,20.0,1.0,203.0,31.0,121.0,215.0,2022-11-01 10:55:36.255,2.8.0,,3949.0,550.0,3.0,3.0,18.0,https://pypi.org/project/naas,2022-07-07 10:58:01.000,,3949.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
144,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,20,True,jupyterhub-ltiauthenticator,jupyterhub/ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,BSD-3-Clause,2017-12-15 02:54:15.000,2022-11-01 00:03:42.000000,2022-10-18 02:31:53,282.0,4.0,43.0,5.0,80.0,5.0,34.0,56.0,2021-11-15 20:11:03.000,1.3.0,,3448.0,8.0,91.0,82.0,15.0,https://pypi.org/project/jupyterhub-ltiauthenticator,2021-11-15 20:11:03.000,9.0,3448.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
