,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
136,JupyterLab IFrame,View html as an embedded iframe in JupyterLab.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,20,True,jupyterlab_iframe,timkpaine/jupyterlab_iframe,conda-forge/jupyterlab_iframe,https://github.com/timkpaine/jupyterlab_iframe,2018-03-12 02:34:47.000,2021-12-12 18:40:39.000000,2021-12-12 18:40:39,224.0,24.0,15.0,3.0,38.0,8.0,58.0,77.0,2021-11-30 04:16:27.000,0.4.1,,1729.0,22.0,11.0,3.0,5.0,https://pypi.org/project/jupyterlab_iframe,Apache-2.0,2019-06-29 16:55:52.000,8.0,606.0,https://anaconda.org/conda-forge/jupyterlab_iframe,2021-11-30 15:57:17.463,4460.0,2.0,,,,,,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,2021-11-30 04:17:10.018,,911.0,,,,,,,,,,,
137,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,20,False,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53,266.0,,7.0,5.0,35.0,3.0,6.0,28.0,2021-01-04 10:18:03.000,4.2.0,,69634.0,16.0,456.0,432.0,5.0,https://pypi.org/project/ipydatawidgets,BSD-3-Clause,2021-01-04 10:18:03.000,24.0,66765.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012,126278.0,3.0,,,,,,,,,,,,,,,,,,,,,
138,xeus-cling,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,True,,jupyter-xeus/xeus-cling,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,2017-04-20 15:35:44.000,2022-01-17 13:34:34.000000,2022-01-17 13:34:34,472.0,1.0,217.0,58.0,192.0,124.0,113.0,2074.0,,,,3530.0,15.0,,,20.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/xeus-cling,2022-01-03 09:56:29.611,134142.0,2.0,,,,,,,,,,,,,,,,,,,,,
139,Bash Kernel,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,19,False,bash_kernel,takluyver/bash_kernel,conda-forge/bash_kernel,https://github.com/takluyver/bash_kernel,2014-06-27 00:27:25.000,2021-11-16 13:29:31.555000,2019-07-22 16:06:53,86.0,,109.0,23.0,25.0,37.0,53.0,568.0,2019-07-22 16:07:09.000,0.7.2,2838.0,7076.0,10.0,27.0,,13.0,https://pypi.org/project/bash_kernel,BSD-3-Clause,2019-07-22 16:07:09.000,27.0,5577.0,https://anaconda.org/conda-forge/bash_kernel,2021-11-16 13:29:31.555,42316.0,2.0,,,,,,,,,,,,,,,,,,,,,
140,jupyter-tensorboard,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,19,False,jupyter-tensorboard,lspvic/jupyter_tensorboard,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000,2022-01-29 11:18:07.000000,2020-02-16 06:42:48,69.0,,69.0,18.0,9.0,41.0,29.0,450.0,2020-02-16 07:15:03.000,0.2.0,,3014.0,19.0,31.0,,4.0,https://pypi.org/project/jupyter-tensorboard,MIT,2020-02-16 07:15:03.000,31.0,3014.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
141,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,19,True,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,2016-11-07 14:08:25.000,2022-01-22 05:41:18.000000,2021-07-29 16:32:39,177.0,,36.0,20.0,22.0,19.0,13.0,395.0,2016-12-23 13:07:38.000,1.0.4,,1534.0,5.0,26.0,23.0,3.0,https://pypi.org/project/nbtutor,BSD-3-Clause,2016-12-23 13:07:38.000,3.0,,https://anaconda.org/conda-forge/nbtutor,2021-11-16 20:29:38.101,95109.0,3.0,,,,,,,,,,,,,,,,,,,,,
142,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,19,True,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,2016-12-17 01:40:45.000,2022-01-22 04:28:13.000000,2021-08-10 23:33:46,513.0,,71.0,37.0,107.0,40.0,65.0,356.0,2020-05-27 00:10:19.202,2.0.0,,2000.0,32.0,2.0,2.0,15.0,,BSD-3-Clause,,,,,,,2.0,,,,,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,2020-05-27 00:10:19.202,,2000.0,,,,,,,,,,,
143,itables,Pandas DataFrames as Interactive DataTables.,https://github.com/mwouts/itables,,widgets,19,True,itables,mwouts/itables,conda-forge/itables,https://github.com/mwouts/itables,2019-04-15 22:09:44.000,2022-01-29 21:32:22.000000,2022-01-24 23:44:14,110.0,25.0,20.0,6.0,25.0,6.0,27.0,256.0,2022-01-24 23:49:51.000,0.4.5,,63.0,12.0,100.0,94.0,3.0,https://pypi.org/project/itables,MIT,2022-01-24 23:49:51.000,6.0,,https://anaconda.org/conda-forge/itables,2022-01-25 02:52:05.317,63.0,3.0,,,,,,,,,,,,,,,,,,,,,
144,jupyter-flex,Build dashboards using Jupyter Notebooks.,https://github.com/danielfrg/jupyter-flex,,notebook-sharing,19,True,jupyter-flex,danielfrg/jupyter-flex,conda-forge/jupyter-flex,https://github.com/danielfrg/jupyter-flex,2019-12-13 20:19:40.000,2021-12-31 20:28:51.000000,2021-12-31 20:28:45,332.0,13.0,39.0,3.0,59.0,5.0,42.0,232.0,2021-10-02 05:04:29.585,0.8.1,,342.0,16.0,1.0,1.0,3.0,https://pypi.org/project/jupyter-flex,Apache-2.0,2021-09-29 21:27:13.000,,,https://anaconda.org/conda-forge/jupyter-flex,2021-10-01 19:49:41.488,4771.0,3.0,,,,,,@danielfrg/jupyter-flex,https://www.npmjs.com/package/@danielfrg/jupyter-flex,2021-10-02 05:04:29.585,,62.0,,,,,,,,,,,
145,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,19,True,nteract-scrapbook,nteract/scrapbook,conda-forge/nteract-scrapbook,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000,2021-05-07 07:52:57.000000,2021-04-28 06:36:37,182.0,,24.0,18.0,41.0,24.0,25.0,231.0,2021-01-06 19:12:18.000,0.4.2,,295.0,7.0,106.0,89.0,11.0,https://pypi.org/project/nteract-scrapbook,BSD-3-Clause,2021-01-06 19:12:18.000,17.0,,https://anaconda.org/conda-forge/nteract-scrapbook,2021-02-27 20:02:05.432,7099.0,3.0,,,,,,,,,,,,,,,,,,,,,
