,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
15,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,29,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-09-03 15:59:21.000000,2021-09-03 12:47:32.000000,1610.0,177.0,1827.0,6656.0,,2021-07-16 11:58:23.000000,1.4.2,,175626.0,45.0,1984.0,1474.0,255.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2021-07-16 11:58:23.000000,510.0,142017.0,https://anaconda.org/conda-forge/jupyterhub,2021-07-16 22:12:11.207000,439496.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-07-16 12:10:32.711466,294.0,2326587.0,,,,,,,,,,,,,
16,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,29,True,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-09-09 14:05:18.000000,2021-09-07 12:47:40.000000,345.0,249.0,301.0,3546.0,936.0,2021-09-02 07:13:42.000000,0.2.11,,40978.0,59.0,4745.0,4719.0,53.0,https://pypi.org/project/voila,BSD-3-Clause,2021-09-02 07:10:30.000000,26.0,33407.0,https://anaconda.org/conda-forge/voila,2021-09-06 16:28:11.695000,141382.0,1.0,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555000,,3532.0,,,,,,,,
17,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-08-31 21:54:45.000000,2021-08-06 15:22:17.000000,303.0,170.0,271.0,1176.0,946.0,2021-07-21 12:23:32.000000,0.14.0,,87383.0,71.0,1194.0,1094.0,68.0,https://pypi.org/project/ipyleaflet,MIT,2021-06-17 16:00:18.000000,98.0,50879.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,743811.0,1.0,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-06-17 15:58:50.351000,2.0,24882.0,,,,,,,,
18,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,28,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-09-08 16:58:54.427000,2021-08-10 23:33:21.000000,2085.0,65.0,49.0,11359.0,523.0,2021-09-08 15:14:13.766000,5.1.10,,99690.0,106.0,111.0,111.0,13.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2021-09-08 16:58:54.427000,0.0,99690.0,,,,,,,,
19,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-08-31 06:57:28.000000,2021-08-25 15:22:42.000000,414.0,194.0,350.0,3132.0,3414.0,2021-07-16 08:16:38.000000,0.12.30,,88243.0,97.0,150.0,28.0,54.0,https://pypi.org/project/bqplot,Apache-2.0,2021-07-16 08:04:30.000000,112.0,63663.0,https://anaconda.org/conda-forge/bqplot,2021-07-16 09:06:48.168000,758868.0,1.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-07-16 08:02:45.624000,10.0,12723.0,,,,,,,,
20,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,28,True,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-08-30 20:31:12.000000,2021-08-30 20:31:09.000000,415.0,34.0,2031.0,2173.0,10227.0,2021-02-13 17:21:54.000000,8.1.3,,1904.0,73.0,651.0,381.0,222.0,https://pypi.org/project/nikola,MIT,2021-02-13 17:18:18.000000,270.0,1904.0,,,,2.0,,,,,,,,,,,,,,,,,,
21,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,28,True,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-08-30 10:12:52.000000,2021-06-24 13:15:03.000000,125.0,58.0,215.0,2072.0,1934.0,2021-04-14 17:37:10.000000,3.0.0,,262520.0,24.0,263.0,51.0,32.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-05-25 16:15:59.000000,212.0,187236.0,https://anaconda.org/conda-forge/nbdime,2021-05-25 19:33:13.127000,370889.0,2.0,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-04-14 17:36:09.471000,,68778.0,,,,,,,,
22,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-07-07 18:46:22.000000,2021-06-29 17:43:55.000000,237.0,102.0,37.0,1427.0,253.0,2020-05-02 15:29:58.000000,0.4.0,,83571.0,16.0,2286.0,2164.0,44.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000000,122.0,81582.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,121359.0,1.0,,,,,,,,,,,,,,,,,,
23,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-08-31 21:56:20.000000,2021-05-07 14:58:22.000000,162.0,119.0,100.0,1125.0,305.0,2021-03-22 22:31:41.750000,0.9.0,,112585.0,36.0,1822.0,1770.0,23.0,https://pypi.org/project/ipympl,BSD-3-Clause,2021-03-22 22:31:30.000000,52.0,68650.0,,,,1.0,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-03-22 22:31:41.750000,,43935.0,,,,,,,,
24,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,28,True,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48.000000,255.0,228.0,667.0,958.0,2054.0,2021-08-16 19:04:35.000000,1.2.20210816,,3428604.0,19.0,12.0,,51.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000000,12.0,3428604.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,
