,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
152,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,19,True,,akabe/ocaml-jupyter,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2024-01-25 21:07:30.000000,2023-08-11 05:18:21,385.0,,38.0,11.0,126.0,7.0,73.0,275.0,2023-08-11 02:56:40.000,2.8.3,115991.0,1468.0,35.0,,,23.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
153,gator,Conda environment and package management extension from within Jupyter.,https://github.com/mamba-org/gator,,jupyter-extensions,19,True,mamba-gator,mamba-org/gator,conda-forge/mamba_gator,https://github.com/mamba-org/gator,BSD-3-Clause,2018-08-02 05:15:23.000,2023-11-26 17:44:26.000000,2023-10-26 14:20:46,625.0,,29.0,6.0,152.0,21.0,43.0,252.0,2023-05-05 13:05:52.701,5.2.1,2.0,1128.0,30.0,5.0,5.0,26.0,https://pypi.org/project/mamba-gator,83.0,https://anaconda.org/conda-forge/mamba_gator,2023-06-16 19:23:51.106,39475.0,3.0,,2021-09-03 07:30:09.000,,,,,,@mamba-org/gator-lab,https://www.npmjs.com/package/@mamba-org/gator-lab,33.0,,,,,,,,,,,,,,,
154,Jupyter Bokeh,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,19,True,jupyter-bokeh,bokeh/jupyter_bokeh,conda-forge/jupyter_bokeh,https://github.com/bokeh/jupyter_bokeh,BSD-3-Clause,2017-08-14 23:01:29.000,2024-02-14 10:41:20.000000,2023-03-14 10:04:23,136.0,,45.0,21.0,94.0,19.0,82.0,228.0,,,,51027.0,8.0,3.0,3.0,18.0,https://pypi.org/project/jupyter-bokeh,44592.0,https://anaconda.org/conda-forge/jupyter_bokeh,2023-06-16 19:19:30.692,77161.0,2.0,,,,,,,,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,4682.0,,,,,,,,,,,,,,,
155,Darcula Theme,A handsome Darcula theme for Jupyterlab. The first jlab theme to include dark scrollbars.,https://github.com/telamonian/theme-darcula,,lab-themes,19,False,theme-darcula,telamonian/theme-darcula,conda-forge/theme-darcula,https://github.com/telamonian/theme-darcula,BSD-3-Clause,2019-01-21 04:39:42.000,2023-06-16 19:25:35.462000,2022-07-20 12:02:54,113.0,,27.0,5.0,46.0,8.0,17.0,200.0,,,,2726.0,4.0,1310.0,1310.0,7.0,https://pypi.org/project/theme-darcula,1887.0,https://anaconda.org/conda-forge/theme-darcula,2023-06-16 19:25:35.462,23708.0,1.0,,,,,,,,@telamonian/theme-darcula,https://www.npmjs.com/package/@telamonian/theme-darcula,142.0,,,,,,,,,,,,,,,
156,jupyter-fs,A filesystem-like contents manager for multiple backends in Jupyter.,https://github.com/jpmorganchase/jupyter-fs,,lab-extensions,19,True,jupyter-fs,jpmorganchase/jupyter-fs,conda-forge/jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,Apache-2.0,2019-09-24 17:44:10.000,2023-12-21 21:51:58.000000,2023-11-11 18:56:51,567.0,,33.0,15.0,121.0,16.0,58.0,174.0,2023-11-11 19:00:26.000,0.4.1,,707.0,6.0,5.0,5.0,15.0,https://pypi.org/project/jupyter-fs,485.0,https://anaconda.org/conda-forge/jupyter-fs,2023-11-12 01:40:07.839,9106.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,jupyter-archive,"A Jupyter/Jupyterlab extension to make, download and extract archive files.",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,19,True,jupyter-archive,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,BSD-3-Clause,2019-07-25 17:15:19.000,2023-10-26 14:17:38.000000,2023-10-26 14:17:37,234.0,,14.0,5.0,88.0,3.0,36.0,68.0,2023-08-15 15:28:38.000,3.4.0,3269.0,24835.0,36.0,135.0,128.0,10.0,https://pypi.org/project/jupyter-archive,23273.0,https://anaconda.org/conda-forge/jupyter-archive,2023-08-16 14:54:33.988,59964.0,3.0,,2023-08-15 15:28:33.000,4.0,,,,,@hadim/jupyter-archive,https://www.npmjs.com/package/@hadim/jupyter-archive,106.0,2023-08-15 15:28:31.802,3.0,,,,,,,,,,,,,
158,ipydagred3,ipywidgets library for drawing directed acyclic graphs in jupyterlab using dagre-d3.,https://github.com/timkpaine/ipydagred3,,widgets,19,True,ipydagred3,timkpaine/ipydagred3,conda-forge/ipydagred3,https://github.com/timkpaine/ipydagred3,Apache-2.0,2020-02-29 23:01:15.000,2024-02-05 22:12:06.000000,2024-02-05 22:12:05,357.0,7.0,6.0,5.0,110.0,5.0,19.0,67.0,2023-09-03 15:30:13.000,0.4.0,,74322.0,17.0,3.0,3.0,3.0,https://pypi.org/project/ipydagred3,519.0,https://anaconda.org/conda-forge/ipydagred3,2023-11-01 13:35:17.799,27590.0,3.0,,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,73190.0,,,,,-6.0,,,,,,,,,,
159,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,19,False,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,,2017-07-31 17:37:26.000,2023-06-16 16:11:33.197000,2023-06-14 12:39:14,307.0,,9.0,6.0,47.0,2.0,10.0,39.0,2023-06-14 12:41:06.000,4.3.5,,81945.0,8.0,1030.0,1030.0,5.0,https://pypi.org/project/ipydatawidgets,78142.0,https://anaconda.org/conda-forge/ipydatawidgets,2023-06-16 16:11:33.197,258654.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
160,datapane,Build and share data reports in 100% Python.,https://github.com/datapane/datapane,,others,18,True,datapane,datapane/datapane,conda-forge/datapane,https://github.com/datapane/datapane,Apache-2.0,2020-04-23 20:56:54.000,2023-10-16 21:21:29.000000,2023-09-07 13:44:00,362.0,,95.0,19.0,119.0,,112.0,1343.0,,,,24704.0,47.0,,,13.0,https://pypi.org/project/datapane,22823.0,https://anaconda.org/conda-forge/datapane,2023-09-07 16:46:44.103,80903.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,18,True,,clojupyter/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2023-12-29 20:15:18.000000,2023-12-29 20:15:15,323.0,18.0,82.0,37.0,61.0,15.0,89.0,807.0,,,,67.0,8.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2023-07-20 06:35:35.164,3531.0,3.0,simplect/clojupyter,,,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,416.0,,,,,,,,,,,,,,,,,,
