,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
113,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,22,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2023-03-15 06:08:24.000000,2022-11-28 09:20:26,307.0,,66.0,20.0,122.0,70.0,61.0,516.0,2022-11-28 09:27:38.314,0.7.0,,49531.0,24.0,29.0,6.0,13.0,https://pypi.org/project/ipysheet,2022-11-28 09:25:01.163,21.0,46295.0,https://anaconda.org/conda-forge/ipysheet,2022-11-28 14:56:47.302,73177.0,3.0,,ipysheet,https://www.npmjs.com/package/ipysheet,2022-11-28 09:27:38.314,2.0,1773.0,,,,,,,,,,,,,,,,
114,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,22,True,jupyterlab-katex,jupyterlab/jupyter-renderers,conda-forge/jupyterlab-vega3,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2023-03-14 19:32:33.000000,2023-02-07 16:39:52,611.0,6.0,74.0,37.0,190.0,37.0,72.0,460.0,2022-11-15 08:09:59.040,3.3.1,,2293.0,32.0,7.0,3.0,29.0,https://pypi.org/project/jupyterlab-katex,2022-01-17 16:38:22.000,1.0,353.0,https://anaconda.org/conda-forge/jupyterlab-vega3,2022-01-18 08:04:45.123,2244.0,1.0,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2022-11-15 08:09:59.040,3.0,1847.0,,,,,,,,,,,,,,,,
115,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,22,True,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,BSD-3-Clause,2016-11-07 14:08:25.000,2023-03-16 06:57:39.000000,2023-03-16 06:57:19,253.0,71.0,39.0,19.0,83.0,19.0,24.0,427.0,2022-04-19 10:58:08.000,2.0.3,,1830.0,8.0,36.0,33.0,4.0,https://pypi.org/project/nbtutor,2022-04-19 10:58:08.000,3.0,171.0,https://anaconda.org/conda-forge/nbtutor,2022-04-19 19:03:10.872,124498.0,3.0,,,,,,,,,,,,,,,,,,,,,,
116,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,22,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-03-15 12:52:52.000000,2023-03-15 12:52:50,387.0,24.0,59.0,16.0,121.0,6.0,78.0,324.0,2022-11-16 20:29:42.000,0.3.2,,12810.0,25.0,9.0,7.0,17.0,https://pypi.org/project/jupyterlab_templates,2019-06-30 05:07:41.000,,7939.0,https://anaconda.org/conda-forge/jupyterlab_templates,2022-11-17 01:01:00.524,9956.0,2.0,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2022-11-16 20:28:24.501,2.0,4579.0,,,,,,,finos/jupyterlab_templates,,,,,,,,,
117,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,22,True,nteract-scrapbook,nteract/scrapbook,conda-forge/nteract-scrapbook,https://github.com/nteract/scrapbook,BSD-3-Clause,2018-10-22 04:17:04.000,2022-04-13 16:57:46.000000,2022-04-13 16:57:42,184.0,,27.0,18.0,41.0,24.0,25.0,257.0,2021-01-06 19:12:18.000,0.4.2,,56838.0,7.0,232.0,215.0,11.0,https://pypi.org/project/nteract-scrapbook,2021-01-06 19:12:18.000,17.0,56478.0,https://anaconda.org/conda-forge/nteract-scrapbook,2021-02-27 20:02:05.432,13334.0,3.0,-1.0,,,,,,,,,,,,,,,,,,,,,
118,ipytest,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,22,True,ipytest,chmp/ipytest,,https://github.com/chmp/ipytest,MIT,2016-02-07 20:24:41.000,2023-01-11 22:53:14.000000,2023-01-11 22:53:14,278.0,2.0,19.0,5.0,35.0,4.0,51.0,248.0,2022-11-05 17:38:31.000,0.13.0,,12010.0,34.0,279.0,264.0,5.0,https://pypi.org/project/ipytest,2022-11-05 17:38:06.036,15.0,12010.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
119,BatchSpawner,Custom Spawner for Jupyterhub to start servers in batch scheduled systems.,https://github.com/jupyterhub/batchspawner,,hub-spawners,22,True,batchspawner,jupyterhub/batchspawner,,https://github.com/jupyterhub/batchspawner,BSD-3-Clause,2015-10-27 03:53:10.000,2023-03-07 03:45:20.000000,2023-03-01 16:11:38,371.0,6.0,115.0,17.0,137.0,67.0,76.0,150.0,2022-10-05 04:48:28.224,1.2.0,,3301.0,10.0,29.0,25.0,42.0,https://pypi.org/project/batchspawner,2022-10-05 04:48:28.224,4.0,3301.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
120,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,22,True,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,conda-forge/jupyter-rsession-proxy,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2023-01-05 11:12:53.000000,2022-09-24 00:33:01,231.0,,83.0,14.0,64.0,32.0,47.0,101.0,2022-09-07 23:29:00.801,2.1.0,,17576.0,13.0,44.0,43.0,21.0,https://pypi.org/project/jupyter-rsession-proxy,2022-09-07 23:29:00.801,1.0,17228.0,https://anaconda.org/conda-forge/jupyter-rsession-proxy,2022-09-08 05:30:35.228,16046.0,2.0,,,,,,,,,,,,,,,,,,,,,,
121,jdaviz,JWST astronomical data analysis tools in the Jupyter platform.,https://github.com/spacetelescope/jdaviz,,widgets,22,True,jdaviz,spacetelescope/jdaviz,,https://github.com/spacetelescope/jdaviz,BSD-3-Clause,2019-05-07 17:54:06.000,2023-03-16 13:23:44.000000,2023-03-15 21:14:37,4232.0,148.0,45.0,19.0,1236.0,324.0,562.0,87.0,2023-03-09 20:04:45.000,3.3.1,,420.0,30.0,,,31.0,https://pypi.org/project/jdaviz,2022-07-06 20:49:58.000,,420.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
122,LTI Authenticator,A JupyterHub authenticator for LTI.,https://github.com/jupyterhub/ltiauthenticator,,hub-auth,22,True,jupyterhub-ltiauthenticator,jupyterhub/ltiauthenticator,,https://github.com/jupyterhub/ltiauthenticator,BSD-3-Clause,2017-12-15 02:54:15.000,2023-03-15 08:55:36.000000,2023-03-13 07:34:17,342.0,38.0,47.0,8.0,98.0,5.0,36.0,58.0,2023-03-08 07:21:38.000,1.4.0,,1982.0,9.0,97.0,88.0,15.0,https://pypi.org/project/jupyterhub-ltiauthenticator,2021-11-15 20:11:03.000,9.0,1982.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
