,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-07-14 15:56:01.000000,2021-07-13 00:46:39.000000,4177.0,1495.0,5248.0,14881.0,25102.0,2021-06-25 15:55:34.000000,7.25.0,317475.0,17840024.0,107.0,272588.0,208666.0,819.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-06-25 15:55:34.000000,63922.0,17724231.0,https://anaconda.org/conda-forge/ipython,2021-06-30 12:42:25.468000,7084513.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-07-13 22:39:32.000000,2021-07-13 22:39:31.000000,3406.0,2021.0,2255.0,9214.0,12060.0,2021-05-17 11:17:25.000000,6.4.0,414.0,10924196.0,74.0,127294.0,111208.0,555.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-05-17 11:17:17.000000,16086.0,10613969.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1462509.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-07-08 23:46:28.527241,850.0,21235293.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-07-15 13:40:06.000000,2021-07-15 10:44:14.000000,2028.0,1874.0,4055.0,11205.0,23485.0,2021-05-18 18:46:17.000000,3.0.16,100.0,1171976.0,360.0,46795.0,44407.0,430.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-07-13 18:55:20.000000,2388.0,1104347.0,https://anaconda.org/conda-forge/jupyterlab,2021-07-13 20:57:42.205000,4125321.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-07-13 17:09:31.000000,2021-07-13 17:09:31.000000,757.0,566.0,1129.0,2268.0,7099.0,2021-02-07 22:09:48.000000,7.6.3,,9872919.0,124.0,16965.0,1971.0,177.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-06-29 04:48:36.000000,14932.0,9701853.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,3363149.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-06-29 04:35:16.509000,62.0,117683.0,,,,,,,,
5,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-07-15 12:21:02.000000,2021-07-15 11:01:30.000000,270.0,187.0,157.0,408.0,2293.0,2021-07-15 11:01:52.000000,6.0.2,,11998710.0,62.0,139759.0,122171.0,131.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-07-15 11:01:43.000000,17588.0,11996034.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,181980.0,1.0,,,,,,,,,,,0.0,,,,,,,
6,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-07-12 20:59:23.000000,2021-07-12 20:59:23.000000,165.0,94.0,190.0,266.0,1777.0,2021-05-02 17:55:58.000000,5.1.0,,6489296.0,34.0,92854.0,80492.0,110.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-06-29 17:22:52.000000,12362.0,6458376.0,https://anaconda.org/conda-forge/qtconsole,2021-06-30 03:34:49.078000,1917057.0,1.0,,,,,,,,,,,,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-07-14 23:26:10.000000,2021-07-14 15:37:33.000000,3743.0,691.0,5950.0,15303.0,,2021-07-07 18:02:49.000000,2.3.3,,1960399.0,99.0,42292.0,36420.0,564.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-07-07 18:02:49.000000,5872.0,1864662.0,https://anaconda.org/conda-forge/bokeh,2021-07-08 16:05:38.712000,4882627.0,1.0,,,,,,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-07-13 12:40:54.000000,2021-06-22 23:50:37.000000,439.0,386.0,529.0,1150.0,,2021-06-22 23:42:31.000000,6.1.0,,11447800.0,37.0,124943.0,109559.0,223.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-06-22 23:42:31.000000,15384.0,11380380.0,https://anaconda.org/conda-forge/nbconvert,2021-06-23 20:03:15.806000,4247474.0,1.0,,,,,,,,,,,,,,,,,,
9,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,32,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-07-12 23:00:58.000000,2021-06-27 20:16:39.000000,1114.0,73.0,401.0,7618.0,852.0,2021-05-11 22:24:40.000000,3.0.0,,480230.0,30.0,4810.0,4650.0,79.0,https://pypi.org/project/pandas-profiling,MIT,2021-05-11 22:24:40.000000,160.0,477779.0,https://anaconda.org/conda-forge/pandas-profiling,2021-05-12 01:17:17.354000,144652.0,1.0,,,,,,,,,,,,,,,,,,
