,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
25,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-08-02 13:07:38.000000,2021-07-27 04:12:05.000000,317.0,92.0,225.0,4269.0,,2021-03-09 17:54:04.000000,2.3.3,,377699.0,70.0,1690.0,1540.0,92.0,https://pypi.org/project/papermill,BSD-3-Clause,2021-03-09 17:54:04.000000,150.0,372782.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,177045.0,2.0,,,,,,,,,,,,,,,,,,
26,Perspective,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-08-12 06:16:34.000000,2021-08-12 06:11:37.000000,386.0,75.0,366.0,3501.0,4604.0,2021-07-08 06:14:18.000000,0.10.0,,4552.0,48.0,210.0,202.0,64.0,https://pypi.org/project/perspective-python,Apache-2.0,2021-07-08 06:14:18.000000,8.0,2346.0,,,,1.0,,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2021-08-12 06:12:31.068000,,2206.0,,,,,,,
27,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,27,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-08-12 08:07:46.000000,2021-07-24 18:29:55.000000,371.0,334.0,531.0,2349.0,1266.0,2021-07-15 01:15:42.000000,0.11.2,,19572.0,35.0,44.0,,82.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2021-07-15 01:15:42.000000,44.0,19572.0,,,,2.0,,,,,,,,,,,,,,,,,,
28,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,27,True,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-07-23 16:07:10.000000,2021-06-08 20:38:53.000000,361.0,131.0,252.0,1020.0,1135.0,2021-06-08 20:44:55.000000,0.19.0,,44249.0,47.0,234.0,200.0,53.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2021-06-08 20:44:55.000000,34.0,43551.0,https://anaconda.org/conda-forge/sparkmagic,2021-06-09 09:47:46.784000,33541.0,1.0,,,,,,,,,,,,,,,,,,
29,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-08-10 17:24:56.000000,2021-08-04 12:03:48.000000,195.0,92.0,397.0,930.0,1666.0,2021-08-04 12:13:40.000000,0.32.0,,125271.0,44.0,43.0,13.0,64.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2021-08-04 12:13:40.000000,30.0,122624.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-08-04 14:11:47.347000,84721.0,1.0,,,,,,,,,,,,,,,,,,
30,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-08-08 16:35:34.000000,2021-08-08 16:35:31.000000,957.0,205.0,196.0,8631.0,633.0,2018-11-22 17:02:16.000000,0.20.0,,32742.0,116.0,190.0,,42.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,190.0,32742.0,,,,1.0,,,,,,,,,,,,-2.0,,,,,,
31,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,True,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-08-09 18:36:31.000000,2021-05-06 12:01:05.000000,834.0,76.0,76.0,6653.0,264.0,2019-07-24 15:57:06.000000,1.0.0,,82908.0,4.0,66.0,60.0,28.0,https://pypi.org/project/facets-overview,Apache-2.0,2019-07-24 15:57:06.000000,6.0,82908.0,,,,2.0,,,,,,,,,,,,,,,,,,
32,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,26,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-08-06 21:35:53.000000,2021-08-06 21:35:50.000000,550.0,152.0,1508.0,5605.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1227955.0,22722.0,66.0,5.0,,169.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,3231.0,,,,2.0,,,,,,,,,,,,,,,,,,
33,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,26,True,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-04-29 15:35:53.000000,2021-04-29 10:13:29.000000,356.0,128.0,279.0,3068.0,737.0,2020-10-29 01:31:20.000000,5.7.1,,11871.0,28.0,1867.0,1557.0,39.0,https://pypi.org/project/RISE,BSD-3-Clause,2020-10-29 01:31:20.000000,310.0,7853.0,https://anaconda.org/conda-forge/rise,2021-03-11 13:00:21.741000,168771.0,2.0,,,,,,,,,,,,,,,,,,
34,qgrid,"An interactive grid for sorting, filtering, and editing DataFrames in Jupyter notebooks.",https://github.com/quantopian/qgrid,,widgets,26,False,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000000,2021-06-25 03:13:35.000000,2020-04-07 18:56:49.000000,358.0,152.0,123.0,2738.0,405.0,2020-04-07 16:43:54.000000,1.3.1,,63260.0,73.0,127.0,1.0,30.0,https://pypi.org/project/qgrid,Apache-2.0,2020-04-07 16:43:54.000000,126.0,52934.0,https://anaconda.org/conda-forge/qgrid,2021-03-04 10:14:48.336000,315245.0,2.0,,,,,,,qgrid,https://www.npmjs.com/package/qgrid,2017-07-08 00:42:37.705000,0.0,2821.0,1.0,,,,,,
35,ipyvolume,3d plotting for Python in the Jupyter notebook based on IPython widgets using WebGL.,https://github.com/maartenbreddels/ipyvolume,,widgets,26,True,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-06-29 19:32:16.000000,2021-06-18 12:46:59.000000,212.0,176.0,123.0,1653.0,930.0,2019-07-07 19:46:13.862000,0.5.2,,37486.0,46.0,605.0,553.0,39.0,https://pypi.org/project/ipyvolume,MIT,2021-04-13 12:23:25.000000,48.0,28559.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,308645.0,2.0,,,,,,,ipyvolume,https://www.npmjs.com/package/ipyvolume,2021-04-13 12:31:01.403000,4.0,3212.0,,,,,,,
36,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,26,True,jupyterhub/oauthenticator,oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000000,2021-08-10 12:09:46.000000,2021-08-10 12:07:40.000000,297.0,31.0,179.0,308.0,916.0,2021-07-19 12:33:35.000000,14.1.0,,42671.0,28.0,277.0,219.0,100.0,https://pypi.org/project/oauthenticator,BSD-3-Clause,2021-08-10 12:09:46.000000,58.0,42096.0,https://anaconda.org/conda-forge/oauthenticator,2021-07-19 15:40:38.273000,16106.0,1.0,,,,,,,,,,,,,,,,,,
37,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,26,True,jupyter-server/jupyter_server,jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,2016-09-21 19:18:45.000000,2021-08-11 12:49:22.000000,2021-08-11 12:49:22.000000,128.0,70.0,135.0,251.0,12112.0,2021-08-02 21:50:58.000000,1.10.2,99.0,885396.0,42.0,,,444.0,https://pypi.org/project/jupyter_server,BSD-3-Clause,2018-07-31 14:15:16.000000,,866768.0,https://anaconda.org/conda-forge/jupyter_server,2021-08-03 00:42:27.171000,651870.0,3.0,,,,,,,,,,,,,,,,,,
38,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,25,True,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-08-12 13:02:04.000000,2021-08-12 13:02:04.000000,2376.0,63.0,605.0,6435.0,2200.0,,,,589991.0,,,,203.0,,BSD-3-Clause,,,,,,,2.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2021-08-09 22:59:38.856882,310.0,43069350.0,,,,,,,1.0,,,,,,
39,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,25,True,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-07-20 12:14:16.709000,2021-01-21 14:02:57.000000,381.0,340.0,4173.0,2591.0,1689.0,2020-09-07 15:05:22.000000,2.0.1,31.0,24312.0,48.0,40.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2020-09-07 15:05:22.000000,40.0,11066.0,https://anaconda.org/conda-forge/beakerx,2021-07-20 12:14:16.709000,446294.0,2.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,22.0,243974.0,,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776000,0.0,1100.0,,,,,,,
40,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,25,False,man-group/dtale,dtale,conda-forge/dtale,https://github.com/man-group/dtale,2019-07-15 09:34:48.000000,2021-08-12 03:23:44.968000,2021-08-12 02:40:45.000000,201.0,33.0,356.0,2551.0,476.0,2021-08-12 03:16:21.000000,1.54.1,,18373.0,129.0,214.0,214.0,17.0,https://pypi.org/project/dtale,LGPL-2.1,2021-08-12 03:02:31.000000,0.0,14195.0,https://anaconda.org/conda-forge/dtale,2021-08-12 03:23:44.968000,75209.0,2.0,,,,,,,,,,,,,,,,,,
