,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
107,LFortran,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit pull requests (PR) there. Any PR sent here will..,https://github.com/lfortran/lfortran,,kernels,22,True,lfortran,lfortran/lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000,2022-03-30 21:41:50.000000,2022-03-30 21:41:33,8475.0,285.0,18.0,15.0,1.0,,,313.0,2020-07-31 19:39:55.000,0.3.0,,1138.0,12.0,,,24.0,https://pypi.org/project/lfortran,MIT,2020-07-31 19:39:55.000,,129.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722,32309.0,2.0,,,,,,,,,,,,,,,,,,,,,,
108,itables,Pandas DataFrames as Interactive DataTables.,https://github.com/mwouts/itables,,widgets,22,True,itables,mwouts/itables,conda-forge/itables,https://github.com/mwouts/itables,2019-04-15 22:09:44.000,2022-03-29 23:00:05.317000,2022-03-29 16:06:22,114.0,21.0,22.0,6.0,30.0,9.0,31.0,282.0,2022-03-29 16:07:16.000,0.4.6,,5808.0,13.0,111.0,104.0,3.0,https://pypi.org/project/itables,MIT,2022-03-29 16:07:16.000,7.0,5716.0,https://anaconda.org/conda-forge/itables,2022-03-29 23:00:05.317,184.0,3.0,,,,,,,,,,,,,,,,,,,,,,
109,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/widgetti/ipyvuetify,,widgets,22,True,ipyvuetify,mariobuikhuizen/ipyvuetify,conda-forge/ipyvuetify,https://github.com/widgetti/ipyvuetify,2019-05-14 17:35:51.000,2022-02-07 15:52:42.724000,2022-02-07 12:02:17,208.0,5.0,43.0,12.0,55.0,40.0,120.0,250.0,2022-02-07 15:18:40.000,1.8.2,,56417.0,47.0,27.0,4.0,10.0,https://pypi.org/project/ipyvuetify,MIT,2022-02-07 12:27:29.000,22.0,47557.0,https://anaconda.org/conda-forge/ipyvuetify,2022-02-07 15:52:42.724,70808.0,3.0,jupyter-vuetify,https://www.npmjs.com/package/jupyter-vuetify,2022-02-07 12:38:56.331,1.0,6648.0,,,,,,,,widgetti/ipyvuetify,,,,,,,,,
110,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,22,True,nteract-scrapbook,nteract/scrapbook,conda-forge/nteract-scrapbook,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000,2021-05-07 07:52:57.000000,2021-04-28 06:36:37,182.0,,24.0,18.0,41.0,24.0,25.0,234.0,2021-01-06 19:12:18.000,0.4.2,,70976.0,7.0,118.0,101.0,11.0,https://pypi.org/project/nteract-scrapbook,BSD-3-Clause,2021-01-06 19:12:18.000,17.0,70674.0,https://anaconda.org/conda-forge/nteract-scrapbook,2021-02-27 20:02:05.432,7550.0,3.0,,,,,,,,,,,,,,,,,,,,,,
111,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,22,True,ipywebrtc,maartenbreddels/ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,2017-08-10 18:07:51.000,2022-03-02 02:46:30.000000,2021-03-29 11:25:59,209.0,,31.0,13.0,56.0,29.0,20.0,205.0,2021-03-29 11:25:34.632,0.6.0,,40684.0,12.0,471.0,459.0,9.0,https://pypi.org/project/ipywebrtc,MIT,2019-07-04 12:53:46.000,11.0,36034.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469,236558.0,3.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,2021-03-29 11:25:34.632,1.0,349.0,,,,,,,,,,,,,,,,,
112,naas,"Schedule notebooks, run them like APIs, expose securely your assets: Jupyter as a viable Production environment.",https://github.com/jupyter-naas/naas,,notebook-tools,22,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,2020-09-20 17:09:00.000,2022-03-31 09:58:15.000000,2022-03-31 09:51:50,1586.0,77.0,15.0,3.0,178.0,21.0,106.0,178.0,2022-03-31 09:42:37.000,2.2.13,,13371.0,497.0,3.0,3.0,17.0,https://pypi.org/project/naas,AGPL-3.0,2022-03-31 09:58:15.000,,13371.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
113,almond,A Scala kernel for Jupyter.,https://github.com/almond-sh/almond,,kernels,21,True,,almond-sh/almond,,https://github.com/almond-sh/almond,2015-03-10 22:48:50.000,2022-03-22 17:05:24.000000,2021-09-01 14:23:22,989.0,,214.0,62.0,629.0,110.0,192.0,1428.0,,,1166.0,192.0,37.0,,,35.0,,BSD-3-Clause,,,,,,,2.0,,,,,,,almondsh/almond,https://hub.docker.com/r/almondsh/almond,2021-08-26 20:33:34.010515,6.0,13923.0,,,,,,,,,,,
114,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,21,True,lckr-jupyterlab-variableinspector,lckr/jupyterlab-variableInspector,conda-forge/jupyterlab-variableinspector,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000,2022-03-29 02:12:48.000000,2021-10-19 16:52:05,165.0,,80.0,28.0,83.0,41.0,114.0,898.0,2021-04-10 13:07:39.934,3.0.9,,19816.0,11.0,3.0,3.0,17.0,https://pypi.org/project/lckr-jupyterlab-variableinspector,BSD-3-Clause,2021-04-10 13:07:22.000,,8915.0,https://anaconda.org/conda-forge/jupyterlab-variableinspector,2021-04-10 15:26:15.988,3103.0,2.0,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2021-04-10 13:07:39.934,,10619.0,,,,,,,,,,,,,,,,,
115,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,21,False,notedown,aaren/notedown,conda-forge/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000,2021-10-18 21:21:21.000000,2017-11-16 19:29:56,264.0,,91.0,20.0,29.0,39.0,29.0,791.0,2017-11-16 17:59:43.000,1.5.1,,4788.0,26.0,200.0,172.0,7.0,https://pypi.org/project/notedown,BSD-2-Clause,2017-11-16 17:59:43.000,28.0,4056.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567,32944.0,3.0,,,,,,,,,,,,,,,,,,,,,,
116,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,21,True,jupyterlab_code_formatter,ryantam626/jupyterlab_code_formatter,conda-forge/jupyterlab_code_formatter,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000,2022-03-28 23:58:48.000000,2021-04-02 15:15:07,353.0,,39.0,8.0,96.0,27.0,117.0,514.0,2021-04-02 15:07:25.000,1.4.10,,48082.0,54.0,3.0,,30.0,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-04-02 15:07:25.000,3.0,28188.0,https://anaconda.org/conda-forge/jupyterlab_code_formatter,2021-04-08 19:11:09.139,506332.0,2.0,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2021-04-02 15:06:23.719,,5428.0,,,,,,,,,,,,,,,,,
