,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,cran_id,gem_id,hex_id,bitbucket_id
21,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,31,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,BSD-3-Clause,2015-07-15 15:30:00.000,2022-07-28 07:01:03.000000,2022-07-28 07:00:39,3124.0,270.0,2749.0,188.0,995.0,41.0,721.0,7123.0,,,,1023316.0,,,,221.0,,,,,,,,2.0,,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-07-27 21:02:06.869959,353.0,85958584.0,,,,,,,,,,,
22,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,31,True,jupyter_contrib_nbextensions,ipython-contrib/jupyter_contrib_nbextensions,conda-forge/jupyter_contrib_nbextensions,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,BSD-3-Clause,2013-07-13 17:05:16.000,2022-07-17 11:19:32.000000,2022-07-17 11:19:32,2629.0,16.0,762.0,138.0,831.0,333.0,452.0,4877.0,2019-01-02 12:28:49.000,0.5.1,,290960.0,17.0,191.0,,129.0,https://pypi.org/project/jupyter_contrib_nbextensions,2019-01-02 12:28:49.000,191.0,272220.0,https://anaconda.org/conda-forge/jupyter_contrib_nbextensions,2021-03-05 08:03:36.764,1330542.0,1.0,,,,,,,,,,,,,,,,,,,,,,
23,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,31,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,BSD-3-Clause,2017-07-06 17:17:53.000,2022-07-03 17:57:24.000000,2022-06-28 07:18:54,914.0,6.0,356.0,92.0,327.0,105.0,239.0,4803.0,2022-01-22 22:46:54.000,2.3.4,,883740.0,71.0,2490.0,2312.0,101.0,https://pypi.org/project/papermill,2022-01-22 22:46:54.000,178.0,877711.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,283385.0,1.0,,,,,,,,,,,,,,,,,,,,,,
24,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,31,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2022-07-25 11:39:08.000000,2022-07-25 11:39:08,3525.0,12.0,458.0,106.0,942.0,228.0,359.0,3324.0,2022-02-11 15:29:07.544,0.5.34,,124810.0,100.0,136.0,34.0,59.0,https://pypi.org/project/bqplot,2022-02-11 15:27:16.000,92.0,100752.0,https://anaconda.org/conda-forge/bqplot,2022-02-11 15:47:15.986,1004390.0,1.0,1.0,bqplot,https://www.npmjs.com/package/bqplot,2022-02-11 15:29:07.544,10.0,10486.0,,,,,,,,,,,,,,,,
25,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,31,False,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,,2015-04-09 07:43:55.000,2022-07-26 04:48:19.000000,2022-07-26 04:35:46,2688.0,73.0,901.0,114.0,398.0,54.0,278.0,2235.0,2022-06-20 10:37:35.000,8.4.1,,62927.0,41.0,287.0,,111.0,https://pypi.org/project/ipyparallel,2022-06-20 10:37:35.000,287.0,54282.0,https://anaconda.org/conda-forge/ipyparallel,2022-06-21 14:24:53.709,648393.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
26,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,31,True,ipython-sql,catherinedevlin/ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,MIT,2013-03-20 16:41:10.000,2022-07-28 00:45:28.000000,2022-06-12 04:14:20,285.0,17.0,258.0,51.0,74.0,105.0,40.0,1547.0,2022-06-12 04:51:46.000,0.4.1,,139935.0,18.0,3352.0,3283.0,53.0,https://pypi.org/project/ipython-sql,2022-06-12 04:51:46.000,69.0,137704.0,https://anaconda.org/conda-forge/ipython-sql,2021-11-13 15:23:35.182,158456.0,1.0,,,,,,,,,,,,,,,,,,,,,,
27,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2022-07-05 06:47:48.000000,2022-07-05 06:47:44,320.0,21.0,46.0,8.0,153.0,35.0,62.0,101.0,2022-07-01 09:13:33.000,0.6.6,81.0,10143087.0,30.0,63447.0,63361.0,33.0,https://pypi.org/project/nbclient,2022-07-01 09:13:27.000,86.0,9979161.0,https://anaconda.org/conda-forge/nbclient,2022-07-01 15:10:26.686,4753662.0,2.0,,,,,,,,,,,,,,,,,,,,,,
28,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,30,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2022-07-21 16:18:54.786000,,,,2404.0,,,2134.0,,12196.0,2022-07-21 14:49:23.017,3.4.4,,1947823.0,439.0,2162.0,,395.0,https://pypi.org/project/jupyterlab,2022-06-09 13:09:14.000,1897.0,1635955.0,https://anaconda.org/conda-forge/jupyterlab,2022-07-21 16:18:54.786,5849987.0,2.0,,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2022-07-21 14:51:49.339,265.0,231732.0,,,,,,,,,,,,,,,,
29,D-Tale,Visualizer for Pandas Data Structures.,https://github.com/man-group/dtale,,widgets,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-07-24 14:49:07.000000,2022-07-24 14:48:08,614.0,22.0,288.0,66.0,214.0,43.0,429.0,3550.0,2022-06-17 17:53:49.000,2.6.0,,82762.0,148.0,438.0,426.0,27.0,https://pypi.org/project/dtale,2022-06-17 17:45:42.000,12.0,78041.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,136928.0,2.0,,,,,,,,,,,,,,,,,,,,,,
30,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,30,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2022-07-24 14:49:07.000000,2022-07-24 14:48:08,614.0,22.0,288.0,66.0,214.0,43.0,429.0,3550.0,2022-06-17 17:53:49.000,2.6.0,,82762.0,148.0,438.0,426.0,27.0,https://pypi.org/project/dtale,2022-06-17 17:45:42.000,12.0,78041.0,https://anaconda.org/conda-forge/dtale,2022-06-17 18:17:38.395,136928.0,1.0,,,,,,,,,,,,,,,,,,,,,,
