,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,docs_url,hex_id,bitbucket_id
91,datapane,Build and share data reports in 100% Python.,https://github.com/datapane/datapane,,others,23,True,datapane,datapane/datapane,conda-forge/datapane,https://github.com/datapane/datapane,Apache-2.0,2020-04-23 20:56:54.000,2023-10-16 21:21:29.000000,2023-09-07 13:44:00,362.0,7.0,84.0,18.0,119.0,,112.0,1308.0,2023-09-07 13:59:32.000,0.17.0,,18216.0,90.0,14.0,,16.0,https://pypi.org/project/datapane,2023-09-07 13:59:32.000,14.0,16299.0,https://anaconda.org/conda-forge/datapane,2023-09-07 16:46:44.103,76683.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
92,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/jupyterlab-contrib/jupyterlab-variableInspector,,lab-extensions,23,True,lckr-jupyterlab-variableinspector,lckr/jupyterlab-variableInspector,conda-forge/jupyterlab-variableinspector,https://github.com/jupyterlab-contrib/jupyterlab-variableInspector,BSD-3-Clause,2018-06-13 18:16:02.000,2023-11-01 16:19:19.000000,2023-11-01 16:15:22,183.0,14.0,85.0,28.0,113.0,45.0,124.0,1016.0,2021-04-10 11:39:23.000,3.0.7,,12197.0,6.0,5.0,5.0,21.0,https://pypi.org/project/lckr-jupyterlab-variableinspector,,,7755.0,https://anaconda.org/conda-forge/jupyterlab-variableinspector,2023-06-16 19:25:32.000,21713.0,1.0,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,3742.0,,,,,,,jupyterlab-contrib/jupyterlab-variableInspector,,,,,,,,,,,,,
93,NBextensions Configurator,A jupyter notebook serverextension providing config interfaces for nbextensions.,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,jupyter-extensions,23,False,jupyter_nbextensions_configurator,jupyter-contrib/jupyter_nbextensions_configurator,conda-forge/jupyter_nbextensions_configurator,https://github.com/Jupyter-contrib/jupyter_nbextensions_configurator,,2016-06-24 22:29:05.000,2023-10-31 14:32:45.000000,2023-09-29 00:14:07,527.0,2.0,116.0,18.0,71.0,63.0,35.0,960.0,2023-05-05 07:10:14.000,0.6.3,,589069.0,14.0,504.0,504.0,24.0,https://pypi.org/project/jupyter_nbextensions_configurator,,,571076.0,https://anaconda.org/conda-forge/jupyter_nbextensions_configurator,2023-06-16 13:20:40.292,1583384.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
94,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,23,False,notedown,aaren/notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2023-06-16 16:08:46.317000,2017-11-16 19:29:56,264.0,,114.0,21.0,29.0,46.0,29.0,846.0,2017-11-16 17:59:43.000,1.5.1,,10604.0,26.0,270.0,239.0,7.0,https://pypi.org/project/notedown,2017-11-16 17:59:43.000,31.0,10060.0,https://anaconda.org/conda-forge/notedown,2023-06-16 16:08:46.317,35421.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
95,watermark,"An IPython magic extension for printing date and time stamps, version numbers, and hardware information.",https://github.com/rasbt/watermark,,magic,23,True,watermark,rasbt/watermark,conda-forge/watermark,https://github.com/rasbt/watermark,BSD-3-Clause,2014-07-30 03:46:33.000,2023-07-02 15:47:55.854000,2023-07-02 14:29:01,123.0,,88.0,13.0,47.0,19.0,28.0,835.0,2023-07-02 14:38:00.400,2.4.3,,30306.0,27.0,2171.0,2075.0,19.0,https://pypi.org/project/watermark,2023-07-02 14:38:00.400,96.0,22699.0,https://anaconda.org/conda-forge/watermark,2023-07-02 15:47:55.854,273884.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
96,gmaps,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,23,False,gmaps,pbugnion/gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,BSD-3-Clause,2014-12-01 09:12:06.000,2023-06-16 13:23:14.332000,2019-07-22 06:22:45,1380.0,,146.0,25.0,154.0,73.0,137.0,759.0,2019-07-21 08:49:48.715,0.9.0,,10391.0,95.0,49.0,3.0,16.0,https://pypi.org/project/gmaps,2019-07-21 08:49:39.000,44.0,5118.0,https://anaconda.org/conda-forge/gmaps,2023-06-16 13:23:14.332,308784.0,3.0,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,1315.0,,,,,,,,2019-07-21 08:49:48.715,2.0,,,,,,,,,,,
97,nglview,Jupyter widget to interactively view molecular structures and trajectories.,https://github.com/nglviewer/nglview,,widgets,23,False,nglview,nglviewer/nglview,conda-forge/nglview,https://github.com/nglviewer/nglview,,2015-11-09 16:48:57.000,2023-09-15 17:05:02.000000,2023-09-11 15:52:48,1436.0,3.0,123.0,24.0,608.0,32.0,432.0,728.0,2023-09-11 15:53:18.000,3.0.8,281.0,32690.0,80.0,3.0,3.0,38.0,https://pypi.org/project/nglview,,,9891.0,https://anaconda.org/conda-forge/nglview,2023-09-15 01:27:48.506,687573.0,3.0,nglview-js-widgets,https://www.npmjs.com/package/nglview-js-widgets,6027.0,,,,,,,,,,,,,,,,,,,,
98,Mapbox GL,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,https://github.com/mapbox/mapboxgl-jupyter,,widgets,23,False,mapboxgl,mapbox/mapboxgl-jupyter,,https://github.com/mapbox/mapboxgl-jupyter,MIT,2017-08-08 15:10:51.000,2022-01-11 05:18:07.000000,2021-04-19 05:00:36,221.0,,138.0,124.0,91.0,43.0,67.0,643.0,2019-06-03 21:24:10.000,0.10.2,,13946.0,20.0,190.0,175.0,21.0,https://pypi.org/project/mapboxgl,2019-06-02 16:02:54.380,15.0,13946.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
99,Kernel Gateway,Jupyter Kernel Gateway.,https://github.com/jupyter-server/kernel_gateway,,kernels,23,False,jupyter-kernel-gateway,jupyter/kernel_gateway,conda-forge/jupyter_kernel_gateway,https://github.com/jupyter-server/kernel_gateway,,2015-09-21 15:34:11.000,2023-10-09 19:22:17.000000,2023-03-02 17:55:59,566.0,,120.0,39.0,202.0,15.0,168.0,455.0,2023-02-06 19:49:08.000,2.5.2,139.0,14277.0,15.0,43.0,43.0,44.0,https://pypi.org/project/jupyter-kernel-gateway,,,11927.0,https://anaconda.org/conda-forge/jupyter_kernel_gateway,2023-06-16 13:21:45.404,201968.0,2.0,,,,,,,,,,jupyter-server/kernel_gateway,,,,,,,,,,,,,
100,Octave Kernel,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,23,True,octave_kernel,calysto/octave_kernel,conda-forge/octave_kernel,https://github.com/Calysto/octave_kernel,BSD-3-Clause,2014-07-31 01:59:06.000,2023-06-16 13:22:04.819000,2022-12-18 16:07:56,423.0,,64.0,24.0,52.0,32.0,150.0,435.0,2022-11-29 02:04:58.000,0.35.1,141.0,17347.0,36.0,60.0,60.0,20.0,https://pypi.org/project/octave_kernel,,,11199.0,https://anaconda.org/conda-forge/octave_kernel,2023-06-16 13:22:04.819,510212.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
101,ThebeLab,Turn static HTML pages into live documents with Jupyter kernels.,https://github.com/executablebooks/thebe,,notebook-sharing,23,True,,executablebooks/thebe,,https://github.com/executablebooks/thebe,BSD-3-Clause,2017-03-14 12:17:22.000,2023-10-18 22:31:03.000000,2023-09-28 12:08:17,793.0,13.0,60.0,23.0,486.0,91.0,117.0,350.0,2021-10-26 10:04:08.000,0.8.2,,9856.0,5.0,8.0,8.0,28.0,,,,,,,,3.0,thebe,https://www.npmjs.com/package/thebe,9856.0,,,,,,,,,,,,,,,,,,,,
102,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,23,True,jupyter-server-proxy,jupyterhub/jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,BSD-3-Clause,2016-10-18 22:02:06.000,2023-11-01 15:11:57.000000,2023-10-03 10:43:08,1043.0,45.0,129.0,18.0,246.0,64.0,121.0,312.0,2018-12-10 14:39:58.000,0.8.8,,267765.0,18.0,2.0,2.0,70.0,https://pypi.org/project/jupyter-server-proxy,,,229583.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2023-09-25 14:14:34.674,1417574.0,2.0,@jupyterlab/server-proxy,https://www.npmjs.com/package/@jupyterlab/server-proxy,4431.0,,,,,,,,,,,,,,,,,,,,
103,LDAP Authenticator,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,23,True,jupyterhub-ldapauthenticator,jupyterhub/ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,BSD-3-Clause,2016-01-17 05:11:49.000,2023-10-26 11:16:50.000000,2023-10-03 10:41:29,188.0,2.0,171.0,20.0,80.0,71.0,83.0,192.0,2020-08-28 12:01:56.000,1.3.2,,8383.0,9.0,128.0,121.0,32.0,https://pypi.org/project/jupyterhub-ldapauthenticator,2020-08-28 12:01:56.000,7.0,7869.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2023-06-16 16:08:49.184,33437.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
104,JupyterLab Spellchecker,Spellchecker for JupyterLab notebook markdown cells and file editor.,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,23,True,jupyterlab-spellchecker,jupyterlab-contrib/spellchecker,conda-forge/jupyterlab-spellchecker,https://github.com/jupyterlab-contrib/spellchecker,BSD-3-Clause,2018-04-02 07:47:30.000,2023-10-07 22:03:22.000000,2023-07-28 20:05:17,217.0,,19.0,9.0,84.0,16.0,39.0,191.0,2023-07-28 20:17:21.000,0.8.4,,15632.0,13.0,196.0,196.0,6.0,https://pypi.org/project/jupyterlab-spellchecker,,,11763.0,https://anaconda.org/conda-forge/jupyterlab-spellchecker,2023-07-28 22:34:41.159,99462.0,1.0,@ijmbarr/jupyterlab_spellchecker,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,661.0,,,,,,,,,,,,,,,,,,,,
105,ipylab,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,23,True,ipylab,jtpio/ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2023-10-31 13:55:23.000000,2023-10-09 07:01:31,224.0,4.0,11.0,8.0,89.0,22.0,21.0,159.0,2023-08-11 05:48:03.000,1.0.0,133.0,95147.0,16.0,78.0,67.0,7.0,https://pypi.org/project/ipylab,2023-08-11 05:47:52.000,9.0,93591.0,https://anaconda.org/conda-forge/ipylab,2023-08-11 12:01:52.980,27143.0,1.0,ipylab,https://www.npmjs.com/package/ipylab,756.0,,,,,,,,2023-08-11 05:47:59.304,2.0,,,,,,,,,,,
106,commuter,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,22,False,,nteract/commuter,,https://github.com/nteract/commuter,BSD-3-Clause,2017-01-03 22:23:32.000,2023-09-08 15:20:37.000000,2022-04-28 20:49:58,640.0,,579.0,41.0,255.0,52.0,39.0,6073.0,2020-10-27 19:53:29.453,5.11.0,,965.0,71.0,4.0,2.0,27.0,,,,,,,,3.0,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,965.0,,,,,,,,2020-10-27 19:53:29.453,2.0,,,,,,,,,,,
107,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,22,True,,nteract/hydrogen,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2023-11-02 00:15:32.000000,2023-01-10 01:11:13,2371.0,,352.0,89.0,880.0,169.0,1103.0,3878.0,2023-01-10 01:02:49.000,2.16.5,,,92.0,,,90.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
108,gophernotes,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,True,,gopherdata/gophernotes,,https://github.com/gopherdata/gophernotes,MIT,2016-01-22 19:22:16.000,2023-03-29 09:07:02.000000,2023-03-29 09:05:21,401.0,,255.0,83.0,78.0,54.0,128.0,3683.0,2022-05-31 17:34:28.000,0.7.5,43.0,926.0,22.0,14.0,13.0,29.0,,,,,,,,2.0,,,,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,87126.0,,,,,,,,github.com/gopherdata/gophernotes,https://pkg.go.dev/github.com/gopherdata/gophernotes,2022-05-31 17:31:46,1.0,,,,
109,JupyterLab Drawio,A standalone embedding of the FOSS drawio / mxgraph package into jupyterlab.,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,22,False,jupyterlab-drawio,QuantStack/jupyterlab-drawio,conda-forge/jupyterlab-drawio,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2023-06-16 19:25:47.823000,2021-06-29 12:29:51,101.0,,68.0,29.0,52.0,42.0,25.0,576.0,2021-04-29 10:22:28.814,0.9.0,,5262.0,11.0,1342.0,1340.0,16.0,https://pypi.org/project/jupyterlab-drawio,2021-04-29 10:19:55.000,,1976.0,https://anaconda.org/conda-forge/jupyterlab-drawio,2023-06-16 19:25:47.823,20339.0,1.0,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,2609.0,,,,,,,,2021-04-29 10:22:28.814,2.0,,,,,,,,,,,
110,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,22,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-11-01 15:25:25.000000,2023-11-01 15:25:25,429.0,12.0,60.0,16.0,144.0,6.0,81.0,352.0,2023-07-14 16:46:17.000,0.5.0,,15699.0,16.0,7.0,7.0,18.0,https://pypi.org/project/jupyterlab_templates,,,12461.0,https://anaconda.org/conda-forge/jupyterlab_templates,2023-08-17 13:29:47.158,17231.0,2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2818.0,,,,,,,finos/jupyterlab_templates,,,,,,,,,,,,,
111,dask-labextension,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,22,True,dask-labextension,dask/dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,BSD-3-Clause,2016-09-26 19:01:37.000,2023-08-04 21:07:12.374000,2023-08-04 14:43:59,410.0,,59.0,17.0,120.0,47.0,101.0,295.0,2023-08-04 14:55:02.000,7.0.0,,34038.0,28.0,11.0,2.0,24.0,https://pypi.org/project/dask-labextension,2023-08-04 14:55:02.000,7.0,8260.0,https://anaconda.org/conda-forge/dask-labextension,2023-08-04 21:07:12.374,930794.0,2.0,dask-labextension,https://www.npmjs.com/package/dask-labextension,1912.0,,,,,,,,2022-06-21 23:23:38.435,2.0,,,,,,,,,,,
112,ipytest,Pytest in IPython notebooks.,https://github.com/chmp/ipytest,,notebook-tools,22,True,ipytest,chmp/ipytest,,https://github.com/chmp/ipytest,MIT,2016-02-07 20:24:41.000,2023-09-20 18:27:28.000000,2023-05-19 07:54:10,322.0,,19.0,5.0,44.0,2.0,56.0,273.0,2023-05-19 07:58:00.869,0.13.3,,34091.0,39.0,338.0,317.0,5.0,https://pypi.org/project/ipytest,2023-05-19 07:58:00.869,21.0,34091.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
113,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,22,True,ipywebrtc,maartenbreddels/ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,MIT,2017-08-10 18:07:51.000,2023-06-16 13:24:24.196000,2023-03-06 12:26:30,217.0,,36.0,11.0,74.0,31.0,28.0,228.0,,,,53243.0,8.0,902.0,902.0,9.0,https://pypi.org/project/ipywebrtc,,,48495.0,https://anaconda.org/conda-forge/ipywebrtc,2023-06-16 13:24:24.196,327937.0,3.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,376.0,,,,,,,,,,,,,,,,,,,,
114,BatchSpawner,Custom Spawner for Jupyterhub to start servers in batch scheduled systems.,https://github.com/jupyterhub/batchspawner,,hub-spawners,22,True,batchspawner,jupyterhub/batchspawner,,https://github.com/jupyterhub/batchspawner,BSD-3-Clause,2015-10-27 03:53:10.000,2023-11-01 12:37:47.000000,2023-11-01 12:37:11,401.0,11.0,115.0,18.0,147.0,67.0,83.0,164.0,2022-10-05 04:48:28.224,1.2.0,,4545.0,10.0,34.0,30.0,43.0,https://pypi.org/project/batchspawner,2022-10-05 04:48:28.224,4.0,4545.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
115,mknotebooks,A plugin for mkdocs to help you include Jupyter notebooks in your projects.,https://github.com/greenape/mknotebooks,,notebook-sharing,22,True,mknotebooks,greenape/mknotebooks,,https://github.com/greenape/mknotebooks,MIT,2018-09-18 08:13:25.000,2023-08-11 11:59:54.000000,2023-08-11 11:59:53,1742.0,41.0,19.0,2.0,1078.0,12.0,26.0,118.0,2023-08-07 10:13:29.000,0.8.0,,17814.0,15.0,451.0,451.0,14.0,https://pypi.org/project/mknotebooks,,,17814.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
