,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,trending,conda_dependent_project_count,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2022-11-09 20:40:44.000000,2022-11-09 20:40:43,26160.0,153.0,4392.0,774.0,6750.0,1530.0,5531.0,15579.0,2022-10-30 14:28:25.306,8.6.0,319575.0,18679750.0,153.0,355303.0,320303.0,921.0,https://pypi.org/project/ipython,2022-09-06 09:05:48.169,35000.0,18484514.0,https://anaconda.org/conda-forge/ipython,2022-10-30 14:54:55.127,15196255.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,44,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2022-11-09 01:47:36.000000,2022-10-25 07:55:28,13219.0,196.0,3955.0,319.0,2097.0,2040.0,2495.0,10492.0,2022-10-30 06:48:28.000,6.5.2,9489.0,11443899.0,107.0,8705.0,11.0,618.0,https://pypi.org/project/notebook,2022-06-14 16:08:46.000,8694.0,11100741.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,2548825.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-11-08 11:11:40.044292,954.0,27901891.0,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2022-11-10 02:44:18.000000,2022-11-09 10:22:16,19852.0,206.0,4005.0,450.0,5403.0,685.0,6385.0,16876.0,2022-11-03 20:19:12.830,3.0.1,,3414003.0,147.0,3725.0,167.0,623.0,https://pypi.org/project/bokeh,2022-07-05 19:06:24.000,3553.0,3264939.0,https://anaconda.org/conda-forge/bokeh,2022-11-07 19:16:50.528,9145287.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-11-03 20:17:58.255,5.0,12568.0,,,,,,,,,,,,
4,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/ydataai/pandas-profiling,,widgets,39,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/pandas-profiling,MIT,2016-01-09 23:47:55.000,2022-11-10 12:08:18.000000,2022-10-20 19:10:48,1141.0,116.0,1389.0,151.0,511.0,124.0,488.0,9808.0,2022-10-20 17:20:10.567,3.4.0,,1007942.0,34.0,9730.0,9566.0,101.0,https://pypi.org/project/pandas-profiling,2021-09-27 23:12:22.000,164.0,1003884.0,https://anaconda.org/conda-forge/pandas-profiling,2022-10-21 13:45:24.192,304359.0,1.0,,,,,,,,,,,ydataai/pandas-profiling,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2022-11-09 21:42:16.000000,2022-11-01 08:05:17,6203.0,336.0,1844.0,268.0,1968.0,178.0,2041.0,7299.0,2022-09-09 06:35:44.241,3.0.0,,192367.0,66.0,2331.0,1961.0,313.0,https://pypi.org/project/jupyterhub,2022-06-06 14:27:26.000,370.0,155070.0,https://anaconda.org/conda-forge/jupyterhub,2022-10-28 12:26:53.110,779346.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-11-01 08:25:03.003568,318.0,2757955.0,,,,,,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2022-11-09 22:04:47.000000,2022-11-08 17:59:13,7661.0,106.0,867.0,71.0,1788.0,638.0,1256.0,2627.0,2022-09-02 18:36:45.441,5.0.3,,8325356.0,142.0,14018.0,5215.0,198.0,https://pypi.org/project/ipywidgets,2022-07-06 21:32:24.000,8720.0,8167576.0,https://anaconda.org/conda-forge/ipywidgets,2022-09-06 16:41:24.351,6844496.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-09-02 18:36:45.441,83.0,71141.0,,,,,,,,,,,,
7,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2022-11-10 12:35:00.000000,2022-11-08 07:15:48,2419.0,235.0,308.0,46.0,2007.0,647.0,1442.0,2374.0,2022-11-01 09:58:10.000,0.14.1,,525201.0,243.0,4555.0,4443.0,106.0,https://pypi.org/project/panel,2022-07-05 13:31:06.000,112.0,411999.0,https://anaconda.org/conda-forge/panel,2022-11-03 09:18:18.725,704419.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-10-29 10:17:18.939,,98827.0,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,37,False,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,,2015-04-09 06:58:23.000,2022-11-09 23:07:36.141000,2022-11-09 15:53:14,3912.0,35.0,509.0,50.0,859.0,473.0,597.0,1403.0,2022-11-09 15:53:57.962,7.2.4,61.0,16327921.0,66.0,180849.0,172525.0,252.0,https://pypi.org/project/nbconvert,2022-08-11 11:55:23.519,8324.0,16212397.0,https://anaconda.org/conda-forge/nbconvert,2022-11-09 23:07:36.141,9126395.0,1.0,,,,,,,,,,,,-1.0,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2022-11-02 15:52:35.711000,2022-11-02 01:13:43,1909.0,18.0,185.0,22.0,246.0,101.0,219.0,339.0,2022-08-28 01:45:40.594,5.3.2,,3556137.0,42.0,120602.0,114280.0,118.0,https://pypi.org/project/qtconsole,2022-06-05 17:30:57.000,6322.0,3515537.0,https://anaconda.org/conda-forge/qtconsole,2022-11-02 15:52:35.711,3166847.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,36,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2022-11-09 20:59:35.000000,2022-11-09 15:38:52,2761.0,39.0,327.0,32.0,592.0,237.0,208.0,523.0,2022-11-09 20:59:35.000,6.17.1,709.0,11921029.0,97.0,9634.0,,158.0,https://pypi.org/project/ipykernel,2022-06-15 16:50:11.000,9599.0,11914878.0,https://anaconda.org/anaconda/ipykernel,2022-09-06 16:04:23.662,513434.0,1.0,,,,,,,,,,,,,35.0,,,,,,,,,
11,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,35,True,voila,voila-dashboards/voila,conda-forge/voila,https://github.com/voila-dashboards/voila,BSD-3-Clause,2018-08-21 14:21:42.000,2022-11-10 10:43:40.000000,2022-10-28 10:12:21,1341.0,55.0,441.0,77.0,623.0,271.0,376.0,4428.0,2022-10-26 15:14:01.592,0.4.0,423.0,83580.0,84.0,7710.0,7648.0,62.0,https://pypi.org/project/voila,2022-03-29 17:15:53.000,62.0,77354.0,https://anaconda.org/conda-forge/voila,2022-10-27 07:53:02.986,225580.0,1.0,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555,,1593.0,,,,,,,,,,,,
12,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,35,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2022-11-09 20:55:44.964000,2022-11-08 17:09:54,12455.0,72.0,199.0,41.0,738.0,139.0,198.0,349.0,2022-11-09 15:53:55.229,1.23.1,560.0,9749043.0,103.0,153.0,,483.0,https://pypi.org/project/jupyter_server,2022-09-19 21:14:36.706,153.0,9694303.0,https://anaconda.org/conda-forge/jupyter_server,2022-11-09 20:55:44.964,2736229.0,3.0,,,,,,,,,,,,,,,,,,,,,,
