,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,gem_id,hex_id,bitbucket_id
172,JupyterLab Vim,Vim notebook cell bindings for JupyterLab.,https://github.com/jwkvam/jupyterlab-vim,,lab-extensions,17,False,,jwkvam/jupyterlab-vim,,https://github.com/jwkvam/jupyterlab-vim,MIT,2017-12-02 21:16:38.000,2023-04-05 12:21:41.000000,2019-07-16 04:37:36,60.0,,73.0,20.0,49.0,59.0,42.0,945.0,2019-07-16 04:33:54.000,0.11.0,,259.0,14.0,5.0,5.0,8.0,,,,,,2.0,jupyterlab_vim,https://www.npmjs.com/package/jupyterlab_vim,,,259.0,,,,,,,,,,,,,,,,,
173,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,17,True,,clojupyter/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2023-06-16 16:15:59.087000,2022-11-06 15:47:40,299.0,,76.0,38.0,59.0,16.0,85.0,782.0,,,,74.0,7.0,,,26.0,,,https://anaconda.org/simplect/clojupyter,2023-06-16 16:15:59.087,3340.0,3.0,,,,,,simplect/clojupyter,,,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,413.0,,,,,,,,,,
174,JupyterWith,Declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyenv,,notebook-tools,17,True,,tweag/jupyterWith,,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58.000,2023-06-18 00:10:25.000000,2023-03-17 16:46:08,577.0,,102.0,32.0,313.0,34.0,148.0,477.0,2023-01-31 21:35:49.000,0.1.0,,,1.0,,,36.0,,,,,,3.0,,,,,,,,,,,,,,tweag/jupyenv,,,,,,,,
175,F# Kernel,F# for Jupyter Notebooks.,https://github.com/fsprojects/IfSharp,,kernels,17,False,,fsprojects/IfSharp,,https://github.com/fsprojects/IfSharp,BSD-3-Clause,2013-12-03 21:25:01.000,2022-03-17 09:11:27.000000,2022-03-17 09:11:22,339.0,,65.0,36.0,123.0,13.0,127.0,437.0,2020-03-08 20:03:38.000,3.0.4,5496.0,55.0,15.0,,,28.0,,,,,,3.0,,,,,,fsprojects/ifsharp,,,https://hub.docker.com/r/fsprojects/ifsharp,2019-03-26 17:01:42.996172,,706.0,,,,,,,,,,
176,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,17,False,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,,2016-11-07 14:08:25.000,2023-06-21 04:19:10.000000,2023-04-14 07:14:04,272.0,5.0,39.0,19.0,111.0,12.0,24.0,437.0,,,,1897.0,4.0,34.0,34.0,4.0,https://pypi.org/project/nbtutor,175.0,https://anaconda.org/conda-forge/nbtutor,2023-06-16 13:17:46.107,134341.0,3.0,,,,,,,,,,,,,,,,,,,,,,
177,Lantern,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,17,True,pylantern,timkpaine/lantern,,https://github.com/timkpaine/lantern,Apache-2.0,2017-07-15 03:49:10.000,2022-11-22 01:33:40.000000,2022-11-22 01:33:39,534.0,,20.0,13.0,25.0,11.0,188.0,335.0,2020-02-02 22:32:28.000,0.1.6,,141.0,26.0,19.0,19.0,3.0,https://pypi.org/project/pylantern,141.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
178,naas,"Schedule notebooks, run them like APIs, expose securely your assets: Jupyter as a viable Production environment.",https://github.com/jupyter-naas/naas,,notebook-tools,17,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,AGPL-3.0,2020-09-20 17:09:00.000,2023-06-22 07:02:36.000000,2023-03-02 14:54:55,1789.0,,22.0,4.0,219.0,40.0,138.0,246.0,,,,2347.0,,4.0,4.0,19.0,https://pypi.org/project/naas,2347.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
179,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,17,True,sidecar,jupyter-widgets/jupyterlab-sidecar,conda-forge/sidecar,https://github.com/jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,2018-03-26 09:23:58.000,2023-06-16 19:19:19.627000,2022-12-10 17:49:24,81.0,,40.0,13.0,75.0,22.0,11.0,221.0,2022-12-10 17:57:31.000,0.5.2,,5015.0,4.0,6.0,6.0,14.0,https://pypi.org/project/sidecar,4296.0,https://anaconda.org/conda-forge/sidecar,2023-06-16 19:19:19.627,17750.0,2.0,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,,,240.0,,,,,,,,,,,,,,,,,
180,jupyterlab-interactive-dashboard-editor,A drag-and-drop dashboard editor for JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,,lab-extensions,17,False,jupyterlab-interactive-dashboard-editor,jupytercalpoly/jupyterlab-interactive-dashboard-editor,conda-forge/jupyterlab-interactive-dashboard-editor,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,BSD-3-Clause,2020-06-17 20:39:00.000,2023-06-16 19:25:52.504000,2022-04-13 05:12:13,318.0,,26.0,10.0,113.0,32.0,12.0,208.0,2021-04-01 19:36:39.000,0.4.0,,192.0,5.0,4.0,2.0,11.0,https://pypi.org/project/jupyterlab-interactive-dashboard-editor,100.0,https://anaconda.org/conda-forge/jupyterlab-interactive-dashboard-editor,2023-06-16 19:25:52.504,1495.0,2.0,jupyterlab-interactive-dashboard-editor,https://www.npmjs.com/package/jupyterlab-interactive-dashboard-editor,2021-01-27 19:15:26.231,2.0,33.0,,2021-04-01 19:36:39.000,,,,,,,,,,,,,,,
181,jupyter-fs,A filesystem-like contents manager for multiple backends in Jupyter.,https://github.com/jpmorganchase/jupyter-fs,,lab-extensions,17,True,jupyter-fs,jpmorganchase/jupyter-fs,conda-forge/jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,Apache-2.0,2019-09-24 17:44:10.000,2023-06-16 19:22:50.491000,2023-06-06 09:31:44,407.0,10.0,30.0,14.0,109.0,11.0,50.0,151.0,,,,745.0,4.0,2.0,2.0,13.0,https://pypi.org/project/jupyter-fs,523.0,https://anaconda.org/conda-forge/jupyter-fs,2023-06-16 19:22:50.491,7332.0,2.0,,,,,,,,,,,,,,,,,,,,,,
