,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
150,retrolab,JupyterLab distribution with a retro look and feel.,https://github.com/jupyterlab/retrolab,,notebook-environments,19,True,retrolab,jupyterlab/retrolab,conda-forge/retrolab,https://github.com/jupyterlab/retrolab,BSD-3-Clause,2020-12-07 16:37:07.000,2023-06-16 19:25:59.201000,2023-02-16 13:40:18,633.0,,45.0,14.0,220.0,,111.0,280.0,2022-05-04 07:37:18.000,0.3.21,2790.0,2371.0,50.0,18.0,18.0,17.0,https://pypi.org/project/retrolab,,,686.0,https://anaconda.org/conda-forge/retrolab,2023-06-16 19:25:59.201,51000.0,3.0,@jupyterlab-classic/application,https://www.npmjs.com/package/@jupyterlab-classic/application,,,17.0,,,,,,,,,,,,,,,,,,
151,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,19,True,,akabe/ocaml-jupyter,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2023-08-11 05:33:07.000000,2023-08-11 05:18:21,385.0,,37.0,11.0,125.0,7.0,72.0,274.0,2023-08-11 02:56:40.000,2.8.3,113089.0,1449.0,35.0,,,23.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
152,jupyverse,A Jupyter server based on FastAPI.,https://github.com/jupyter-server/jupyverse,,notebook-environments,19,False,jupyverse,jupyter-server/jupyverse,conda-forge/fps-auth,https://github.com/jupyter-server/jupyverse,BSD-1-Clause,2021-07-23 14:20:02.000,2024-01-16 08:09:26.000000,2024-01-16 08:09:22,653.0,22.0,25.0,9.0,316.0,25.0,44.0,177.0,2024-01-02 11:09:14.000,0.4.2,5261.0,1629.0,61.0,2.0,2.0,12.0,https://pypi.org/project/jupyverse,2024-01-02 11:09:06.000,,375.0,https://anaconda.org/conda-forge/fps-auth,2024-01-02 12:50:50.347,23328.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
153,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,19,True,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,conda-forge/jupyter-rsession-proxy,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2023-06-25 05:31:24.530000,2023-06-23 00:48:01,236.0,,76.0,13.0,65.0,31.0,48.0,110.0,,,,7690.0,9.0,45.0,45.0,21.0,https://pypi.org/project/jupyter-rsession-proxy,,,6943.0,https://anaconda.org/conda-forge/jupyter-rsession-proxy,2023-06-25 05:31:24.530,23183.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
154,jupyter-archive,"A Jupyter/Jupyterlab extension to make, download and extract archive files.",https://github.com/jupyterlab-contrib/jupyter-archive,,jupyter-extensions,19,True,jupyter-archive,jupyterlab-contrib/jupyter-archive,conda-forge/jupyter-archive,https://github.com/jupyterlab-contrib/jupyter-archive,BSD-3-Clause,2019-07-25 17:15:19.000,2023-10-26 14:17:38.000000,2023-10-26 14:17:37,234.0,1.0,13.0,5.0,88.0,2.0,36.0,68.0,2023-08-15 15:28:38.000,3.4.0,3269.0,24418.0,28.0,121.0,121.0,10.0,https://pypi.org/project/jupyter-archive,,,22841.0,https://anaconda.org/conda-forge/jupyter-archive,2023-08-16 14:54:33.988,59207.0,2.0,@hadim/jupyter-archive,https://www.npmjs.com/package/@hadim/jupyter-archive,,,104.0,,,,,,,,,,,,,,,,,,
155,datapane,Build and share data reports in 100% Python.,https://github.com/datapane/datapane,,others,18,True,datapane,datapane/datapane,conda-forge/datapane,https://github.com/datapane/datapane,Apache-2.0,2020-04-23 20:56:54.000,2023-10-16 21:21:29.000000,2023-09-07 13:44:00,362.0,,92.0,19.0,119.0,,112.0,1335.0,,,,16996.0,47.0,,,13.0,https://pypi.org/project/datapane,,,15097.0,https://anaconda.org/conda-forge/datapane,2023-09-07 16:46:44.103,79799.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
156,IJava,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,18,False,,SpencerPark/IJava,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2023-10-13 08:07:19.000000,2019-12-08 22:22:20,90.0,,209.0,34.0,13.0,80.0,59.0,1016.0,2019-05-06 03:28:50.000,1.3.0,150406.0,2244.0,5.0,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
157,clojupyter,a Jupyter kernel for Clojure.,https://github.com/clojupyter/clojupyter,,kernels,18,True,,clojupyter/clojupyter,simplect/clojupyter,https://github.com/clojupyter/clojupyter,MIT,2014-05-09 07:09:06.000,2023-12-29 20:15:18.000000,2023-12-29 20:15:15,323.0,18.0,82.0,37.0,61.0,15.0,89.0,804.0,,,,68.0,8.0,,,26.0,,,,,https://anaconda.org/simplect/clojupyter,2023-07-20 06:35:35.164,3526.0,3.0,,,,,,simplect/clojupyter,https://hub.docker.com/r/simplect/clojupyter,2019-04-25 08:25:07.304303,,416.0,,,,,,,,,,,,,
158,gpu-jupyter,Leverage the flexibility of Jupyterlab through the power of your NVIDIA GPU to run your code from Tensorflow and..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,18,True,,iot-salzburg/gpu-jupyter,,https://github.com/iot-salzburg/gpu-jupyter,Apache-2.0,2019-11-12 20:10:23.000,2024-01-16 16:11:21.000000,2024-01-16 15:19:59,300.0,35.0,212.0,21.0,49.0,5.0,81.0,616.0,2023-12-19 15:55:23.000,1.5_cuda-12.0_ubuntu-22.04,,,7.0,,,15.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
159,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,18,True,jupyterlab_latex,jupyterlab/jupyterlab-latex,conda-forge/jupyterlab-latex,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2023-10-31 13:45:02.000000,2023-10-31 13:44:58,446.0,3.0,66.0,15.0,131.0,33.0,57.0,591.0,2023-05-31 04:26:11.000,3.2.0,,2254.0,3.0,,,23.0,https://pypi.org/project/jupyterlab_latex,,,1715.0,https://anaconda.org/conda-forge/jupyterlab-latex,2023-06-16 19:18:37.104,12992.0,2.0,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,,,251.0,,,,,,,,,,,,,,,,,,
