,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_dependent_project_count,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
138,pick,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,20,False,pick,nteract/pick,,https://github.com/nteract/pick,BSD-3-Clause,2020-04-08 23:47:09.000,2021-12-06 15:27:43.000000,2020-11-04 01:10:24,87.0,,50.0,5.0,26.0,4.0,5.0,534.0,2022-11-21 06:29:00.831,2.2.0,,55568.0,29.0,123.0,,5.0,https://pypi.org/project/pick,2021-12-06 15:27:43.000,123.0,55568.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
139,Matlab Kernel,Jupyter Kernel for Matlab.,https://github.com/Calysto/matlab_kernel,,kernels,20,True,matlab_kernel,calysto/matlab_kernel,conda-forge/matlab_kernel,https://github.com/Calysto/matlab_kernel,BSD-3-Clause,2015-01-31 12:51:06.000,2022-11-07 11:02:02.457000,2022-05-09 10:21:01,216.0,,75.0,23.0,33.0,26.0,104.0,447.0,2022-05-09 10:21:42.000,0.17.1,,1912.0,56.0,5.0,,18.0,https://pypi.org/project/matlab_kernel,2022-05-09 10:21:12.000,5.0,842.0,https://anaconda.org/conda-forge/matlab_kernel,2022-11-07 11:02:02.457,27844.0,3.0,,,,,,,,,,,,,,,,,,,,,,
140,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,20,True,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,BSD-3-Clause,2016-11-07 14:08:25.000,2022-04-19 19:03:10.872000,2022-04-04 19:36:18,182.0,,39.0,23.0,32.0,19.0,24.0,418.0,2022-04-19 10:58:08.000,2.0.3,,1771.0,8.0,32.0,29.0,3.0,https://pypi.org/project/nbtutor,2022-04-19 10:58:08.000,3.0,112.0,https://anaconda.org/conda-forge/nbtutor,2022-04-19 19:03:10.872,121156.0,3.0,,,,,,,,,,,,,,,,,,,,,,
141,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,20,True,jupyterlab-github,jupyterlab/jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2022-12-03 05:47:53.000000,2022-09-05 14:24:06,238.0,,98.0,26.0,80.0,23.0,37.0,340.0,2021-11-27 17:02:34.000,3.0.1,,6421.0,23.0,5.0,3.0,16.0,https://pypi.org/project/jupyterlab-github,2021-11-27 16:59:30.000,2.0,1310.0,,,,2.0,,,,,,,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2021-11-27 16:51:25.639,,5111.0,,,,,,,,,,,
142,retrolab,JupyterLab distribution with a retro look and feel.,https://github.com/jupyterlab/retrolab,,notebook-environments,20,True,retrolab,jupyterlab/retrolab,conda-forge/retrolab,https://github.com/jupyterlab/retrolab,BSD-3-Clause,2020-12-07 16:37:07.000,2022-10-04 08:27:20.000000,2022-10-04 08:27:20,631.0,,46.0,13.0,219.0,4.0,107.0,261.0,2022-05-04 07:37:18.000,0.3.21,843.0,4582.0,50.0,105.0,98.0,17.0,https://pypi.org/project/retrolab,2022-05-04 07:36:52.000,3.0,2989.0,https://anaconda.org/conda-forge/retrolab,2022-05-04 08:31:56.164,31133.0,3.0,,,,,,,@jupyterlab-classic/application,https://www.npmjs.com/package/@jupyterlab-classic/application,2021-04-19 14:22:28.986,4.0,4.0,,,,,,,,,,,
143,HTTP-over-WebSocket,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,20,False,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,conda-forge/jupyter_http_over_ws,https://github.com/googlecolab/jupyter_http_over_ws,Apache-2.0,2018-03-26 22:52:45.000,2022-11-09 21:06:35.000000,2021-08-30 21:48:24,31.0,,42.0,11.0,2.0,20.0,9.0,245.0,2020-03-12 16:09:39.000,0.0.8,,74244.0,10.0,15.0,,3.0,https://pypi.org/project/jupyter_http_over_ws,2020-03-12 16:09:39.000,15.0,73560.0,https://anaconda.org/conda-forge/jupyter_http_over_ws,2020-08-13 15:32:13.531,19857.0,3.0,,,,,,,,,,,,,,,,,,,,,,
144,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,20,False,nbinteract,SamLau95/nbinteract,,https://github.com/SamLau95/nbinteract,BSD-3-Clause,2017-08-31 00:16:20.000,2023-01-05 09:57:44.000000,2021-04-15 20:39:36,590.0,,21.0,8.0,117.0,62.0,41.0,222.0,2021-01-05 06:49:22.791,0.2.6,,1746.0,46.0,40.0,1.0,8.0,https://pypi.org/project/nbinteract,2021-01-05 06:47:54.000,39.0,1657.0,,,,3.0,,,,,,,nbinteract,https://www.npmjs.com/package/nbinteract,2021-01-05 06:49:22.791,,89.0,,,,,,,,,,,
145,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,20,True,sidecar,jupyter-widgets/jupyterlab-sidecar,conda-forge/sidecar,https://github.com/jupyter-widgets/jupyterlab-sidecar,BSD-3-Clause,2018-03-26 09:23:58.000,2022-12-10 22:58:53.725000,2022-12-10 17:49:24,81.0,10.0,39.0,13.0,71.0,35.0,11.0,208.0,2022-12-10 18:10:00.475,0.5.2,,3587.0,7.0,12.0,4.0,14.0,https://pypi.org/project/sidecar,2021-01-15 16:35:10.000,8.0,2814.0,https://anaconda.org/conda-forge/sidecar,2022-12-10 22:58:53.725,13766.0,2.0,,,,,,,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,2021-07-05 14:42:11.336,,343.0,,,,,,,,,,,
146,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,20,True,sas_kernel,sassoftware/sas_kernel,anaconda/sas_kernel,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2022-12-01 22:26:06.000000,2022-12-01 22:24:11,260.0,5.0,75.0,36.0,28.0,2.0,58.0,191.0,2022-12-01 21:51:02.000,2.4.13,,2667.0,20.0,1.0,,10.0,https://pypi.org/project/sas_kernel,2021-07-14 17:32:33.000,1.0,2637.0,https://anaconda.org/anaconda/sas_kernel,2022-03-05 07:03:16.530,1903.0,3.0,,,,,,,,,,,,,,,,,,,,,,
147,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,19,True,jupyterlab_latex,jupyterlab/jupyterlab-latex,conda-forge/jupyterlab-latex,https://github.com/jupyterlab/jupyterlab-latex,BSD-3-Clause,2017-10-24 02:12:37.000,2022-12-03 05:47:54.000000,2022-11-18 19:34:59,438.0,2.0,64.0,13.0,119.0,30.0,55.0,538.0,2021-09-15 15:34:35.000,3.1.0,,3577.0,16.0,4.0,3.0,22.0,https://pypi.org/project/jupyterlab_latex,2021-09-15 15:34:16.000,1.0,2259.0,https://anaconda.org/conda-forge/jupyterlab-latex,2021-09-15 23:50:03.130,7447.0,3.0,,,,,,,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,2021-07-06 17:15:27.404,,1093.0,,,,,,,,,,,
148,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,19,True,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,Apache-2.0,2018-06-26 14:28:02.000,2022-02-12 03:05:54.538000,2022-02-11 15:18:23,212.0,,55.0,19.0,51.0,16.0,29.0,509.0,2022-02-11 15:19:00.000,1.0.0,,1861.0,11.0,10.0,10.0,10.0,https://pypi.org/project/ansible-kernel,2022-02-11 15:19:00.000,,367.0,https://anaconda.org/conda-forge/ansible-kernel,2022-02-12 03:05:54.538,12310.0,3.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66456.0,,,,,,,,,,,,,,,,,
149,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,19,True,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2022-12-03 05:47:53.000000,2022-04-28 22:45:01,515.0,,78.0,35.0,117.0,48.0,65.0,382.0,2020-05-27 00:10:19.202,2.0.0,,1184.0,32.0,2.0,2.0,16.0,,,,,,,,2.0,,,,,,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,2020-05-27 00:10:19.202,,1184.0,,,,,,,,,,,
150,testbook,Unit test your Jupyter Notebooks the right way.,https://github.com/nteract/testbook,,notebook-tools,19,True,nteract-testbook,nteract/testbook,conda-forge/testbook,https://github.com/nteract/testbook,BSD-3-Clause,2020-02-26 19:43:22.000,2022-12-27 21:48:31.000000,2022-11-29 20:28:15,127.0,1.0,34.0,15.0,62.0,42.0,47.0,341.0,2020-08-11 16:50:08.000,0.1.3,,1594.0,7.0,177.0,177.0,15.0,https://pypi.org/project/nteract-testbook,2020-08-11 16:50:08.000,,15.0,https://anaconda.org/conda-forge/testbook,2021-06-02 23:59:03.381,41072.0,3.0,,,,,,,,,,,,,,,,,,,,,,
151,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,19,True,treon,ReviewNB/treon,conda-forge/treon,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-05 18:31:01.490000,2022-08-04 11:15:04,66.0,,25.0,11.0,12.0,4.0,10.0,284.0,2022-08-04 11:25:18.993,0.1.4,,2052.0,5.0,66.0,61.0,5.0,https://pypi.org/project/treon,2019-11-28 16:00:27.000,5.0,1925.0,https://anaconda.org/conda-forge/treon,2022-08-05 18:31:01.490,2419.0,3.0,,,,,,,,,,,,,,,,,,,,,,
152,jupyter-flex,Build dashboards using Jupyter Notebooks.,https://github.com/danielfrg/jupyter-flex,,notebook-sharing,19,True,jupyter-flex,danielfrg/jupyter-flex,conda-forge/jupyter-flex,https://github.com/danielfrg/jupyter-flex,Apache-2.0,2019-12-13 20:19:40.000,2022-12-09 09:29:32.000000,2022-11-16 22:02:38,343.0,1.0,51.0,6.0,79.0,11.0,46.0,271.0,2021-10-02 05:04:29.585,0.8.1,,1254.0,16.0,39.0,39.0,4.0,https://pypi.org/project/jupyter-flex,2021-09-29 21:27:13.000,,856.0,https://anaconda.org/conda-forge/jupyter-flex,2021-10-01 19:49:41.488,10999.0,3.0,,,,,,,@danielfrg/jupyter-flex,https://www.npmjs.com/package/@danielfrg/jupyter-flex,2021-10-02 05:04:29.585,,6.0,,,,,,,,,,,
153,jupyterlab-execute-time,A JupyterLab extension for displaying cell timings.,https://github.com/deshaw/jupyterlab-execute-time,,lab-extensions,19,True,jupyterlab-execute-time,deshaw/jupyterlab-execute-time,conda-forge/jupyterlab_execute_time,https://github.com/deshaw/jupyterlab-execute-time,BSD-3-Clause,2020-04-07 22:27:30.000,2022-12-28 16:26:29.965000,2022-12-28 12:48:39,43.0,5.0,37.0,4.0,38.0,4.0,37.0,246.0,2022-12-28 12:53:08.808,2.3.1,,25153.0,10.0,,,12.0,https://pypi.org/project/jupyterlab-execute-time,2021-10-01 15:42:18.000,,22319.0,https://anaconda.org/conda-forge/jupyterlab_execute_time,2022-12-28 16:26:29.965,27307.0,2.0,,,,,,,jupyterlab-execute-time,https://www.npmjs.com/package/jupyterlab-execute-time,2021-01-18 14:16:24.052,,1697.0,,,,,,,,,,,
154,naas,"Schedule notebooks, run them like APIs, expose securely your assets: Jupyter as a viable Production environment.",https://github.com/jupyter-naas/naas,,notebook-tools,19,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,AGPL-3.0,2020-09-20 17:09:00.000,2022-12-07 09:37:35.000000,2022-12-07 09:37:34,1773.0,32.0,20.0,2.0,208.0,37.0,122.0,221.0,2022-12-02 09:40:28.358,2.8.8,,2559.0,557.0,3.0,3.0,18.0,https://pypi.org/project/naas,2022-07-07 10:58:01.000,,2559.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
