,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,updated_github_id,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-12-02 13:42:43.000000,2021-12-02 02:10:27.000000,4268.0,1543.0,5303.0,15080.0,25572.0,2021-11-26 22:53:03.000000,7.30.0,318003.0,19334127.0,113.0,300549.0,236627.0,846.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-11-26 22:53:03.000000,63922.0,19200172.0,https://anaconda.org/conda-forge/ipython,2021-11-27 02:20:24.865000,8892753.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-11-23 18:41:43.000000,2021-11-18 21:50:27.000000,3598.0,2047.0,2311.0,9565.0,12116.0,2021-11-16 23:13:34.000000,6.4.6,3051.0,11477421.0,83.0,143916.0,127830.0,567.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-11-16 23:13:24.000000,16086.0,11133152.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899000,1679620.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-11-16 20:12:38.899579,883.0,25260140.0,,,,,,,,,,,,,,
3,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,35,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-11-30 17:58:54.000000,2021-11-30 17:58:54.000000,779.0,579.0,1157.0,2370.0,7272.0,2021-09-13 23:41:15.000000,7.6.5,,10653405.0,128.0,17721.0,2727.0,185.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-11-16 18:38:01.000000,14932.0,10450557.0,https://anaconda.org/conda-forge/ipywidgets,2021-11-04 09:21:18.685000,4128702.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-11-16 18:28:27.963000,62.0,142132.0,,,,,,,,,
4,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-12-02 12:40:40.000000,2021-12-02 12:40:39.000000,289.0,205.0,175.0,434.0,2435.0,2021-12-01 13:26:22.000000,6.6.0,110.0,17494477.0,74.0,159759.0,142171.0,147.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-12-01 13:26:16.000000,17588.0,17491334.0,https://anaconda.org/anaconda/ipykernel,2021-10-07 07:56:32.806000,228357.0,1.0,,,,,,,,,,,0.0,,,,,,,,
5,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,34,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-11-23 22:18:09.316000,2021-11-23 16:57:45.000000,169.0,100.0,194.0,286.0,1811.0,2021-11-08 17:20:37.000000,5.2.0,,6739646.0,36.0,101303.0,88941.0,111.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-11-23 16:30:41.000000,12362.0,6707440.0,https://anaconda.org/conda-forge/qtconsole,2021-11-23 22:18:09.316000,2157823.0,1.0,,,,,,,,,,,,,,,,,,,
6,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-12-02 03:21:53.000000,2021-11-30 04:17:53.000000,3826.0,705.0,6084.0,15759.0,,2021-11-22 17:49:14.000000,2.4.2,,1711879.0,115.0,47315.0,41443.0,583.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-11-22 17:49:14.000000,5872.0,1602464.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205000,6127287.0,1.0,,,,,,,,,,,,,,,,,,,
7,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,33,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-12-01 15:36:51.000000,2021-11-25 17:52:32.000000,1194.0,94.0,432.0,8269.0,922.0,2021-09-27 23:12:22.000000,3.1.0,,2691887.0,31.0,6083.0,5923.0,82.0,https://pypi.org/project/pandas-profiling,MIT,2021-09-27 23:12:22.000000,160.0,2689088.0,https://anaconda.org/conda-forge/pandas-profiling,2021-09-28 13:50:05.966000,179169.0,1.0,,,,,,,,,,,,,,,,,,,
8,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,33,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-12-01 12:10:58.000000,2021-11-23 21:17:54.000000,459.0,400.0,555.0,1222.0,,2021-11-12 10:34:27.000000,6.3.0,,11860935.0,44.0,141215.0,125831.0,234.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2021-11-12 10:34:27.000000,15384.0,11782953.0,https://anaconda.org/conda-forge/nbconvert,2021-11-14 13:52:58.823000,5302808.0,1.0,,,,,,,,,,,,,,,,,,,
9,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,32,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-11-17 17:27:51.317000,,2154.0,1976.0,,11599.0,,2021-11-17 17:00:31.000000,3.2.4,,4992490.0,405.0,2388.0,,395.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-11-17 17:00:31.000000,2388.0,4917467.0,https://anaconda.org/conda-forge/jupyterlab,2021-11-17 17:27:51.317000,4951534.0,1.0,,,,,,,,,,,,-6.0,,,,,,,
10,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-12-01 00:51:08.000000,2021-11-22 17:52:30.000000,217.0,134.0,165.0,248.0,2114.0,2021-11-22 17:53:24.000000,7.1.0,104.0,11647576.0,50.0,3594.0,,109.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-11-22 17:53:19.000000,3594.0,11647550.0,,,,1.0,,,,,,,,,,,,,,,,,,,
11,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,31,True,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-11-24 17:21:13.000000,2021-06-10 23:11:53.000000,116.0,45.0,64.0,155.0,752.0,2021-04-02 04:40:44.000000,5.1.3,,11891055.0,21.0,147526.0,131486.0,58.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-04-02 04:40:44.000000,16040.0,11792831.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6679281.0,1.0,,,,,,,,,,,,,,,,,,,
12,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,30,True,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-12-01 16:30:43.000000,2021-11-30 15:54:28.000000,212.0,468.0,1070.0,1480.0,1738.0,2021-11-23 18:03:14.000000,0.12.5,,291059.0,145.0,2416.0,2380.0,79.0,https://pypi.org/project/panel,BSD-3-Clause,2021-11-29 18:45:03.000000,36.0,282040.0,https://anaconda.org/conda-forge/panel,2021-09-27 15:45:09.868000,342723.0,1.0,,,,,,,,,,,,,,,,,,,
13,nbclient,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,30,True,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-11-19 13:08:45.492000,2021-11-19 09:11:46.000000,38.0,32.0,50.0,81.0,237.0,2021-11-19 09:12:41.000000,0.5.9,5.0,11323712.0,19.0,35752.0,35752.0,27.0,https://pypi.org/project/nbclient,BSD-3-Clause,2021-11-19 09:12:37.000000,0.0,11216057.0,https://anaconda.org/conda-forge/nbclient,2021-11-19 13:08:45.492000,2368404.0,1.0,,,,,,,,,,,,,,,,,,,
14,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,29,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-11-09 17:47:06.041000,2021-03-31 14:20:34.000000,2154.0,30.0,245.0,11599.0,1174.0,2021-11-17 17:02:11.670000,3.2.4,,104834.0,134.0,116.0,116.0,11.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2021-11-09 17:47:06.041000,0.0,104834.0,,,,,,,,,
15,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,29,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-12-02 11:46:26.000000,2021-12-02 11:46:26.000000,1638.0,185.0,1855.0,6772.0,,2021-12-01 14:04:19.000000,2.0.0,,208839.0,55.0,2076.0,1566.0,261.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2021-12-01 14:04:19.000000,510.0,174920.0,https://anaconda.org/conda-forge/jupyterhub,2021-12-01 14:18:52.062000,475408.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-12-01 14:17:20.651027,301.0,2414220.0,,,,,,,,,,,,,,
16,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-12-01 13:49:37.000000,2021-12-01 13:49:36.000000,303.0,174.0,278.0,1196.0,969.0,2021-07-21 12:23:32.000000,0.14.0,,96545.0,71.0,1392.0,1292.0,71.0,https://pypi.org/project/ipyleaflet,MIT,2021-06-17 16:00:18.000000,98.0,41263.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,775794.0,1.0,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-06-17 15:58:50.351000,2.0,43703.0,,,,,,,,,
17,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,29,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-11-18 15:26:39.000000,2021-11-16 07:45:33.000000,168.0,93.0,127.0,1187.0,404.0,2021-10-25 07:53:28.306000,0.10.2,,117490.0,39.0,2257.0,2205.0,25.0,https://pypi.org/project/ipympl,BSD-3-Clause,2021-10-25 07:50:22.000000,52.0,63256.0,,,,1.0,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-10-25 07:53:28.306000,,54234.0,,,,,,,,,
18,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,28,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-11-09 17:49:23.266000,2021-08-10 23:33:21.000000,2154.0,64.0,51.0,11599.0,523.0,2021-11-17 17:07:05.553000,5.2.4,,129709.0,125.0,133.0,133.0,14.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2021-11-09 17:49:23.266000,0.0,129709.0,,,,,,,,,
19,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,28,True,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-10-15 08:00:37.000000,2021-04-06 05:51:36.000000,750.0,333.0,448.0,4719.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,234665.0,16.0,494.0,,127.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,494.0,234665.0,,,,1.0,,,,,,,,,,,,,,,,,,,
20,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-12-02 10:07:20.000000,2021-12-02 10:07:18.000000,445.0,219.0,352.0,3189.0,3436.0,2021-10-01 09:15:22.000000,0.12.31,,82880.0,98.0,150.0,28.0,55.0,https://pypi.org/project/bqplot,Apache-2.0,2021-10-01 09:15:22.000000,112.0,47129.0,https://anaconda.org/conda-forge/bqplot,2021-10-01 09:49:41.042000,900945.0,2.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-10-01 09:13:14.243000,10.0,22305.0,,,,,,,,,
