,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,hex_id,bitbucket_id
204,gpu-jupyter,Leverage the flexibility of Jupyterlab through the power of your NVIDIA GPU to run your code from Tensorflow and..,https://github.com/iot-salzburg/gpu-jupyter,,notebook-environments,15,True,,iot-salzburg/gpu-jupyter,,https://github.com/iot-salzburg/gpu-jupyter,Apache-2.0,2019-11-12 20:10:23.000,2023-05-08 16:23:56.000000,2023-04-04 08:01:17,265.0,,193.0,20.0,39.0,5.0,73.0,552.0,2021-04-08 06:54:08.000,1.4_cuda-11.0_ubuntu-18.04,,,5.0,,,12.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
205,ML Hub,Multi-user development platform for machine learning teams. Simple to setup within minutes.,https://github.com/ml-tooling/ml-hub,,notebook-environments,15,False,,ml-tooling/ml-hub,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,220.0,,59.0,17.0,8.0,16.0,11.0,285.0,2020-02-03 15:59:07.000,1.0.0,2037.0,960.0,8.0,,,7.0,,,,,,3.0,,,,,,,,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,44900.0,,,,,,,,,,
206,pynb,Jupyter Notebooks as plain Python code with embedded Markdown text.,https://github.com/elehcimd/pynb,,notebook-sharing,15,False,pynb,elehcimd/pynb,,https://github.com/elehcimd/pynb,MIT,2017-11-14 11:13:22.000,2020-07-07 15:27:22.000000,2020-07-07 15:27:10,154.0,,6.0,18.0,6.0,,8.0,245.0,2020-07-07 15:27:22.000,0.2.4,,129.0,17.0,22.0,21.0,8.0,https://pypi.org/project/pynb,129.0,,,,3.0,,2020-07-07 15:27:22.000,1.0,,,,,,,,,,,,,,,,,,,
207,JupyterLab Go-To-Definition,Navigate to variables definition with a click in JupyterLab (or with a few key strokes).,https://github.com/krassowski/jupyterlab-go-to-definition,,lab-extensions,15,False,,krassowski/jupyterlab-go-to-definition,,https://github.com/krassowski/jupyterlab-go-to-definition,BSD-3-Clause,2018-12-22 01:18:42.000,2021-08-23 19:48:16.000000,2021-07-28 12:06:05,89.0,,8.0,10.0,4.0,10.0,13.0,219.0,2019-07-05 21:26:30.000,0.5.0,,5550.0,5.0,15.0,15.0,2.0,,,,,,3.0,@krassowski/jupyterlab_go_to_definition,,,https://www.npmjs.com/package/@krassowski/jupyterlab_go_to_definition,,,5550.0,,,,,,,,,,,,,,,
208,Jupyter Spark,Jupyter Notebook extension for Apache Spark integration.,https://github.com/mozilla/jupyter-spark,,jupyter-extensions,15,False,jupyter-spark,mozilla/jupyter-spark,,https://github.com/mozilla/jupyter-spark,MPL-2.0,2016-01-27 15:38:50.000,2020-12-01 19:43:11.000000,2020-12-01 19:43:11,106.0,,30.0,35.0,28.0,13.0,14.0,193.0,,,,498.0,,18.0,18.0,12.0,https://pypi.org/project/jupyter-spark,498.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
209,cdsdashboards,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,15,False,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31.000,2023-06-16 19:20:47.542000,2022-09-12 07:55:08,464.0,,37.0,7.0,19.0,33.0,59.0,188.0,,,,2950.0,22.0,,,14.0,https://pypi.org/project/cdsdashboards,1523.0,https://anaconda.org/conda-forge/cdsdashboards,2023-06-16 19:20:47.542,51394.0,3.0,,,,,,,,,,,,,,,,,,,,,,
210,JupyterLab Flake8,A jupyterlab extension to email notebooks directly from JupyterLab.,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,15,True,jupyterlab-email,timkpaine/jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,Apache-2.0,2018-08-07 14:14:40.000,2023-07-20 12:46:29.000000,2023-07-20 12:46:28,220.0,7.0,10.0,4.0,48.0,5.0,32.0,106.0,2022-03-15 23:37:04.000,0.2.4,,169.0,21.0,3.0,1.0,2.0,https://pypi.org/project/jupyterlab-email,50.0,,,,3.0,jupyterlab-flake8,2022-03-15 23:37:04.000,,https://www.npmjs.com/package/jupyterlab-flake8,2021-09-16 15:37:05.151,2.0,119.0,,,,,,,,,,,,,,,
211,nbzip,Zips and downloads all the contents of a jupyter notebook.,https://github.com/data-8/nbzip,,jupyter-extensions,15,False,nbzip,data-8/nbzip,,https://github.com/data-8/nbzip,Apache-2.0,2017-09-30 17:32:31.000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25,43.0,,16.0,7.0,12.0,9.0,5.0,80.0,,,,6267.0,,358.0,358.0,6.0,https://pypi.org/project/nbzip,6267.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
212,nbcelltests,Cell-by-cell testing for production Jupyter notebooks in JupyterLab.,https://github.com/jpmorganchase/nbcelltests,,lab-extensions,15,True,nbcelltests,jpmorganchase/nbcelltests,conda-forge/nbcelltests,https://github.com/jpmorganchase/nbcelltests,Apache-2.0,2018-08-23 23:51:41.000,2023-07-19 00:59:43.000000,2022-12-07 17:04:39,570.0,,19.0,11.0,149.0,31.0,85.0,77.0,2020-10-05 14:23:28.000,0.2.3,,293.0,11.0,,,7.0,https://pypi.org/project/nbcelltests,33.0,https://anaconda.org/conda-forge/nbcelltests,2023-06-16 19:19:22.434,8082.0,3.0,jupyterlab_celltests,,,https://www.npmjs.com/package/jupyterlab_celltests,,,48.0,,,,,,,,,,,,,,,
213,jupyterlab-sos,"Jupyterlab extension for SoS Polyglot Notebook and Workflow Engine, allows multiple kernels in one notebook.",https://github.com/vatlab/jupyterlab-sos,,lab-extensions,15,True,jupyterlab-sos,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,BSD-3-Clause,2018-03-20 16:07:18.000,2023-06-16 16:17:01.985000,2022-12-06 21:58:47,327.0,,6.0,4.0,3.0,9.0,51.0,64.0,2019-09-02 19:30:02.000,0.5.0,,857.0,15.0,2.0,2.0,4.0,https://pypi.org/project/jupyterlab-sos,99.0,https://anaconda.org/conda-forge/jupyterlab-sos,2023-06-16 16:17:01.985,29219.0,3.0,jupyterlab-sos,,,https://www.npmjs.com/package/jupyterlab-sos,,,123.0,,,,,,,,,,,,,,,
214,JupyterLab Autoversion,Automatically version jupyter notebooks in JupyterLab.,https://github.com/timkpaine/jupyterlab_autoversion,,lab-extensions,15,True,jupyterlab_autoversion,timkpaine/jupyterlab_autoversion,conda-forge/jupyterlab_autoversion,https://github.com/timkpaine/jupyterlab_autoversion,Apache-2.0,2018-08-23 23:49:52.000,2023-07-20 12:46:09.000000,2023-07-20 12:46:08,301.0,4.0,9.0,5.0,79.0,5.0,29.0,63.0,2022-04-11 15:35:12.000,0.3.6,,658.0,16.0,2.0,,5.0,https://pypi.org/project/jupyterlab_autoversion,167.0,https://anaconda.org/conda-forge/jupyterlab_autoversion,2023-06-16 19:19:04.178,16131.0,3.0,jupyterlab_autoversion,2022-04-11 15:34:34.000,,https://www.npmjs.com/package/jupyterlab_autoversion,2022-04-11 15:34:49.164,2.0,67.0,,,,,,,,,,,,,,,
215,ipyscales,A widget library for scales.,https://github.com/vidartf/ipyscales,,widgets,15,False,ipyscales,vidartf/ipyscales,conda-forge/ipyscales,https://github.com/vidartf/ipyscales,BSD-3-Clause,2017-08-24 20:16:19.000,2023-06-16 16:11:22.840000,2022-09-01 10:51:55,178.0,,4.0,2.0,23.0,2.0,4.0,13.0,2022-09-01 10:53:14.353,0.7.0,,1089.0,11.0,66.0,56.0,4.0,https://pypi.org/project/ipyscales,65.0,https://anaconda.org/conda-forge/ipyscales,2023-06-16 16:11:22.840,59895.0,3.0,jupyter-scales,2022-09-01 10:53:14.353,1.0,https://www.npmjs.com/package/jupyter-scales,2022-09-01 10:39:34.683,9.0,43.0,,,,,,,,,,,,,,,
216,lgo,Interactive Go programming with Jupyter.,https://github.com/yunabe/lgo,,kernels,14,False,,yunabe/lgo,,https://github.com/yunabe/lgo,BSD-3-Clause,2017-10-05 15:29:10.000,2020-11-20 07:01:33.000000,2019-07-09 12:59:17,169.0,,122.0,48.0,16.0,23.0,54.0,2316.0,,,,,,,,9.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
217,heat,IPython magic command to profile and view your python code as a heat map.,https://github.com/csurfer/pyheatmagic,,magic,14,False,py-heat-magic,csurfer/pyheatmagic,,https://github.com/csurfer/pyheatmagic,MIT,2017-08-18 20:35:01.000,2021-09-10 21:27:13.000000,2021-09-10 21:27:13,34.0,,23.0,11.0,3.0,2.0,3.0,1015.0,,,,713.0,,39.0,39.0,3.0,https://pypi.org/project/py-heat-magic,713.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
218,StickyLand,Break the linear presentation of Jupyter Notebooks with sticky cells!.,https://github.com/xiaohk/stickyland,,lab-extensions,14,True,jupyterlab-stickyland,xiaohk/stickyland,,https://github.com/xiaohk/stickyland,BSD-3-Clause,2021-11-02 15:25:33.000,2023-06-18 19:36:47.000000,2023-06-18 19:36:35,131.0,6.0,27.0,8.0,2.0,1.0,11.0,437.0,2022-03-27 00:17:50.000,0.2.1,17.0,945.0,1.0,3.0,3.0,2.0,https://pypi.org/project/jupyterlab-stickyland,892.0,,,,3.0,jupyterlab-stickyland,,,https://www.npmjs.com/package/jupyterlab-stickyland,,,52.0,,,,,,,,,,,,,,,
219,JupyterLab Tensorboard,Tensorboard extension for jupyterlab.,https://github.com/chaoleili/jupyterlab_tensorboard,,lab-extensions,14,True,,chaoleili/jupyterlab_tensorboard,,https://github.com/chaoleili/jupyterlab_tensorboard,MIT,2018-08-14 12:36:26.000,2022-07-21 07:29:55.000000,2022-07-18 10:51:06,37.0,,33.0,12.0,28.0,20.0,10.0,304.0,,,,7198.0,,4.0,4.0,7.0,,,,,,3.0,jupyterlab_tensorboard,,,https://www.npmjs.com/package/jupyterlab_tensorboard,,,7198.0,,,,,,,,,,,,,,,
220,JupyterLab Chart Editor,JupyterLab extension for Plotlys react-chart-editor.,https://github.com/plotly/jupyterlab-chart-editor,,lab-renderer,14,False,,plotly/jupyterlab-chart-editor,,https://github.com/plotly/jupyterlab-chart-editor,,2018-01-23 18:18:38.000,2023-01-06 19:12:21.000000,2021-03-10 20:56:11,71.0,,24.0,42.0,35.0,12.0,19.0,215.0,2021-03-10 20:57:44.000,4.14.3,,778.0,6.0,6.0,6.0,5.0,,,,,,3.0,jupyterlab-chart-editor,,,https://www.npmjs.com/package/jupyterlab-chart-editor,,,778.0,,,,,,,,,,,,,,,
221,jupyterlab-interactive-dashboard-editor,A drag-and-drop dashboard editor for JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,,lab-extensions,14,False,jupyterlab-interactive-dashboard-editor,jupytercalpoly/jupyterlab-interactive-dashboard-editor,conda-forge/jupyterlab-interactive-dashboard-editor,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,BSD-3-Clause,2020-06-17 20:39:00.000,2023-06-16 19:25:52.504000,2022-04-13 05:12:13,318.0,,26.0,9.0,113.0,27.0,12.0,209.0,,,,175.0,1.0,2.0,2.0,11.0,https://pypi.org/project/jupyterlab-interactive-dashboard-editor,60.0,https://anaconda.org/conda-forge/jupyterlab-interactive-dashboard-editor,2023-06-16 19:25:52.504,1575.0,3.0,jupyterlab-interactive-dashboard-editor,,,https://www.npmjs.com/package/jupyterlab-interactive-dashboard-editor,,,55.0,,,,,,,,,,,,,,,
222,jupyterlab-tabular-data-editor,Manipulate your tabular data responsively and effectively within JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,,lab-renderer,14,False,jupyterlab-tabular-data-editor,jupytercalpoly/jupyterlab-tabular-data-editor,,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,BSD-3-Clause,2020-06-17 20:38:15.000,2021-03-24 19:51:34.000000,2021-03-24 19:48:15,225.0,,17.0,7.0,189.0,31.0,103.0,128.0,2021-03-24 19:51:34.000,1.0.0,,1717.0,1.0,2.0,2.0,5.0,https://pypi.org/project/jupyterlab-tabular-data-editor,1588.0,,,,3.0,jupyterlab-tabular-data-editor,,,https://www.npmjs.com/package/jupyterlab-tabular-data-editor,,,129.0,,,,,,,,,,,,,,,
223,JupyterLab HDF5,"Open and explore HDF5 files in JupyterLab. Can handle very large (TB) sized files, and datasets of any dimensionality.",https://github.com/jupyterlab/jupyterlab-hdf5,,lab-extensions,14,True,jupyterlab_hdf,jupyterlab/jupyterlab-hdf5,,https://github.com/jupyterlab/jupyterlab-hdf5,BSD-3-Clause,2018-10-02 18:20:20.000,2023-07-19 01:38:02.000000,2023-03-22 16:23:31,361.0,,22.0,16.0,95.0,12.0,36.0,112.0,,,,975.0,,2.0,2.0,7.0,https://pypi.org/project/jupyterlab_hdf,645.0,,,,3.0,@jupyterlab/hdf5,,,https://www.npmjs.com/package/@jupyterlab/hdf5,,,330.0,,,,,,,,,,,,,,,
224,jupyterlab-celltags,A JupyterLab extension for notebook cell tags.,https://github.com/jupyterlab/jupyterlab-celltags,,lab-extensions,14,False,,jupyterlab/jupyterlab-celltags,,https://github.com/jupyterlab/jupyterlab-celltags,BSD-3-Clause,2018-06-18 22:02:23.000,2020-04-29 18:27:31.000000,2020-04-29 18:26:29,441.0,,26.0,14.0,184.0,12.0,7.0,112.0,,,,,,824.0,824.0,10.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
225,jupyterlab-theme-solarized-dark,JupyterLab Theme Solarized Dark.,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,,lab-themes,14,True,jupyterlab_theme_solarized_dark,AllanChain/jupyterlab-theme-solarized-dark,,https://github.com/AllanChain/jupyterlab-theme-solarized-dark,BSD-3-Clause,2020-04-05 12:18:48.000,2023-07-19 06:56:26.000000,2023-07-19 06:56:24,120.0,27.0,8.0,2.0,32.0,2.0,2.0,85.0,2023-07-13 02:25:29.000,3.0.0,7.0,9791.0,10.0,2.0,2.0,2.0,https://pypi.org/project/jupyterlab_theme_solarized_dark,7454.0,,,,2.0,jupyterlab-theme-solarized-dark,,,https://www.npmjs.com/package/jupyterlab-theme-solarized-dark,,,2337.0,,,,,,,,,,,,,,,
226,JupyterLab Python Files,JupyterLab extension to create Python files.,https://github.com/jtpio/jupyterlab-python-file,,lab-extensions,14,False,jupyterlab-python-file,jtpio/jupyterlab-python-file,conda-forge/jupyterlab-python-file,https://github.com/jtpio/jupyterlab-python-file,BSD-3-Clause,2018-10-17 22:21:21.000,2023-06-16 19:22:55.197000,2021-08-27 11:18:51,92.0,,11.0,3.0,41.0,1.0,8.0,52.0,2021-06-23 21:13:28.000,0.5.5,98.0,1396.0,6.0,2.0,2.0,4.0,https://pypi.org/project/jupyterlab-python-file,736.0,https://anaconda.org/conda-forge/jupyterlab-python-file,2023-06-16 19:22:55.197,10479.0,3.0,jupyterlab-python-file,,,https://www.npmjs.com/package/jupyterlab-python-file,,,340.0,,,,,,,,,,,,,,,
227,PPExtensions,Set of iPython and Jupyter extensions to improve user experience.,https://github.com/paypal/PPExtensions,,jupyter-extensions,14,False,ppextensions,paypal/PPExtensions,,https://github.com/paypal/PPExtensions,BSD-3-Clause,2018-08-17 20:07:23.000,2019-11-22 13:46:43.000000,2018-12-07 00:05:33,32.0,,31.0,22.0,30.0,20.0,22.0,49.0,2019-08-02 20:26:21.257,0.0.6,,29.0,6.0,1.0,1.0,9.0,https://pypi.org/project/ppextensions,29.0,,,,3.0,,2018-08-23 23:53:16.000,,,,,,,,,,,,,,,,,,,,
228,KnowledgeLab,KnowledgeRepo + JupyterLab.,https://github.com/timkpaine/knowledgelab,,lab-extensions,14,True,knowledgelab,timkpaine/knowledgelab,,https://github.com/timkpaine/knowledgelab,Apache-2.0,2017-10-18 01:10:58.000,2023-07-18 22:23:47.000000,2023-07-18 22:23:46,169.0,4.0,6.0,9.0,44.0,5.0,24.0,46.0,2018-10-16 21:43:49.317,0.0.6,,15.0,5.0,7.0,5.0,3.0,https://pypi.org/project/knowledgelab,4.0,,,,3.0,knowledgelab,2017-10-19 21:16:50.000,,https://www.npmjs.com/package/knowledgelab,2018-10-16 21:43:49.317,2.0,11.0,,,,,,,,,,,,,,,
229,FargateSpawner,Spawns JupyterHub single user servers in Docker containers running in AWS Fargate.,https://github.com/uktrade/fargatespawner,,hub-spawners,14,False,fargatespawner,uktrade/fargatespawner,,https://github.com/uktrade/fargatespawner,MIT,2018-09-12 14:06:22.000,2020-06-28 13:26:26.000000,2020-06-28 13:25:54,59.0,,21.0,14.0,12.0,6.0,5.0,39.0,2020-06-28 13:26:26.000,0.0.25,,313.0,25.0,4.0,4.0,3.0,https://pypi.org/project/fargatespawner,313.0,,,,3.0,,2020-06-28 13:26:26.000,,,,,,,,,,,,,,,,,,,,
