,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
10,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-09-14 21:51:41.000000,2021-08-31 08:47:08.000000,213.0,129.0,158.0,243.0,2060.0,2021-08-30 11:22:11.000000,7.0.2,33.0,13792825.0,45.0,3594.0,,105.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-08-30 11:22:07.000000,3594.0,13792792.0,,,,1.0,,,,,,,,,,,,,,,,,,
11,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,31,True,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-09-16 11:44:43.000000,2021-06-10 23:11:53.000000,113.0,40.0,64.0,148.0,752.0,2021-04-02 04:40:44.000000,5.1.3,,14695235.0,21.0,137839.0,121799.0,58.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-04-02 04:40:44.000000,16040.0,14603984.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,5931315.0,1.0,,,,,,,,,,,,,,,,,,
12,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-09-09 18:47:55.000000,2021-09-08 21:42:34.000000,304.0,77.0,387.0,4830.0,2204.0,2021-09-08 21:49:43.000000,1.12.0,,113477.0,101.0,1986.0,1878.0,65.0,https://pypi.org/project/jupytext,MIT,2021-09-08 21:49:43.000000,108.0,92368.0,https://anaconda.org/conda-forge/jupytext,2021-09-09 17:26:43.091000,216307.0,1.0,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-09-08 21:21:52.353000,,14748.0,,,,,,,,
13,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,30,True,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-09-16 14:16:32.000000,2021-09-16 09:22:07.000000,199.0,413.0,1000.0,1393.0,1615.0,2021-08-10 15:19:33.000000,0.12.1,,230258.0,119.0,2029.0,1993.0,72.0,https://pypi.org/project/panel,BSD-3-Clause,2021-09-02 15:35:43.000000,36.0,221897.0,https://anaconda.org/conda-forge/panel,2021-08-13 13:14:53.062000,292651.0,1.0,,,,,,,,,,,,,,,,,,
14,nbclient,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,30,True,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-09-15 15:21:20.000000,2021-08-16 09:08:48.000000,32.0,27.0,48.0,74.0,203.0,2021-08-16 09:10:16.000000,0.5.4,,13711601.0,15.0,27930.0,27930.0,22.0,https://pypi.org/project/nbclient,BSD-3-Clause,2021-08-16 09:09:59.000000,0.0,13617028.0,https://anaconda.org/conda-forge/nbclient,2021-08-16 13:35:11.226000,1796897.0,1.0,,,,,,,,,,,,,,,,,,
15,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,29,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-09-13 19:40:35.963000,2021-03-31 14:20:34.000000,2089.0,30.0,243.0,11384.0,1174.0,2021-09-14 11:41:46.292000,3.1.11,,73350.0,117.0,98.0,98.0,11.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2021-09-13 19:40:35.963000,0.0,73350.0,4.0,,,,,,,
16,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,29,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-09-16 09:57:45.000000,2021-09-14 12:19:58.000000,1610.0,177.0,1828.0,6663.0,,2021-07-16 11:58:23.000000,1.4.2,,179769.0,45.0,1992.0,1482.0,255.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2021-07-16 11:58:23.000000,510.0,146022.0,https://anaconda.org/conda-forge/jupyterhub,2021-07-16 22:12:11.207000,442394.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-07-16 12:10:32.711466,295.0,2334703.0,,,,,,,,,,,,,
17,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-09-13 07:27:34.000000,2021-09-13 07:27:34.000000,303.0,170.0,272.0,1178.0,952.0,2021-07-21 12:23:32.000000,0.14.0,,85905.0,71.0,1206.0,1106.0,69.0,https://pypi.org/project/ipyleaflet,MIT,2021-06-17 16:00:18.000000,98.0,48838.0,https://anaconda.org/conda-forge/ipyleaflet,2021-06-17 16:32:56.948000,746237.0,1.0,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-06-17 15:58:50.351000,2.0,25408.0,,,,,,,,
18,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,28,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-09-13 19:45:24.259000,2021-08-10 23:33:21.000000,2089.0,65.0,49.0,11384.0,523.0,2021-09-14 11:46:11.563000,5.1.11,,100513.0,108.0,113.0,113.0,13.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2021-09-13 19:45:24.259000,0.0,100513.0,,,,,,,,
19,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,28,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2021-08-31 06:57:28.000000,2021-08-25 15:22:42.000000,416.0,194.0,350.0,3136.0,3414.0,2021-07-16 08:16:38.000000,0.12.30,,87154.0,97.0,150.0,28.0,54.0,https://pypi.org/project/bqplot,Apache-2.0,2021-07-16 08:04:30.000000,112.0,62087.0,https://anaconda.org/conda-forge/bqplot,2021-07-16 09:06:48.168000,765957.0,1.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2021-07-16 08:02:45.624000,10.0,13099.0,,,,,,,,
20,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,28,True,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2021-08-30 10:12:52.000000,2021-06-24 13:15:03.000000,125.0,58.0,215.0,2082.0,1934.0,2021-04-14 17:37:10.000000,3.0.0,,265482.0,24.0,263.0,51.0,32.0,https://pypi.org/project/nbdime,BSD-3-Clause,2021-05-25 16:15:59.000000,212.0,190568.0,https://anaconda.org/conda-forge/nbdime,2021-05-25 19:33:13.127000,374177.0,1.0,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2021-04-14 17:36:09.471000,,68350.0,,,,,,,,
21,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,28,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2021-09-11 18:28:48.000000,2021-06-29 17:43:55.000000,237.0,102.0,37.0,1430.0,253.0,2020-05-02 15:29:58.000000,0.4.0,,78431.0,16.0,2302.0,2180.0,44.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000000,122.0,76433.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,121878.0,1.0,,,,,,,,,,,,,,,,,,
22,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,28,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-09-15 15:59:52.000000,2021-05-07 14:58:22.000000,164.0,109.0,100.0,1128.0,305.0,2021-03-22 22:31:41.750000,0.9.0,,111725.0,36.0,1848.0,1796.0,23.0,https://pypi.org/project/ipympl,BSD-3-Clause,2021-03-22 22:31:30.000000,52.0,67622.0,,,,1.0,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-03-22 22:31:41.750000,,44103.0,,,,,,,,
23,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,28,True,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2021-08-16 19:04:35.000000,2021-08-16 17:52:48.000000,255.0,228.0,667.0,959.0,2054.0,2021-08-16 19:04:35.000000,1.2.20210816,,4857432.0,19.0,12.0,,51.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000000,12.0,4857432.0,,,,2.0,,,,,,,,,,,,,,,,,,
24,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,27,True,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-05-21 19:21:38.000000,2021-04-06 05:51:36.000000,750.0,333.0,448.0,4672.0,2608.0,2019-01-02 12:23:07.000000,0.5.1,,209176.0,16.0,494.0,,127.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,494.0,209176.0,,,,1.0,,,,,,,,,,,,,,,,,,
25,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,27,True,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-09-16 13:52:43.000000,2021-09-16 13:52:18.000000,345.0,247.0,304.0,3562.0,,2021-09-15 15:17:18.000000,0.2.13,6.0,43306.0,61.0,4820.0,4794.0,54.0,https://pypi.org/project/voila,BSD-3-Clause,2021-09-15 15:17:11.000000,26.0,35540.0,https://anaconda.org/conda-forge/voila,2021-09-16 06:20:14.570000,142739.0,2.0,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555000,,3682.0,,,,,,,,
26,Perspective,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,27,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-09-16 06:33:53.000000,2021-09-15 21:36:53.000000,386.0,75.0,373.0,3544.0,4666.0,2021-08-31 15:53:28.000000,0.10.2,,2243.0,49.0,217.0,209.0,64.0,https://pypi.org/project/perspective-python,Apache-2.0,2021-08-31 15:53:28.000000,8.0,,,,,1.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2021-08-31 19:12:37.891000,,2243.0,,,,,,,,
27,Jupyter Book,"Create beautiful, publication-quality books and documents from computational content.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,27,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-09-09 23:09:07.000000,2021-09-09 23:09:07.000000,380.0,327.0,557.0,2446.0,1278.0,2021-08-25 04:10:41.000000,0.11.3,,19459.0,36.0,44.0,,86.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2021-08-25 04:10:41.000000,44.0,19459.0,,,,2.0,,,,,,,,,,,,,,,,,,
28,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,27,True,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-09-09 18:47:00.000000,2021-09-09 18:47:00.000000,370.0,131.0,256.0,1038.0,1163.0,2021-08-27 16:28:41.000000,0.19.1,,45350.0,48.0,241.0,207.0,54.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2021-08-19 13:52:26.000000,34.0,44640.0,https://anaconda.org/conda-forge/sparkmagic,2021-08-17 12:12:12.530000,34812.0,1.0,,,,,,,,,,,,,,,,,,
29,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,27,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2021-09-16 11:14:22.871000,2021-09-16 08:24:21.000000,204.0,90.0,406.0,957.0,1716.0,2021-09-16 09:06:58.000000,0.32.4,,130473.0,48.0,43.0,13.0,65.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2021-09-16 09:06:58.000000,30.0,127670.0,https://anaconda.org/conda-forge/jupyterlab-git,2021-09-16 11:14:22.871000,92509.0,1.0,,,,,,,,,,,,,,,,,,
30,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,26,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-08-23 17:19:43.000000,2021-08-23 17:19:38.000000,968.0,205.0,196.0,8712.0,634.0,2018-11-22 17:02:16.000000,0.20.0,,32257.0,116.0,190.0,,42.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,190.0,32257.0,,,,1.0,,,,,,,,,,,,,,,,,,
31,facets-overview,Visualizations for machine learning datasets.,https://github.com/PAIR-code/facets,,widgets,26,True,pair-code/facets,facets-overview,,https://github.com/PAIR-code/facets,2017-07-07 14:03:03.000000,2021-08-16 22:05:29.000000,2021-05-06 12:01:05.000000,834.0,76.0,76.0,6674.0,264.0,2019-07-24 15:57:06.000000,1.0.0,,91538.0,4.0,73.0,67.0,28.0,https://pypi.org/project/facets-overview,Apache-2.0,2019-07-24 15:57:06.000000,6.0,91538.0,,,,2.0,,,,,,,,,,,,,,,,,,
32,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,26,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-09-03 18:17:19.000000,2021-08-30 18:40:42.000000,553.0,155.0,1509.0,5633.0,10501.0,2021-01-26 05:18:38.000000,0.28.0,1242963.0,22464.0,66.0,5.0,,173.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,3043.0,,,,2.0,,,,,,,,,,,,,,,,,,
33,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,26,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-08-31 04:39:30.000000,2021-08-31 04:39:29.000000,333.0,93.0,228.0,4308.0,,2021-03-09 17:54:04.000000,2.3.3,,380201.0,70.0,1792.0,1642.0,93.0,https://pypi.org/project/papermill,BSD-3-Clause,2021-03-09 17:54:04.000000,150.0,375205.0,https://anaconda.org/conda-forge/papermill,2021-03-11 16:25:12.955000,184875.0,2.0,,,,,,,,,,,,,,,,,,
34,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,26,True,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2021-04-29 15:35:53.000000,2021-04-29 10:13:29.000000,356.0,128.0,279.0,3089.0,737.0,2020-10-29 01:31:20.000000,5.7.1,,14225.0,28.0,1912.0,1602.0,39.0,https://pypi.org/project/RISE,BSD-3-Clause,2020-10-29 01:31:20.000000,310.0,10209.0,https://anaconda.org/conda-forge/rise,2021-03-11 13:00:21.741000,172718.0,2.0,,,,,,,,,,,,,,,,,,
35,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,26,True,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-08-28 12:59:35.000000,2021-01-21 14:02:57.000000,380.0,341.0,4173.0,2600.0,1689.0,2021-08-28 12:59:35.000000,2.3.6,31.0,21626.0,50.0,40.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2021-08-28 12:59:35.000000,40.0,8216.0,https://anaconda.org/conda-forge/beakerx,2021-07-20 12:14:16.709000,453936.0,2.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,22.0,244081.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776000,0.0,1329.0,,,,,,,,
36,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,26,True,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2021-09-16 11:50:30.000000,2021-09-16 11:50:29.000000,808.0,63.0,247.0,2056.0,,2021-09-10 12:35:16.000000,7.0.0,,54576.0,30.0,2162.0,1672.0,102.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2021-09-10 13:47:52.000000,490.0,46838.0,https://anaconda.org/conda-forge/ipyparallel,2021-09-10 14:33:18.441000,503026.0,2.0,,,,,,,,,,,,,,,,,,
37,ipyvolume,3d plotting for Python in the Jupyter notebook based on IPython widgets using WebGL.,https://github.com/maartenbreddels/ipyvolume,,widgets,26,True,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-09-07 14:25:38.000000,2021-09-07 14:25:01.000000,213.0,179.0,123.0,1666.0,947.0,2019-07-07 19:46:13.862000,0.5.2,,38519.0,46.0,623.0,571.0,39.0,https://pypi.org/project/ipyvolume,MIT,2021-04-13 12:23:25.000000,48.0,29439.0,https://anaconda.org/conda-forge/ipyvolume,2021-04-20 13:21:49.451000,314863.0,2.0,,,,,,ipyvolume,https://www.npmjs.com/package/ipyvolume,2021-04-13 12:31:01.403000,4.0,3356.0,,,,,,,,
38,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,26,True,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2021-08-23 23:56:33.000000,2021-01-27 08:24:41.000000,42.0,35.0,60.0,359.0,435.0,2020-07-30 10:58:32.000000,0.9.6,,81916.0,19.0,1312.0,1136.0,26.0,https://pypi.org/project/nbval,BSD-3-Clause,2020-07-30 10:58:32.000000,176.0,78957.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,156871.0,2.0,,,,,,,,,,,,,,,,,,
