,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-06-29 08:12:57.000000,2023-06-26 12:22:56,26592.0,90.0,4252.0,762.0,6896.0,1541.0,5601.0,15856.0,2021-01-30 02:36:56.000,7.18.1,320202.0,25054627.0,86.0,418602.0,418602.0,950.0,https://pypi.org/project/ipython,24808453.0,https://anaconda.org/conda-forge/ipython,2023-06-02 17:57:56.118,20937714.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-06-29 12:18:51.000000,2023-06-29 09:13:11,20157.0,91.0,4109.0,449.0,5741.0,744.0,6619.0,17702.0,2023-06-21 19:11:28.440,3.2.0,,3610828.0,171.0,75220.0,71542.0,660.0,https://pypi.org/project/bokeh,3275310.0,https://anaconda.org/conda-forge/bokeh,2023-06-26 09:51:49.689,11706412.0,1.0,@bokeh/bokehjs,2022-12-20 09:06:57.840,3671.0,https://www.npmjs.com/package/@bokeh/bokehjs,2023-06-22 16:53:46.590,7.0,10340.0,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-06-29 10:41:32.057523,2023-06-26 08:55:50,13406.0,64.0,4143.0,321.0,2256.0,1992.0,2697.0,11271.0,2023-04-06 15:10:11.599,6.5.4,13184.0,13038556.0,128.0,8866.0,23.0,635.0,https://pypi.org/project/notebook,12686570.0,https://anaconda.org/conda-forge/jupyter,2023-06-16 13:17:46.215,3433422.0,1.0,,2021-05-12 18:26:55.000,8843.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-06-29 10:41:32.057523,1027.0,30108405.0,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-06-28 18:21:12.000000,2023-06-28 18:21:11,3974.0,27.0,523.0,50.0,909.0,496.0,625.0,1516.0,2023-06-19 18:56:39.083,7.6.0,490.0,17010567.0,78.0,223373.0,214939.0,261.0,https://pypi.org/project/nbconvert,16597238.0,https://anaconda.org/conda-forge/nbconvert,2023-06-19 19:22:16.371,12812891.0,1.0,,2017-05-24 22:15:42.000,8434.0,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-06-29 07:35:23.000000,2023-06-28 13:53:26,6891.0,151.0,1911.0,267.0,2142.0,190.0,2116.0,7565.0,2023-06-08 08:41:01.436,4.0.1,,218464.0,73.0,2729.0,2349.0,338.0,https://pypi.org/project/jupyterhub,163420.0,https://anaconda.org/conda-forge/jupyterhub,2023-06-09 00:00:05.747,949695.0,1.0,,2022-06-06 14:27:26.000,380.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-06-28 14:02:34.850964,326.0,4738179.0,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-06-29 11:56:27.000000,2023-06-29 11:02:37,3050.0,347.0,344.0,52.0,2557.0,713.0,1900.0,2913.0,2023-06-21 14:04:15.994,1.1.1,,562677.0,304.0,7574.0,7425.0,127.0,https://pypi.org/project/panel,465865.0,https://anaconda.org/conda-forge/panel,2023-06-23 11:32:58.281,1043459.0,1.0,@holoviz/panel,2022-07-05 13:31:06.000,147.0,https://www.npmjs.com/package/@holoviz/panel,2023-06-21 14:04:15.994,2.0,67828.0,,,,,,,,,,,,,,,,
7,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2023-06-27 16:02:42.000000,2023-06-26 13:37:53,7753.0,15.0,922.0,75.0,1851.0,698.0,1301.0,2825.0,2023-03-28 15:17:11.056,8.0.6,,8525308.0,149.0,16777.0,7582.0,206.0,https://pypi.org/project/ipywidgets,8356266.0,https://anaconda.org/conda-forge/ipywidgets,2023-06-16 13:17:27.059,10042830.0,1.0,@jupyter-widgets/jupyterlab-manager,2017-02-27 19:03:36.000,9100.0,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2023-03-28 15:12:19.903,95.0,52265.0,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-06-29 10:19:29.000000,2023-06-29 10:19:28,2845.0,17.0,331.0,35.0,666.0,233.0,228.0,556.0,2023-06-23 11:00:44.000,6.23.3,1566.0,15105894.0,63.0,265919.0,265919.0,171.0,https://pypi.org/project/ipykernel,15097892.0,https://anaconda.org/anaconda/ipykernel,2023-06-16 13:05:58.237,722613.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
9,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-06-27 10:11:50.000000,2023-06-21 12:32:35,1308.0,33.0,1489.0,152.0,666.0,163.0,522.0,10788.0,2023-06-21 12:39:17.000,4.3.1,,971789.0,46.0,963.0,777.0,110.0,https://pypi.org/project/pandas-profiling,967180.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,378018.0,1.0,,2021-09-27 23:12:22.000,186.0,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,
