,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-01-24 19:27:17.000000,2021-01-11 16:29:32.000000,4129.0,1461.0,5144.0,14631.0,24824.0,2020-10-30 18:15:35.000000,7.19.0,316835.0,8812701.0,99.0,239334.0,175412.0,794.0,https://pypi.org/project/ipython,BSD-3-Clause,2020-10-30 18:15:35.000000,63922.0,8717766.0,https://anaconda.org/conda-forge/ipython,2021-01-16 02:50:32.339000,5208476.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-01-27 22:05:15.000000,2021-01-18 16:45:50.000000,3287.0,2001.0,2183.0,8744.0,11996.0,2021-01-13 23:58:54.000000,6.2.0,242.0,7352345.0,69.0,106233.0,90147.0,541.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,7111513.0,https://anaconda.org/conda-forge/jupyter,2021-01-27 08:58:37.031000,1194140.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-01-27 06:48:38.324033,777.0,14900630.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-01-28 01:40:42.000000,2021-01-27 22:00:36.000000,1894.0,1771.0,3679.0,10736.0,22724.0,2021-01-14 20:53:47.000000,3.0.5,,452434.0,326.0,35619.0,33231.0,385.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-01-21 18:46:10.000000,2388.0,394794.0,https://anaconda.org/conda-forge/jupyterlab,2021-01-22 13:42:47.603000,3170234.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,36,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-01-16 23:14:12.000000,2021-01-06 13:31:25.000000,712.0,540.0,1069.0,2101.0,6691.0,2020-12-27 00:41:53.000000,7.6.3,,6913995.0,119.0,100339.0,85345.0,167.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-01-07 00:25:28.000000,14932.0,6713948.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2650423.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,153549.0,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-01-26 18:50:08.000000,2021-01-26 18:50:07.000000,407.0,332.0,507.0,1061.0,3676.0,2020-10-02 22:38:52.000000,6.0.7,,7511114.0,35.0,104313.0,88929.0,209.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,7454668.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3217470.0,1.0,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-01-27 22:37:17.000000,2021-01-11 17:11:34.000000,251.0,166.0,129.0,364.0,2067.0,2021-01-21 22:34:12.000000,5.4.3,,6834181.0,41.0,115841.0,98253.0,122.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,6832382.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,111552.0,1.0,,,,,,,,,,,0.0,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-01-27 22:58:13.000000,2021-01-27 22:58:09.000000,3621.0,605.0,5748.0,14575.0,,2020-10-21 02:39:03.000000,2.2.3,,925753.0,83.0,36037.0,30165.0,546.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-01-19 00:27:21.000000,5872.0,844971.0,https://anaconda.org/conda-forge/bokeh,2021-01-13 10:22:16.472000,3635198.0,1.0,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,181.0,245.0,1747.0,2020-11-24 17:28:10.000000,5.0.2,,5607255.0,31.0,81068.0,68706.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,5578397.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1616094.0,1.0,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-01-28 11:23:21.000000,2021-01-27 11:39:55.000000,1512.0,393.0,1525.0,6339.0,4523.0,2020-12-11 11:09:47.000000,1.3.0,,83307.0,42.0,1678.0,1168.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,53210.0,https://anaconda.org/conda-forge/jupyterhub,2021-01-22 17:58:42.029000,319510.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-01-27 11:56:16.507965,275.0,1927015.0,,,,,,,,,,,,,
