,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,trending,updated_github_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
114,JupyterLab Dash,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,21,False,jupyterlab-dash,plotly/jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,2018-11-07 19:47:52.000,2021-01-22 17:06:54.671000,2020-05-19 11:44:34,41.0,,177.0,42.0,12.0,22.0,8.0,679.0,2021-01-22 17:06:54.671,0.4.0,,12922.0,10.0,189.0,188.0,7.0,https://pypi.org/project/jupyterlab-dash,MIT,2019-07-13 16:38:26.000,1.0,1229.0,,,,2.0,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671,,11693.0,,,,,,,,,,,,,,,,,
115,JupyterLab Latex,JupyterLab extension for live editing of LaTeX documents.,https://github.com/jupyterlab/jupyterlab-latex,,lab-renderer,21,True,jupyterlab_latex,jupyterlab/jupyterlab-latex,conda-forge/jupyterlab-latex,https://github.com/jupyterlab/jupyterlab-latex,2017-10-24 02:12:37.000,2022-01-27 01:01:04.000000,2021-09-28 17:02:12,413.0,,60.0,15.0,105.0,49.0,54.0,515.0,2021-09-15 15:34:35.000,3.1.0,,3045.0,16.0,3.0,2.0,21.0,https://pypi.org/project/jupyterlab_latex,BSD-3-Clause,2021-09-15 15:34:16.000,1.0,1081.0,https://anaconda.org/conda-forge/jupyterlab-latex,2021-09-15 23:50:03.130,2869.0,2.0,@jupyterlab/latex,https://www.npmjs.com/package/@jupyterlab/latex,2021-07-06 17:15:27.404,,1834.0,,,,,,,,,,,,,,,,,
116,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,21,True,jupyterlab_code_formatter,ryantam626/jupyterlab_code_formatter,conda-forge/jupyterlab_code_formatter,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000,2022-01-22 01:59:06.000000,2021-04-02 15:15:07,353.0,,40.0,8.0,95.0,24.0,117.0,504.0,2021-04-02 15:07:25.000,1.4.10,,42553.0,54.0,3.0,,30.0,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-04-02 15:07:25.000,3.0,22222.0,https://anaconda.org/conda-forge/jupyterlab_code_formatter,2021-04-08 19:11:09.139,502261.0,2.0,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2021-04-02 15:06:23.719,,5559.0,,,,,,,,,,,,,,,,,
117,datapane,Datapane is the easiest way to create data science reports from Python.,https://github.com/datapane/datapane,,others,21,True,datapane,datapane/datapane,conda-forge/datapane,https://github.com/datapane/datapane,2020-04-23 20:56:54.000,2022-02-16 10:47:06.000000,2022-02-16 10:46:32,318.0,14.0,39.0,11.0,5.0,9.0,63.0,471.0,2021-12-24 13:13:45.000,0.13.1,,18313.0,73.0,1.0,,9.0,https://pypi.org/project/datapane,Apache-2.0,2021-12-29 21:25:31.000,1.0,17137.0,https://anaconda.org/conda-forge/datapane,2021-12-29 22:00:20.421,22356.0,3.0,,,,,,,,,,,,,,,,,,,,,,
118,pick,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,21,False,pick,nteract/pick,,https://github.com/nteract/pick,2020-04-08 23:47:09.000,2021-12-06 15:27:43.000000,2020-11-04 01:10:24,87.0,,44.0,5.0,26.0,4.0,5.0,426.0,2021-12-06 15:27:43.000,1.2.0,,45501.0,19.0,112.0,,5.0,https://pypi.org/project/pick,BSD-3-Clause,2021-12-06 15:27:43.000,112.0,45501.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
119,itkwidgets,"Interactive Jupyter widgets to visualize images, point sets, and meshes in 2D and 3D.",https://github.com/InsightSoftwareConsortium/itkwidgets,,widgets,21,True,itkwidgets,InsightSoftwareConsortium/itkwidgets,conda-forge/itkwidgets,https://github.com/InsightSoftwareConsortium/itkwidgets,2018-02-15 01:43:39.000,2022-02-12 02:13:23.000000,2021-09-17 20:07:43,877.0,,50.0,22.0,265.0,72.0,100.0,414.0,2021-05-14 15:18:42.716,0.32.1,64.0,13746.0,64.0,9.0,,20.0,https://pypi.org/project/itkwidgets,Apache-2.0,2021-05-14 15:16:38.000,9.0,6320.0,https://anaconda.org/conda-forge/itkwidgets,2020-08-10 14:40:39.579,255724.0,3.0,itkwidgets,https://www.npmjs.com/package/itkwidgets,2021-05-14 15:18:42.716,,867.0,,,,,,,,,,,,,,,,,
120,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,21,True,appmode,oschuett/appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000,2021-11-16 11:28:50.190000,2021-04-26 19:20:06,96.0,,65.0,24.0,8.0,3.0,49.0,386.0,2020-06-09 08:23:50.000,0.8.0,,5914.0,16.0,315.0,293.0,8.0,https://pypi.org/project/appmode,MIT,2020-06-09 08:23:50.000,22.0,3020.0,https://anaconda.org/conda-forge/appmode,2021-11-16 11:28:50.190,147628.0,2.0,,,,,,,,,,,,,,,,,,,,,,
121,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,21,True,jupyterlab-github,jupyterlab/jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,2017-10-15 17:18:11.000,2022-01-22 07:38:11.000000,2021-12-10 09:26:11,228.0,7.0,84.0,28.0,72.0,24.0,36.0,314.0,2021-11-27 17:02:34.000,3.0.1,,2527.0,23.0,4.0,2.0,15.0,https://pypi.org/project/jupyterlab-github,BSD-3-Clause,2021-11-27 16:59:30.000,2.0,1127.0,,,,2.0,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2021-11-27 16:51:25.639,,1400.0,,,,,,,,,,,,,,,,,
122,LFortran,Official mirror of https://gitlab.com/lfortran/lfortran. Please submit pull requests (PR) there. Any PR sent here will..,https://github.com/lfortran/lfortran,,kernels,21,True,lfortran,lfortran/lfortran,conda-forge/lfortran,https://github.com/lfortran/lfortran,2019-03-24 13:22:20.000,2022-02-17 13:40:10.000000,2022-02-17 13:39:49,8334.0,248.0,15.0,15.0,1.0,,,308.0,2020-07-31 19:39:55.000,0.3.0,,1106.0,12.0,,,20.0,https://pypi.org/project/lfortran,MIT,2020-07-31 19:39:55.000,,86.0,https://anaconda.org/conda-forge/lfortran,2021-09-23 07:31:07.722,31644.0,2.0,,,,,,,,,,,,,,,,,,,,,,
123,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,21,True,jupyter-resource-usage,jupyter-server/jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000,2022-01-22 09:56:32.000000,2021-12-06 09:55:23,183.0,8.0,67.0,9.0,63.0,31.0,27.0,298.0,2021-12-06 09:34:12.000,0.6.1,12.0,39244.0,5.0,3.0,,20.0,https://pypi.org/project/jupyter-resource-usage,BSD-2-Clause,2021-12-06 09:34:10.000,3.0,18158.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946,473650.0,2.0,@jupyter-server/resource-usage,https://www.npmjs.com/package/@jupyter-server/resource-usage,2021-12-06 09:34:07.883,,493.0,,,,,,,-1.0,,,,,,,,,,
