,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2025-10-01 04:09:35.000000,2025-09-29 10:54:49,27999.0,150.0,4449.0,732.0,7412.0,1563.0,5973.0,16583.0,2025-09-29 10:55:47.000,9.6.0,322589.0,83891545.0,210.0,746892.0,733468.0,1041.0,https://pypi.org/project/ipython,2025-09-29 10:55:47.000,13424.0,83165300.0,https://anaconda.org/conda-forge/ipython,2025-09-29 13:21:49.858,42718141.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,46,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2025-09-30 17:10:39.000000,2025-09-29 09:16:42,13668.0,19.0,5412.0,331.0,2609.0,1949.0,3123.0,13728.0,2025-09-27 08:00:30.000,7.4.7,17391.0,52364600.0,192.0,371075.0,368149.0,658.0,https://pypi.org/project/notebook,2025-09-29 09:17:48.000,2926.0,51983831.0,https://anaconda.org/conda-forge/jupyter,2025-04-22 14:56:31.386,5750912.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1093.0,35213592.0,,,,,,,,,,,,,,,,,,
3,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2025-09-25 14:29:07.000000,2025-09-25 14:29:06,20848.0,59.0,4234.0,435.0,6412.0,825.0,7223.0,20114.0,2025-08-29 12:16:52.000,3.8.0,,5576604.0,247.0,106144.0,104026.0,715.0,https://pypi.org/project/bokeh,2025-08-29 13:16:50.000,2097.0,5275061.0,https://anaconda.org/conda-forge/bokeh,2025-08-30 08:43:51.245,17559918.0,1.0,,,,,,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2025-08-29 13:16:41.577,21.0,27170.0,,,,,,,,,,,,,
4,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,40,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2025-09-29 20:42:22.000000,2025-09-29 08:41:10,2937.0,18.0,389.0,34.0,880.0,306.0,269.0,694.0,2025-08-04 15:47:38.000,6.30.1,4020.0,50383146.0,139.0,540274.0,533843.0,185.0,https://pypi.org/project/ipykernel,2025-08-13 09:51:55.000,6354.0,50374228.0,https://anaconda.org/anaconda/ipykernel,2025-09-12 02:39:50.200,1052336.0,1.0,,,,,,,,,,,77.0,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2025-10-01 18:42:35.000000,2025-10-01 18:42:33,8115.0,101.0,2092.0,269.0,2575.0,197.0,2307.0,8487.0,2025-04-15 12:56:11.000,5.3.0,,358729.0,89.0,3731.0,3499.0,384.0,https://pypi.org/project/jupyterhub,2025-04-15 12:56:11.000,232.0,292471.0,https://anaconda.org/conda-forge/jupyterhub,2025-04-22 14:56:22.854,1450935.0,1.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2025-10-01 06:21:03.613722,348.0,5879008.0,,,,,,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2025-10-01 23:02:15.000000,2025-09-30 10:32:56,4794.0,160.0,556.0,61.0,4208.0,1128.0,2860.0,5436.0,2025-09-16 16:29:47.000,1.8.1,,2460299.0,473.0,19005.0,18449.0,196.0,https://pypi.org/project/panel,2025-09-26 15:26:13.000,551.0,2415601.0,https://anaconda.org/conda-forge/panel,2025-09-17 04:18:31.108,2251703.0,1.0,,,,,,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2025-09-26 15:26:07.459,5.0,9516.0,,,,,,,,,,,,,
7,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2025-09-01 21:03:22.000000,2025-07-18 13:24:28,4078.0,3.0,586.0,50.0,1015.0,588.0,665.0,1877.0,2025-01-28 09:29:18.000,7.16.6,2043.0,44006003.0,103.0,372313.0,369722.0,280.0,https://pypi.org/project/nbconvert,2025-01-28 09:29:12.000,2591.0,43633557.0,https://anaconda.org/conda-forge/nbconvert,2025-04-22 14:56:21.692,21972824.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,38,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,BSD-3-Clause,2015-04-17 20:29:25.000,2025-09-22 17:03:32.000000,2025-09-22 17:03:32,7873.0,3.0,950.0,78.0,1933.0,776.0,1350.0,3269.0,2025-05-05 12:44:24.000,8.1.7,,31725240.0,164.0,5305.0,3.0,227.0,https://pypi.org/project/ipywidgets,2025-05-05 12:41:56.000,5175.0,31356464.0,https://anaconda.org/conda-forge/ipywidgets,2025-05-05 14:19:42.531,20252879.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2025-05-05 12:29:18.478,127.0,36762.0,,,,,,,,,,,,,
9,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,37,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,BSD-3-Clause,2016-09-21 19:18:45.000,2025-09-29 18:07:39.000000,2025-09-29 18:07:38,12812.0,14.0,357.0,36.0,1055.0,223.0,312.0,543.0,2025-08-21 14:42:57.000,2.17.0,4494.0,42990284.0,155.0,1106.0,,535.0,https://pypi.org/project/jupyter_server,2025-08-21 14:42:52.000,1106.0,42712313.0,https://anaconda.org/conda-forge/jupyter_server,2025-08-22 13:53:37.474,16951228.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10,qtconsole,Jupyter Qt Console.,https://github.com/spyder-ide/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/spyder-ide/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2025-09-12 16:39:41.000000,2025-09-12 16:39:41,2107.0,16.0,198.0,22.0,289.0,114.0,238.0,431.0,2025-09-10 18:58:17.000,5.7.0,,4527944.0,52.0,196765.0,196330.0,127.0,https://pypi.org/project/qtconsole,2025-09-10 18:58:17.000,435.0,4443733.0,https://anaconda.org/conda-forge/qtconsole,2025-09-10 19:45:09.025,5389553.0,1.0,,,,,,,,,,,,spyder-ide/qtconsole,,,,,,,,,,,
11,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,36,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2025-09-29 11:38:03.000000,2025-09-19 21:25:00,1578.0,3.0,1745.0,150.0,892.0,258.0,590.0,13164.0,2025-09-23 16:00:25.000,4.17.0,467.0,369129.0,74.0,7091.0,6908.0,139.0,https://pypi.org/project/pandas-profiling,2023-02-03 17:59:40.571,183.0,363889.0,https://anaconda.org/conda-forge/pandas-profiling,2025-04-22 14:56:27.206,576126.0,1.0,,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
12,xonsh,Python-powered shell. Full-featured and cross-platform.,https://github.com/xonsh/xonsh,,kernels,36,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2025-09-29 17:29:52.000000,2025-09-15 14:07:46,10949.0,25.0,671.0,103.0,2938.0,285.0,2423.0,8993.0,2025-06-24 19:59:46.000,0.19.9,13794.0,186662.0,140.0,1035.0,862.0,348.0,https://pypi.org/project/xonsh,2025-06-24 19:59:46.000,173.0,186509.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,evidently,"Evidently is an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or..",https://github.com/evidentlyai/evidently,,widgets,36,True,evidently,evidentlyai/evidently,conda-forge/evidently,https://github.com/evidentlyai/evidently,Apache-2.0,2020-11-25 15:20:08.000,2025-10-02 13:48:18.000000,2025-10-02 08:33:25,2701.0,65.0,728.0,51.0,1260.0,221.0,245.0,6670.0,2025-08-28 14:01:00.000,0.7.14,575.0,944270.0,145.0,6788.0,6767.0,91.0,https://pypi.org/project/evidently,2025-08-28 14:00:47.000,21.0,942100.0,https://anaconda.org/conda-forge/evidently,2025-09-03 18:05:27.669,107917.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,35,True,jupytext,mwouts/jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,MIT,2018-06-15 05:25:36.000,2025-09-28 20:15:51.000000,2025-09-28 20:06:34,2576.0,17.0,404.0,72.0,694.0,135.0,614.0,6997.0,2025-08-28 18:30:47.000,1.17.3,,1583109.0,138.0,11380.0,10613.0,99.0,https://pypi.org/project/jupytext,2025-08-28 18:30:47.000,762.0,1561135.0,https://anaconda.org/conda-forge/jupytext,2025-08-29 07:12:23.763,1239910.0,1.0,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2024-05-05 22:22:30.609,5.0,2601.0,,,,,,,,,,,,,
15,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,35,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,BSD-3-Clause,2015-04-09 01:07:29.000,2025-09-01 21:03:39.000000,2025-05-16 18:49:59,1054.0,,157.0,24.0,264.0,73.0,86.0,302.0,2024-04-04 11:20:44.000,5.10.4,688.0,45967945.0,43.0,376537.0,374587.0,80.0,https://pypi.org/project/nbformat,2024-04-04 11:20:34.000,1945.0,45467885.0,https://anaconda.org/conda-forge/nbformat,2025-04-22 14:56:22.236,31498684.0,1.0,,,,,,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,2024-04-04 11:20:41.048,5.0,70.0,,,,,,,,,,,,,
16,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,34,True,perspective-python,finos/perspective,conda-forge/perspective,https://github.com/finos/perspective,Apache-2.0,2017-11-02 16:27:54.000,2025-10-02 01:50:06.000000,2025-09-26 23:37:45,6430.0,44.0,1233.0,124.0,1854.0,113.0,782.0,9457.0,2025-09-04 16:26:37.000,3.8.0,16409.0,56129.0,160.0,227.0,190.0,100.0,https://pypi.org/project/perspective-python,2025-09-03 19:50:40.000,31.0,19095.0,https://anaconda.org/conda-forge/perspective,2025-09-26 21:31:04.366,2316122.0,1.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2025-09-03 19:50:14.474,6.0,238.0,,,,,,,,,,,,,
17,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,33,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,2016-06-03 20:09:17.000,2025-09-29 14:29:59.764000,,,,3746.0,,,2614.0,,14823.0,2025-09-26 17:34:17.555,4.4.9,,44076592.0,577.0,4141.0,,523.0,https://pypi.org/project/jupyterlab,2025-09-27 16:31:26.000,3683.0,43575970.0,https://anaconda.org/conda-forge/jupyterlab,2025-09-29 14:29:59.764,15736819.0,2.0,,,,,,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2025-09-27 16:37:20.277,458.0,258518.0,,,,,,,,,,,,,
