,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,npm_latest_release_published_at,npm_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
102,Native Authenticator,JupyterHub-native User Authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,23,True,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2023-07-04 07:41:24.000000,2023-07-04 07:41:23,564.0,33.0,63.0,11.0,150.0,30.0,73.0,64.0,2023-05-22 08:28:01.738,1.2.0,,6621.0,13.0,53.0,53.0,22.0,https://pypi.org/project/jupyterhub-nativeauthenticator,2022-09-09 11:33:03.525,,6621.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
103,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,23,True,ipydatawidgets,vidartf/ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,BSD-3-Clause,2017-07-31 17:37:26.000,2023-06-16 16:11:33.197000,2023-06-14 12:39:14,307.0,7.0,9.0,5.0,47.0,8.0,10.0,38.0,2023-06-14 12:41:06.000,4.3.5,,76726.0,22.0,893.0,866.0,5.0,https://pypi.org/project/ipydatawidgets,2022-05-19 09:59:51.000,27.0,72863.0,https://anaconda.org/conda-forge/ipydatawidgets,2023-06-16 16:11:33.197,235682.0,3.0,,,,,,,,,,,,,,,,,,,,,
104,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,22,True,,nteract/hydrogen,,https://github.com/nteract/hydrogen,MIT,2015-05-11 01:16:55.000,2023-07-13 13:03:01.000000,2023-01-10 01:11:13,2371.0,,352.0,90.0,874.0,170.0,1100.0,3861.0,2023-01-10 01:02:49.000,2.16.5,,,92.0,,,90.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
105,gophernotes,The Go kernel for Jupyter notebooks and nteract.,https://github.com/gopherdata/gophernotes,,kernels,22,True,,gopherdata/gophernotes,,https://github.com/gopherdata/gophernotes,MIT,2016-01-22 19:22:16.000,2023-03-29 09:07:02.000000,2023-03-29 09:05:21,401.0,,255.0,82.0,78.0,53.0,128.0,3615.0,2022-05-31 17:34:28.000,0.7.5,43.0,964.0,22.0,13.0,12.0,29.0,,,,,,,,2.0,gopherdata/gophernotes,https://hub.docker.com/r/gopherdata/gophernotes,2018-12-22 19:00:35.934804,7.0,86839.0,,,,,,,,,,github.com/gopherdata/gophernotes,https://pkg.go.dev/github.com/gopherdata/gophernotes,2022-05-31 17:31:46,1.0,,,
106,ipyvizzu,Build animated charts in Jupyter Notebook and similar environments with a simple Python syntax.,https://github.com/vizzuhq/ipyvizzu,,widgets,22,True,ipyvizzu,vizzuhq/ipyvizzu,,https://github.com/vizzuhq/ipyvizzu,Apache-2.0,2022-01-05 22:37:39.000,2023-06-10 11:49:33.000000,2023-06-10 11:48:53,973.0,21.0,83.0,17.0,158.0,25.0,67.0,845.0,2023-03-22 07:12:00.594,0.15.0,88.0,836.0,20.0,63.0,60.0,19.0,https://pypi.org/project/ipyvizzu,2022-10-19 12:12:10.141,3.0,832.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,
107,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,22,False,notedown,aaren/notedown,conda-forge/notedown,https://github.com/aaren/notedown,BSD-2-Clause,2014-02-17 17:28:59.000,2023-06-16 16:08:46.317000,2017-11-16 19:29:56,264.0,,92.0,21.0,29.0,39.0,29.0,842.0,,,,9566.0,1.0,228.0,228.0,7.0,https://pypi.org/project/notedown,,,8990.0,https://anaconda.org/conda-forge/notedown,2023-06-16 16:08:46.317,35171.0,3.0,,,,,,,,,,,,,,,,,,,,,
108,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,22,True,witwidget,PAIR-code/what-if-tool,conda-forge/tensorboard-plugin-wit,https://github.com/PAIR-code/what-if-tool,Apache-2.0,2018-09-07 20:26:10.000,2023-06-16 19:20:28.498000,2023-04-27 23:44:02,329.0,1.0,151.0,29.0,104.0,80.0,56.0,819.0,2021-10-12 17:42:50.869,1.8.1,,64973.0,40.0,5.0,,20.0,https://pypi.org/project/witwidget,2021-10-12 17:42:30.000,4.0,11328.0,https://anaconda.org/conda-forge/tensorboard-plugin-wit,2023-06-16 19:20:28.498,1937733.0,3.0,,,,,,wit-widget,https://www.npmjs.com/package/wit-widget,1274.0,2021-10-12 17:42:50.869,1.0,,,,,,,,,,,
109,Bash Kernel,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,22,True,bash_kernel,takluyver/bash_kernel,conda-forge/bash_kernel,https://github.com/takluyver/bash_kernel,BSD-3-Clause,2014-06-27 00:27:25.000,2023-07-12 02:57:29.000000,2023-06-29 13:29:16,104.0,1.0,122.0,27.0,33.0,36.0,65.0,640.0,2023-06-29 13:27:37.000,0.9.1,,15645.0,3.0,152.0,152.0,17.0,https://pypi.org/project/bash_kernel,,,12843.0,https://anaconda.org/conda-forge/bash_kernel,2023-06-16 16:16:52.485,128917.0,2.0,,,,,,,,,,,,,,,,,,,,,
110,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,22,True,jupyterlab-katex,jupyterlab/jupyter-renderers,conda-forge/jupyterlab-vega3,https://github.com/jupyterlab/jupyter-renderers,BSD-3-Clause,2017-06-08 16:59:07.000,2023-07-11 01:04:40.000000,2023-05-23 12:07:37,618.0,3.0,74.0,34.0,197.0,38.0,72.0,473.0,2023-05-23 12:27:01.602,3.4.0,,1977.0,32.0,7.0,3.0,31.0,https://pypi.org/project/jupyterlab-katex,2022-01-17 16:38:22.000,1.0,434.0,https://anaconda.org/conda-forge/jupyterlab-vega3,2023-06-16 19:25:17.752,2967.0,1.0,,,,,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,1438.0,2022-11-15 08:09:59.040,3.0,,,,,,,,,,,
111,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,22,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-07-13 00:43:20.000000,2023-07-13 00:43:18,411.0,17.0,60.0,17.0,135.0,7.0,79.0,345.0,2023-03-28 17:03:54.000,0.4.0,,11347.0,15.0,7.0,7.0,18.0,https://pypi.org/project/jupyterlab_templates,,,8028.0,https://anaconda.org/conda-forge/jupyterlab_templates,2023-07-02 03:03:23.501,13970.0,1.0,,,,,,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2942.0,,,finos/jupyterlab_templates,,,,,,,,,,
