,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,pypi,cran_id,go_id,go_url,gem_id,docs_url,hex_id,bitbucket_id
216,JupyterLab Commenting,Commenting and annotation for JupyterLab.,https://github.com/jupyterlab/jupyterlab-commenting,,lab-extensions,15,False,jupyterlab-commenting-service,jupyterlab/jupyterlab-commenting,,https://github.com/jupyterlab/jupyterlab-commenting,BSD-3-Clause,2019-01-03 21:55:33.000,2021-02-10 20:06:33.000000,2020-05-01 11:42:37,332.0,,25.0,28.0,32.0,25.0,10.0,98.0,2020-05-01 11:39:08.310,0.3.0,,78.0,4.0,4.0,2.0,10.0,https://pypi.org/project/jupyterlab-commenting-service,2019-10-18 14:13:09.000,,46.0,,,,3.0,@jupyterlab/commenting-extension,https://www.npmjs.com/package/@jupyterlab/commenting-extension,2020-05-01 11:39:08.310,2.0,32.0,,,,,,,,,,,,,,,
217,nbcelltests,Cell-by-cell testing for production Jupyter notebooks in JupyterLab.,https://github.com/jpmorganchase/nbcelltests,,lab-extensions,15,True,nbcelltests,jpmorganchase/nbcelltests,conda-forge/nbcelltests,https://github.com/jpmorganchase/nbcelltests,Apache-2.0,2018-08-23 23:51:41.000,2023-07-19 00:59:43.000000,2022-12-07 17:04:39,570.0,,20.0,11.0,149.0,33.0,85.0,81.0,2020-10-05 14:26:51.696,0.2.3,,239.0,17.0,5.0,3.0,7.0,https://pypi.org/project/nbcelltests,2020-10-05 14:26:38.000,,33.0,https://anaconda.org/conda-forge/nbcelltests,2023-06-16 19:19:22.434,8699.0,3.0,jupyterlab_celltests,https://www.npmjs.com/package/jupyterlab_celltests,2020-10-05 14:26:51.696,2.0,4.0,,,,,,,,,,,,,,,
218,Horizon Theme,VSCode Horizon Theme port for JupyterLab.,https://github.com/mohirio/jupyterlab-horizon-theme,,lab-themes,15,True,jupyterlab-horizon-theme,mohirio/jupyterlab-horizon-theme,,https://github.com/mohirio/jupyterlab-horizon-theme,BSD-3-Clause,2019-06-07 08:46:59.000,2023-12-08 10:45:54.000000,2023-11-22 19:40:53,62.0,13.0,7.0,1.0,13.0,,8.0,80.0,2023-11-22 19:41:10.000,4.0.2,24.0,1293.0,2.0,2.0,2.0,3.0,https://pypi.org/project/jupyterlab-horizon-theme,,,809.0,,,,2.0,@mohirio/jupyterlab-horizon-theme,https://www.npmjs.com/package/@mohirio/jupyterlab-horizon-theme,,,460.0,,,,,,,,,,,,,,,
219,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,15,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-06-16 19:17:31.930000,2023-05-02 16:09:30,149.0,,11.0,7.0,48.0,8.0,5.0,76.0,2021-11-06 14:18:45.000,0.4.0,,26806.0,5.0,,,3.0,https://pypi.org/project/altair_viewer,,,25152.0,https://anaconda.org/conda-forge/altair_viewer,2023-06-16 19:17:31.930,77762.0,3.0,,,,,,,,,,,,,,,,,,,,
220,JupyterLab Kernelspy,A Jupyter Lab extension for inspecting messages to/from a kernel.,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,,lab-extensions,15,True,jupyterlab-kernelspy,jupyterlab-contrib/jupyterlab-kernelspy,conda-forge/jupyterlab-kernelspy,https://github.com/jupyterlab-contrib/jupyterlab-kernelspy,BSD-3-Clause,2018-04-20 16:11:58.000,2023-10-08 08:15:21.000000,2023-10-08 08:15:20,158.0,1.0,12.0,7.0,78.0,2.0,11.0,73.0,2023-08-30 15:49:27.000,4.0.0,19.0,1056.0,23.0,8.0,6.0,6.0,https://pypi.org/project/jupyterlab-kernelspy,2023-08-30 15:49:23.000,,460.0,https://anaconda.org/conda-forge/jupyterlab-kernelspy,2023-08-30 16:54:25.412,12025.0,3.0,jupyterlab-kernelspy,https://www.npmjs.com/package/jupyterlab-kernelspy,2023-08-30 15:49:13.452,2.0,182.0,,,,,,,,,,,,,,,
221,nb_black,A simple extension for Jupyter Notebook and Jupyter Lab to beautify Python code automatically using Black.,https://github.com/dnanhkhoa/nb_black,,magic,15,True,nb_black,dnanhkhoa/nb_black,conda-forge/nb_black,https://github.com/dnanhkhoa/nb_black,MIT,2019-05-02 16:13:43.498,2023-06-16 16:15:03.923000,,,,7.0,,,,,62.0,2019-11-30 08:56:06.000,1.0.7,,16086.0,4.0,24.0,,,https://pypi.org/project/nb_black,2019-11-30 08:56:06.000,24.0,13855.0,https://anaconda.org/conda-forge/nb_black,2023-06-16 16:15:03.923,122741.0,3.0,,,,,,,,,,,,,,,,,,,,
222,JupyterLab Email,A jupyterlab extension to email notebooks directly from JupyterLab.,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,15,True,jupyterlab_email,timkpaine/jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,Apache-2.0,2018-08-07 14:14:40.000,2023-12-19 02:59:29.000000,2023-12-19 02:59:28,242.0,10.0,2.0,4.0,59.0,2.0,36.0,53.0,2023-08-17 16:44:39.000,0.3.1,,83.0,18.0,3.0,1.0,2.0,https://pypi.org/project/jupyterlab_email,2023-08-17 14:42:10.000,,72.0,,,,3.0,jupyterlab_email,https://www.npmjs.com/package/jupyterlab_email,2023-08-17 14:43:10.426,2.0,11.0,,,,,,,,,,,,,,,
223,ipyaggrid,Jupyter widget - ag-grid in the notebook.,https://github.com/DGothrek/ipyaggrid,,widgets,15,False,ipyaggrid,DGothrek/ipyaggrid,,https://github.com/DGothrek/ipyaggrid,MIT,2019-05-06 04:24:26.000,2023-09-19 17:54:41.907000,2019-05-06 04:27:05,47.0,,13.0,1.0,,6.0,,39.0,2023-09-19 17:54:41.907,0.5.1,,8137.0,47.0,13.0,,2.0,https://pypi.org/project/ipyaggrid,2023-09-19 17:54:33.000,13.0,7702.0,,,,3.0,ipyaggrid,https://www.npmjs.com/package/ipyaggrid,2023-09-19 17:54:41.907,,435.0,,,,,,,,,,,,,,,
224,lgo,Interactive Go programming with Jupyter.,https://github.com/yunabe/lgo,,kernels,14,False,,yunabe/lgo,,https://github.com/yunabe/lgo,BSD-3-Clause,2017-10-05 15:29:10.000,2020-11-20 07:01:33.000000,2019-07-09 12:59:17,169.0,,123.0,48.0,16.0,22.0,54.0,2335.0,,,,,,,,9.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
225,py_d3,D3 block magic for Jupyter notebook.,https://github.com/ResidentMario/py_d3,,magic,14,False,py_d3,ResidentMario/py_d3,,https://github.com/ResidentMario/py_d3,MIT,2016-08-28 03:38:28.000,2022-02-20 00:55:57.000000,2022-02-20 00:55:56,41.0,,41.0,23.0,6.0,1.0,15.0,449.0,2018-03-28 15:38:57.000,0.3.0,,53.0,9.0,,,4.0,https://pypi.org/project/py_d3,2018-03-28 15:38:57.000,,53.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
