,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,updated_github_id,conda_dependent_project_count,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
241,pidgy,Interactive computing in Markdown.,https://github.com/deathbeds/pidgy,,kernels,14,True,pidgy,deathbeds/pidgy,,https://github.com/deathbeds/pidgy,BSD-3-Clause,2018-02-26 20:44:05.000,2022-10-25 03:52:58.000000,2022-08-27 07:08:35,330.0,,7.0,5.0,54.0,9.0,12.0,37.0,2022-10-07 19:05:41.235,2022.10.7,1.0,138.0,11.0,,,3.0,https://pypi.org/project/pidgy,2021-11-27 00:19:00.000,,138.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
242,Null Authenticator,Null Authenticator for JupyterHub instances that should have no login mechanism.,https://github.com/jupyterhub/nullauthenticator,,hub-auth,14,False,nullauthenticator,jupyterhub/nullauthenticator,,https://github.com/jupyterhub/nullauthenticator,BSD-3-Clause,2017-08-30 09:12:22.000,2022-12-07 12:48:52.000000,2022-05-17 12:31:29,20.0,,9.0,5.0,5.0,1.0,,8.0,2017-08-30 13:12:25.000,1.0.0,,2421.0,1.0,99.0,90.0,7.0,https://pypi.org/project/nullauthenticator,2017-08-30 13:12:25.000,9.0,2421.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
243,pigeon,Quickly annotate data from the comfort of your Jupyter notebook.,https://github.com/agermanidis/pigeon,,widgets,13,False,pigeon-jupyter,agermanidis/pigeon,,https://github.com/agermanidis/pigeon,Apache-2.0,2017-09-05 00:04:14.000,2022-12-02 16:25:34.000000,2017-09-05 17:22:02,2.0,,92.0,10.0,4.0,11.0,,631.0,2017-09-05 01:20:43.000,0.1.0,,280.0,1.0,23.0,23.0,1.0,https://pypi.org/project/pigeon-jupyter,2017-09-05 01:20:43.000,,280.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
244,IElixir,Jupyters kernel for Elixir programming language.,https://github.com/pprzetacznik/IElixir,,kernels,13,False,,pprzetacznik/IElixir,,https://github.com/pprzetacznik/IElixir,Apache-2.0,2015-07-06 11:39:08.000,2021-12-03 09:17:20.000000,2021-03-20 17:27:38,282.0,,39.0,11.0,31.0,10.0,20.0,345.0,2021-05-11 21:22:51.418,0.0.1,,9.0,8.0,,,19.0,,,,,,,,3.0,pprzetacznik/ielixir,https://hub.docker.com/r/pprzetacznik/ielixir,2021-03-20 17:48:12.317861,1.0,345.0,jupyterlab-ielixir,https://www.npmjs.com/package/jupyterlab-ielixir,2021-05-11 21:22:51.418,,6.0,,,,,,,,,,,ielixir,
245,SQLCell,"SQLCell is a magic function for the Jupyter Notebook that executes raw, parallel, parameterized SQL queries with the..",https://github.com/tmthyjames/SQLCell,,magic,13,False,sqlcell,tmthyjames/SQLCell,,https://github.com/tmthyjames/SQLCell,MIT,2016-08-15 01:54:46.000,2022-08-23 17:53:50.000000,2020-10-06 02:14:24,310.0,,10.0,11.0,51.0,65.0,24.0,149.0,2019-05-19 02:21:20.000,0.2.0,,11.0,15.0,2.0,1.0,14.0,https://pypi.org/project/sqlcell,2019-05-20 11:16:28.000,1.0,11.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
246,Neon Theme,"A flat, 80s neon inspired theme for JupyterLab.",https://github.com/yeebc/jupyterlab-neon-theme,,lab-themes,13,True,,yeebc/jupyterlab-neon-theme,,https://github.com/yeebc/jupyterlab-neon-theme,BSD-3-Clause,2019-09-27 14:29:10.000,2022-11-16 03:35:59.000000,2022-08-28 15:36:59,45.0,,8.0,5.0,18.0,1.0,11.0,128.0,2021-03-07 04:41:55.473,3.1.0,,612.0,20.0,1.0,1.0,4.0,,,,,,,,2.0,,,,,,@yeebc/jupyterlab_neon_theme,https://www.npmjs.com/package/@yeebc/jupyterlab_neon_theme,2021-03-07 04:41:55.473,,612.0,,,,,,,,,,,,
247,JupyterLab Flake8,A jupyterlab extension to email notebooks directly from JupyterLab.,https://github.com/timkpaine/jupyterlab_email,,lab-extensions,13,True,jupyterlab-email,timkpaine/jupyterlab_email,,https://github.com/timkpaine/jupyterlab_email,Apache-2.0,2018-08-07 14:14:40.000,2022-11-22 01:41:41.000000,2022-11-22 01:41:40,199.0,2.0,10.0,3.0,38.0,4.0,32.0,106.0,2022-03-15 23:37:04.000,0.2.4,,194.0,21.0,,,2.0,https://pypi.org/project/jupyterlab-email,2022-03-15 23:37:04.000,,44.0,,,,3.0,,,,,,jupyterlab-flake8,https://www.npmjs.com/package/jupyterlab-flake8,2021-09-16 15:37:05.151,,150.0,,,,,,,,,,,,
248,ipymaterialui,Jupyter Widgets based on React Material UI components.,https://github.com/maartenbreddels/ipymaterialui,,widgets,13,False,ipymaterialui,maartenbreddels/ipymaterialui,,https://github.com/maartenbreddels/ipymaterialui,MIT,2018-11-23 18:33:20.000,2022-12-02 17:12:26.000000,2019-10-29 13:53:37,74.0,,14.0,9.0,31.0,7.0,3.0,84.0,2019-10-29 13:57:12.560,0.1.4,,140.0,6.0,6.0,5.0,3.0,https://pypi.org/project/ipymaterialui,2019-10-29 13:56:17.000,1.0,71.0,,,,3.0,,,,,,jupyter-materialui,https://www.npmjs.com/package/jupyter-materialui,2019-10-29 13:57:12.560,,69.0,,,,,,,,,,,,
249,nb_black,A simple extension for Jupyter Notebook and Jupyter Lab to beautify Python code automatically using Black.,https://github.com/dnanhkhoa/nb_black,,magic,13,False,nb_black,dnanhkhoa/nb_black,conda-forge/nb_black,https://github.com/dnanhkhoa/nb_black,MIT,2019-05-02 16:13:43.498,2019-11-30 11:30:08.595000,,,,7.0,,,,,62.0,2019-07-31 17:24:06.000,1.0.6,,28126.0,6.0,1.0,,,https://pypi.org/project/nb_black,2019-07-31 17:24:06.000,1.0,26297.0,https://anaconda.org/conda-forge/nb_black,2019-11-30 11:30:08.595,78676.0,3.0,,,,,,,,,,,,,,,,,,,,,,
250,JupyterLab Shortcutui,A JupyterLab extension for managing keyboard shortcuts.,https://github.com/jupyterlab/jupyterlab-shortcutui,,lab-extensions,13,False,,jupyterlab/jupyterlab-shortcutui,,https://github.com/jupyterlab/jupyterlab-shortcutui,BSD-3-Clause,2018-06-18 22:07:19.000,2020-01-17 16:59:32.000000,2020-01-17 16:59:32,191.0,,15.0,4.0,50.0,8.0,6.0,55.0,2019-09-05 11:54:07.000,0.4.0,,277.0,11.0,,,8.0,,,,,,,,3.0,,,,,,@jupyterlab/shortcutui,https://www.npmjs.com/package/@jupyterlab/shortcutui,2020-01-17 14:43:21.930,,277.0,,,,,,,,,,,,
