,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,trending,gem_id,pypi,hex_id,bitbucket_id
10,pandas-profiling,Create HTML profiling reports from pandas DataFrame objects.,https://github.com/pandas-profiling/pandas-profiling,,widgets,29,True,pandas-profiling/pandas-profiling,pandas-profiling,conda-forge/pandas-profiling,https://github.com/pandas-profiling/pandas-profiling,2016-01-09 23:47:55.000000,2021-01-05 05:57:38.000000,2020-12-27 20:07:34.000000,968.0,52.0,353.0,6521.0,726.0,2020-09-03 10:11:24.000000,2.9.0,,226213.0,24.0,2934.0,2774.0,62.0,https://pypi.org/project/pandas-profiling,MIT,2020-09-03 10:11:24.000000,160.0,224432.0,https://anaconda.org/conda-forge/pandas-profiling,2020-09-03 13:03:52.072000,94404.0,1.0,,,,,,,,,,,,,,,,,,
11,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,29,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-01-05 09:53:43.000000,2021-01-04 18:42:24.000000,251.0,59.0,334.0,4113.0,2105.0,2021-01-04 18:44:08.000000,1.8.2,,48390.0,93.0,1240.0,1132.0,55.0,https://pypi.org/project/jupytext,MIT,2021-01-04 18:44:08.000000,108.0,31491.0,https://anaconda.org/conda-forge/jupytext,2021-01-04 11:33:48.690000,124021.0,1.0,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2020-10-14 13:47:48.361000,,12129.0,,,,,,,,
12,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,True,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-01-02 22:34:57.000000,2021-01-02 22:32:14.000000,396.0,30.0,1991.0,2066.0,10158.0,2020-11-15 13:34:54.000000,8.1.2,,2208.0,72.0,480.0,345.0,217.0,https://pypi.org/project/nikola,MIT,2020-11-15 13:33:07.000000,135.0,2208.0,,,,1.0,,,,,,,,,,,,,,,,,,
13,ipyparallel,Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,29,True,ipython/ipyparallel,ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000000,2020-12-28 21:43:25.000000,2020-08-24 09:09:27.000000,723.0,139.0,107.0,1844.0,1817.0,2020-05-05 18:42:38.000000,6.3.0,,78068.0,21.0,1838.0,1348.0,94.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2020-05-05 18:42:38.000000,490.0,71752.0,https://anaconda.org/conda-forge/ipyparallel,2020-12-14 23:13:00.768000,360036.0,1.0,,,,,,,,,,,,,,,,,,
14,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,28,False,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2020-12-20 13:02:09.000000,2019-09-07 14:59:00.000000,709.0,307.0,445.0,4458.0,2562.0,2019-01-02 12:23:07.000000,0.5.1,,102159.0,16.0,247.0,,119.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,247.0,102159.0,,,,1.0,,,,,,,,,,,,,,,,,,
15,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,28,True,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2020-12-28 03:58:14.000000,2020-12-23 13:39:20.000000,267.0,191.0,263.0,2916.0,793.0,2020-10-20 07:32:53.000000,0.2.4,,19930.0,51.0,2646.0,2620.0,41.0,https://pypi.org/project/voila,BSD-3-Clause,2020-10-20 07:32:53.000000,26.0,13953.0,https://anaconda.org/conda-forge/voila,2020-10-20 09:43:43.028000,91187.0,2.0,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555000,,2600.0,,,,,,,,
16,Jupyter Book,"Build interactive, publication-quality documents from Jupyter Notebooks.",https://github.com/executablebooks/jupyter-book,,notebook-sharing,28,True,executablebooks/jupyter-book,jupyter-book,,https://github.com/executablebooks/jupyter-book,2018-06-14 01:55:51.000000,2021-01-04 09:34:03.000000,2021-01-04 09:34:02.000000,290.0,253.0,433.0,2007.0,1202.0,2020-12-23 01:27:35.000000,0.9.1,,6066.0,28.0,1626.0,1582.0,66.0,https://pypi.org/project/jupyter-book,BSD-3-Clause,2020-12-23 01:27:35.000000,44.0,6066.0,,,,2.0,,,,,,,,,,,,,,,,,,
17,nbdime,Tools for diffing and merging of Jupyter notebooks.,https://github.com/jupyter/nbdime,,notebook-sharing,28,True,jupyter/nbdime,nbdime,conda-forge/nbdime,https://github.com/jupyter/nbdime,2015-11-16 09:25:53.000000,2020-12-18 13:35:56.000000,2020-10-02 18:41:04.000000,113.0,47.0,197.0,1886.0,1872.0,2020-10-02 08:58:35.755000,2.0.1,,297378.0,21.0,253.0,41.0,29.0,https://pypi.org/project/nbdime,BSD-3-Clause,2020-10-02 09:09:15.000000,212.0,46186.0,https://anaconda.org/conda-forge/nbdime,2020-10-02 13:40:32.616000,251188.0,2.0,,,,,,nbdime-jupyterlab,https://www.npmjs.com/package/nbdime-jupyterlab,2020-10-02 08:58:35.755000,,246066.0,,,,,,,,
18,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,27,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2020-12-24 00:27:14.175000,2020-11-20 20:06:41.000000,1850.0,65.0,46.0,10538.0,517.0,2020-12-24 00:27:14.175000,5.0.0,,250145.0,56.0,19.0,19.0,12.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2020-12-24 00:27:14.175000,0.0,250145.0,,,,,,,,
19,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,27,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2020-12-16 09:46:23.000000,2020-02-25 15:18:59.000000,884.0,175.0,187.0,8070.0,591.0,2018-11-22 17:02:16.000000,0.20.0,,18644.0,116.0,1814.0,1719.0,28.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,95.0,18644.0,,,,1.0,,,,,,,,,,,,,,,,,,
20,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,27,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2021-01-05 11:11:10.000000,2021-01-04 17:56:47.000000,534.0,130.0,1483.0,5364.0,10501.0,2020-12-01 03:07:54.000000,0.27.0,1093805.0,22440.0,65.0,5.0,,163.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,2908.0,,,,2.0,,,,,,,,,,,,,,,,,,
21,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,27,True,nteract/papermill,papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000000,2021-01-04 02:08:42.000000,2021-01-04 02:08:41.000000,284.0,88.0,200.0,3843.0,,2020-09-23 20:50:16.000000,2.2.2,,184684.0,66.0,1149.0,999.0,84.0,https://pypi.org/project/papermill,BSD-3-Clause,2020-11-03 22:27:21.000000,150.0,180844.0,https://anaconda.org/conda-forge/papermill,2020-11-09 19:40:00.056000,111381.0,1.0,,,,,,,,,,,,,,,,,,
22,RISE,RISE: Live Reveal.js Jupyter/IPython Slideshow Extension.,https://github.com/damianavila/RISE,,notebook-sharing,27,True,damianavila/RISE,RISE,conda-forge/rise,https://github.com/damianavila/RISE,2013-08-26 18:55:36.000000,2020-12-17 15:55:44.000000,2020-12-17 15:55:43.000000,349.0,139.0,253.0,2889.0,728.0,2020-10-29 01:31:20.000000,5.7.1,,7398.0,28.0,1465.0,1310.0,38.0,https://pypi.org/project/RISE,BSD-3-Clause,2020-10-29 01:31:20.000000,155.0,3892.0,https://anaconda.org/conda-forge/rise,2020-10-29 23:47:17.179000,122716.0,2.0,,,,,,,,,,,,,,,,,,
23,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,27,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-01-05 09:48:44.000000,2021-01-05 09:48:21.000000,278.0,131.0,247.0,1068.0,900.0,2021-01-05 07:38:53.000000,0.13.5,,155926.0,69.0,752.0,652.0,63.0,https://pypi.org/project/ipyleaflet,MIT,2021-01-05 07:46:54.000000,98.0,14591.0,https://anaconda.org/conda-forge/ipyleaflet,2021-01-05 08:40:38.059000,571545.0,1.0,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-01-05 07:35:13.466000,2.0,131129.0,,,,,,,,
24,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,27,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2021-01-04 19:27:19.000000,2021-01-04 19:25:44.000000,134.0,92.0,85.0,948.0,277.0,2021-01-04 18:27:03.000000,0.6.1,,69025.0,33.0,1099.0,1047.0,22.0,https://pypi.org/project/ipympl,BSD-3-Clause,2021-01-04 18:27:03.000000,52.0,17782.0,,,,1.0,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-01-04 18:13:24.308000,,51243.0,,,,,,,,
25,Perspective,Streaming pivot visualization via WebAssembly.,https://github.com/finos/perspective,,lab-extensions,26,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2021-01-05 07:46:51.000000,2021-01-03 09:34:21.000000,331.0,66.0,286.0,3094.0,4264.0,2020-10-15 13:18:28.000000,0.5.6,,1514.0,38.0,165.0,161.0,60.0,https://pypi.org/project/perspective-python,Apache-2.0,2020-10-15 13:18:28.000000,4.0,566.0,,,,1.0,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2020-10-15 12:44:46.020000,,948.0,,,,,,,,
26,ipyvolume,3d plotting for Python in the Jupyter notebook based on IPython widgets using WebGL.,https://github.com/maartenbreddels/ipyvolume,,widgets,26,True,maartenbreddels/ipyvolume,ipyvolume,conda-forge/ipyvolume,https://github.com/maartenbreddels/ipyvolume,2016-12-21 15:30:13.000000,2021-01-05 04:46:51.000000,2020-12-08 15:52:28.000000,194.0,141.0,121.0,1516.0,921.0,2019-07-07 19:46:13.862000,0.5.2,,14420.0,45.0,413.0,361.0,38.0,https://pypi.org/project/ipyvolume,MIT,2020-06-10 12:48:25.000000,48.0,5964.0,https://anaconda.org/conda-forge/ipyvolume,2020-06-10 13:40:22.698000,247629.0,2.0,,,,,,ipyvolume,https://www.npmjs.com/package/ipyvolume,2020-04-22 09:07:29.284000,4.0,3188.0,,,,,,,,
27,ipython-sql,"%%sql magic for IPython, hopefully evolving into full SQL client.",https://github.com/catherinedevlin/ipython-sql,,magic,26,True,catherinedevlin/ipython-sql,ipython-sql,conda-forge/ipython-sql,https://github.com/catherinedevlin/ipython-sql,2013-03-20 16:41:10.000000,2020-10-27 11:03:46.000000,2020-05-10 20:58:03.000000,223.0,92.0,36.0,1324.0,244.0,2020-05-02 15:29:58.000000,0.4.0,,12550.0,16.0,1309.0,1248.0,40.0,https://pypi.org/project/ipython-sql,MIT,2020-05-02 15:29:58.000000,61.0,10817.0,https://anaconda.org/conda-forge/ipython-sql,2020-10-14 09:42:08.609000,91893.0,1.0,,,,,,,,,,,,,,,,,,
28,PixieDust,Python Helper library for Jupyter Notebooks.,https://github.com/pixiedust/pixiedust,,notebook-tools,26,True,pixiedust/pixiedust,pixiedust,conda-forge/pixiedust,https://github.com/pixiedust/pixiedust,2016-07-01 17:34:14.000000,2020-12-09 19:12:17.000000,2020-03-29 02:50:45.000000,157.0,161.0,259.0,987.0,2150.0,2019-12-04 15:06:08.000000,1.1.18,,13399.0,91.0,216.0,172.0,32.0,https://pypi.org/project/pixiedust,Apache-2.0,2019-12-04 15:03:43.000000,44.0,12180.0,https://anaconda.org/conda-forge/pixiedust,2020-10-15 18:31:42.882000,17077.0,1.0,,,,,,,,,,,,,,,,,,
29,JupyterLab Git,A Git extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-git,,lab-extensions,26,True,jupyterlab/jupyterlab-git,jupyterlab-git,conda-forge/jupyterlab-git,https://github.com/jupyterlab/jupyterlab-git,2017-06-20 17:31:00.000000,2020-12-30 09:22:35.000000,2020-12-30 09:22:34.000000,162.0,76.0,338.0,748.0,1567.0,2020-12-24 10:39:39.000000,0.23.3,,15288.0,35.0,43.0,13.0,53.0,https://pypi.org/project/jupyterlab-git,BSD-3-Clause,2020-12-24 10:39:39.000000,30.0,13467.0,https://anaconda.org/conda-forge/jupyterlab-git,2020-12-24 12:08:48.622000,45528.0,1.0,,,,,,,,,,,,,,,,,,
30,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,26,True,jupyterhub/oauthenticator,oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,2014-09-23 21:37:06.000000,2020-12-23 14:54:08.000000,2020-12-14 09:53:23.000000,278.0,22.0,165.0,290.0,793.0,2020-11-30 11:35:59.000000,0.12.3,,10418.0,24.0,230.0,172.0,86.0,https://pypi.org/project/oauthenticator,BSD-3-Clause,2020-12-04 12:11:38.000000,58.0,9958.0,https://anaconda.org/conda-forge/oauthenticator,2020-12-04 15:19:49.591000,9676.0,1.0,,,,,,,,,,,,,,,,,,
31,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,25,True,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2020-10-16 00:01:07.915000,2020-09-07 19:41:20.000000,375.0,338.0,4172.0,2517.0,1687.0,2020-09-07 15:05:22.000000,2.0.1,29.0,14764.0,48.0,20.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2020-09-07 15:05:22.000000,20.0,1884.0,https://anaconda.org/conda-forge/beakerx,2020-10-16 00:01:07.915000,361646.0,2.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,21.0,243034.0,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776000,0.0,980.0,,,,,,,,
32,repo2docker,Turn repositories into Jupyter-enabled Docker images.,https://github.com/jupyterhub/repo2docker,,notebook-tools,25,True,jupyterhub/repo2docker,jupyter-repo2docker,,https://github.com/jupyterhub/repo2docker,2017-05-09 08:36:30.000000,2021-01-04 22:39:22.000000,2020-12-08 14:30:18.000000,247.0,173.0,261.0,1132.0,1987.0,2020-02-05 08:48:39.000000,0.11.0,,1854.0,13.0,117.0,93.0,90.0,https://pypi.org/project/jupyter-repo2docker,BSD-3-Clause,2020-02-05 08:48:39.000000,24.0,1854.0,,,,2.0,,,,,,,,,,,,,,,,,,
33,sparkmagic,Jupyter magics and kernels for working with remote Spark clusters.,https://github.com/jupyter-incubator/sparkmagic,,magic,25,True,jupyter-incubator/sparkmagic,sparkmagic,conda-forge/sparkmagic,https://github.com/jupyter-incubator/sparkmagic,2015-09-21 15:35:25.000000,2021-01-03 05:29:03.000000,2021-01-02 20:37:06.000000,319.0,130.0,237.0,923.0,1079.0,2021-01-02 20:41:36.000000,0.18.0,,20068.0,45.0,183.0,166.0,49.0,https://pypi.org/project/sparkmagic,BSD-3-Clause,2020-11-18 04:17:49.000000,17.0,19490.0,https://anaconda.org/conda-forge/sparkmagic,2020-11-18 17:28:31.785000,23720.0,1.0,,,,,,,,,,,,,,,,,,
34,watermark,"An IPython magic extension for printing date and time stamps, version numbers, and hardware information.",https://github.com/rasbt/watermark,,magic,25,True,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2020-11-24 22:59:37.758000,2020-11-24 04:31:50.000000,60.0,13.0,26.0,473.0,70.0,2020-11-24 04:30:45.000000,2.1.0,,90348.0,19.0,898.0,836.0,14.0,https://pypi.org/project/watermark,BSD-3-Clause,2020-11-24 04:30:45.000000,62.0,87733.0,https://anaconda.org/conda-forge/watermark,2020-11-24 22:59:37.758000,133370.0,1.0,,,,,,,,,,,,,,,,,,
35,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,25,True,computationalmodelling/nbval,nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,2015-04-09 09:40:33.000000,2020-12-31 16:58:16.000000,2020-12-31 16:58:15.000000,35.0,32.0,58.0,327.0,421.0,2019-12-16 15:02:26.000000,0.9.5,,25449.0,18.0,1058.0,882.0,24.0,https://pypi.org/project/nbval,BSD-3-Clause,2020-02-12 12:05:18.000000,176.0,23071.0,https://anaconda.org/conda-forge/nbval,2020-07-31 11:51:06.985000,107048.0,2.0,,,,,,,,,,,,,,,,,,
36,Metakernel,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,25,True,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000000,2020-11-11 18:56:46.728000,2020-11-09 20:39:40.000000,70.0,23.0,112.0,220.0,1066.0,2020-11-09 20:39:53.000000,0.27.5,,13822.0,88.0,473.0,379.0,26.0,https://pypi.org/project/metakernel,BSD-3-Clause,2020-11-09 20:39:53.000000,94.0,6951.0,https://anaconda.org/conda-forge/metakernel,2020-11-11 18:56:46.728000,391701.0,1.0,,,,,,,,,,,,,,,,,,
37,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,24,True,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2021-01-02 20:15:41.042020,2021-01-02 19:34:58.000000,2249.0,59.0,529.0,5878.0,1667.0,,,,89182.0,,,,186.0,,BSD-3-Clause,,,,,,,2.0,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2021-01-02 20:15:41.042020,277.0,5886033.0,,,,,,,,,,,,,
38,qgrid,"An interactive grid for sorting, filtering, and editing DataFrames in Jupyter notebooks.",https://github.com/quantopian/qgrid,,widgets,24,True,quantopian/qgrid,qgrid,conda-forge/qgrid,https://github.com/quantopian/qgrid,2014-09-30 04:33:20.000000,2020-10-30 18:13:29.000000,2020-04-07 18:56:49.000000,301.0,139.0,123.0,2486.0,405.0,2020-04-07 16:43:54.000000,1.3.1,,28646.0,73.0,127.0,1.0,30.0,https://pypi.org/project/qgrid,Apache-2.0,2020-04-07 16:43:54.000000,126.0,20981.0,https://anaconda.org/conda-forge/qgrid,2020-10-15 16:30:48.138000,221494.0,2.0,,,,,,qgrid,https://www.npmjs.com/package/qgrid,2017-07-08 00:42:37.705000,0.0,1337.0,,,,,,,,
