,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,trending,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,others,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-01-03 18:35:39.838000,2020-12-04 19:49:22.000000,4127.0,1434.0,5131.0,14594.0,24814.0,2020-10-30 18:15:35.000000,7.19.0,316671.0,11106028.0,99.0,234850.0,170928.0,792.0,https://pypi.org/project/ipython,BSD-3-Clause,2020-10-30 18:15:35.000000,63922.0,11014856.0,https://anaconda.org/conda-forge/ipython,2021-01-03 18:35:39.838000,4994051.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,jupyter,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-01-03 18:45:17.000000,2021-01-03 18:45:16.000000,3258.0,1998.0,2163.0,8684.0,11975.0,2020-12-23 22:57:05.000000,6.1.6,236.0,7270063.0,18.0,107852.0,87374.0,537.0,https://pypi.org/project/jupyter,BSD-3-Clause,2015-08-12 00:42:58.000000,20478.0,7038639.0,https://anaconda.org/conda-forge/jupyter,2019-03-26 08:57:37.135000,1156205.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-01-02 20:17:57.583790,770.0,14306009.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-01-05 09:50:44.000000,2021-01-05 08:37:30.000000,1850.0,1713.0,3615.0,10602.0,22606.0,2021-01-05 05:50:56.000000,3.0.1,,542076.0,321.0,34167.0,31779.0,382.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-01-05 05:50:56.000000,2388.0,486321.0,https://anaconda.org/conda-forge/jupyterlab,2021-01-05 07:10:38.914000,3066528.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,36,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-01-05 06:48:33.000000,2020-09-29 13:37:35.000000,708.0,542.0,1060.0,2068.0,6687.0,2020-12-26 07:25:53.000000,7.6.2,,8511151.0,118.0,97730.0,82736.0,166.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2020-12-27 00:41:53.000000,14932.0,8333975.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-04 17:11:17.235000,2553365.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,132381.0,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2020-12-30 05:02:15.000000,2020-12-19 19:50:04.000000,407.0,328.0,505.0,1055.0,3674.0,2020-10-02 22:38:52.000000,6.0.7,,9244652.0,35.0,101607.0,86223.0,208.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,9190607.0,https://anaconda.org/conda-forge/nbconvert,2020-11-15 01:15:45.173000,3080591.0,1.0,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2020-12-16 16:15:31.000000,2020-12-15 16:18:25.000000,246.0,165.0,129.0,362.0,2056.0,2020-12-12 01:43:03.000000,5.4.2,,8413630.0,41.0,112778.0,95190.0,121.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,8411999.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,101149.0,1.0,,,,,,,,,,,0.0,,,,,,,
7,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2020-12-28 07:55:17.000000,2020-12-23 09:24:50.000000,1500.0,386.0,1518.0,6289.0,4484.0,2020-12-11 11:09:47.000000,1.3.0,,96513.0,42.0,1652.0,1142.0,233.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,67107.0,https://anaconda.org/conda-forge/jupyterhub,2020-12-11 12:21:27.289000,310232.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2020-12-23 09:44:47.500622,271.0,1885554.0,,,,,,,,,,,,,
8,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2020-12-22 18:33:56.000000,2020-12-22 18:33:55.000000,195.0,121.0,134.0,202.0,1835.0,2020-08-25 20:46:44.000000,6.1.7,,8805622.0,31.0,3594.0,,100.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2020-08-25 20:46:44.000000,3594.0,8805622.0,,,,1.0,,,,,,,,,,,,,,,,,,
9,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2020-12-18 14:59:43.000000,2020-12-18 07:40:15.000000,404.0,186.0,313.0,2976.0,3200.0,2020-11-05 14:39:24.000000,0.12.19,,142202.0,87.0,1272.0,1150.0,51.0,https://pypi.org/project/bqplot,Apache-2.0,2020-11-05 14:39:24.000000,112.0,12894.0,https://anaconda.org/conda-forge/bqplot,2020-10-12 22:00:13.153000,447118.0,1.0,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2020-10-12 19:58:11.526000,10.0,121324.0,,,,,,,,
