,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,pypi,gem_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000,2022-03-18 23:58:59.000000,2022-03-14 11:16:25,25913.0,204.0,4329.0,779.0,6644.0,1552.0,5389.0,15291.0,2022-03-03 10:55:32.000,8.1.1,318539.0,17795572.0,146.0,296718.0,262044.0,879.0,https://pypi.org/project/ipython,BSD-3-Clause,2022-03-03 10:55:32.000,34674.0,17646268.0,https://anaconda.org/conda-forge/ipython,2022-03-03 16:57:06.411,10381066.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,44,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000,2022-03-24 14:19:34.000000,2022-03-23 18:17:41,19517.0,79.0,3881.0,462.0,5118.0,708.0,6178.0,16091.0,2021-11-22 17:49:14.000,2.4.2,,4939890.0,119.0,51760.0,48258.0,600.0,https://pypi.org/project/bokeh,BSD-3-Clause,2022-03-03 18:34:50.000,3498.0,4816155.0,https://anaconda.org/conda-forge/bokeh,2021-11-22 21:24:20.205,6756471.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,2022-03-03 18:34:44.216,4.0,9219.0,,,,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,43,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-03-24 10:11:40.000000,2022-03-24 07:51:55,24197.0,255.0,2275.0,320.0,5753.0,2116.0,4483.0,11908.0,2022-03-14 14:54:16.000,3.3.2,42627.0,2296672.0,425.0,7659.0,5593.0,470.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2022-03-18 08:50:14.000,1825.0,2056016.0,https://anaconda.org/conda-forge/jupyterlab,2022-03-14 17:39:05.766,5211044.0,1.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2022-03-18 08:53:35.617,241.0,164436.0,,,,,,,,,,,,,,,,,
4,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000,2022-03-24 00:16:26.000000,2022-03-21 15:34:08,12854.0,187.0,3712.0,314.0,1950.0,2047.0,2354.0,9809.0,2022-03-15 15:56:07.000,6.4.10,5950.0,9708227.0,90.0,8655.0,7.0,605.0,https://pypi.org/project/notebook,BSD-3-Clause,2022-03-21 15:37:14.000,8648.0,9356020.0,https://anaconda.org/conda-forge/jupyter,2021-11-18 11:10:17.899,1849198.0,1.0,,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2022-03-21 20:40:35.423513,911.0,26749911.0,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,39,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000,2022-03-24 14:06:04.000000,2022-03-22 05:35:53,5593.0,175.0,1684.0,273.0,1712.0,198.0,1898.0,6906.0,2022-03-14 11:37:12.000,2.2.2,,716402.0,62.0,2030.0,1664.0,272.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2022-03-14 11:37:12.000,366.0,681969.0,https://anaconda.org/conda-forge/jupyterhub,2022-03-14 14:16:26.459,506833.0,2.0,,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2022-03-22 05:53:22.239819,307.0,2529022.0,,,,,,,,,,,,
6,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,39,True,ipywidgets,jupyter-widgets/ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000,2022-03-16 18:48:16.392000,2022-03-11 23:17:39,7392.0,83.0,808.0,72.0,1679.0,591.0,1188.0,2453.0,2022-03-16 07:31:49.000,7.7.0,,8303034.0,134.0,12177.0,3494.0,193.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2022-03-16 07:31:49.000,8606.0,8125293.0,https://anaconda.org/conda-forge/ipywidgets,2022-03-16 18:48:16.392,4539808.0,1.0,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2022-03-11 23:07:24.231,77.0,113801.0,,,,,,,,,,,,,,,,,
7,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000,2022-03-24 08:54:50.000000,2022-03-24 08:54:50,3795.0,29.0,483.0,46.0,770.0,411.0,570.0,1285.0,2022-03-11 22:19:11.000,6.4.4,,10419400.0,50.0,148737.0,140472.0,239.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2022-03-11 22:19:11.000,8265.0,10335786.0,https://anaconda.org/conda-forge/nbconvert,2022-03-11 23:52:25.113,5936641.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,39,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000,2022-03-22 16:25:29.000000,2022-03-22 15:15:28,2563.0,111.0,298.0,33.0,494.0,215.0,191.0,461.0,2022-03-14 15:20:19.000,6.9.2,326.0,10676456.0,82.0,169649.0,160106.0,150.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2022-03-14 11:24:41.000,9513.0,10673058.0,https://anaconda.org/anaconda/ipykernel,2022-03-12 09:13:36.250,255849.0,1.0,,,,,,,,,,,30.0,,,,,,,,,,,
9,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,widgets,36,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000,2022-03-23 14:14:50.000000,2022-03-23 14:14:45,1906.0,137.0,238.0,41.0,1585.0,517.0,1165.0,1687.0,2021-12-09 16:47:15.000,0.12.6,,481651.0,172.0,3036.0,2941.0,90.0,https://pypi.org/project/panel,BSD-3-Clause,2022-03-22 00:20:28.000,95.0,410228.0,https://anaconda.org/conda-forge/panel,2021-12-09 19:00:04.193,387538.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,2022-03-22 00:24:41.675,,61971.0,,,,,,,,,,,,,,,,,
