,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,conda_dependent_project_count,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
53,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,24,True,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,2016-10-18 22:02:06.000000,2021-02-25 06:03:05.000000,2021-02-18 21:25:02.000000,87.0,69.0,69.0,152.0,617.0,2021-02-08 13:17:24.000000,1.6.0,,25535.0,21.0,94.0,,50.0,https://pypi.org/project/jupyter-server-proxy,BSD-3-Clause,2021-02-18 21:08:36.000000,94.0,15460.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2021-02-08 16:22:19.294000,241820.0,1.0,,,,,,,,,,,-1.0,,,,,,,,
54,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,23,True,jupyter/nbgrader,nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,2014-09-13 03:27:36.000000,2021-02-22 17:36:04.000000,2021-02-06 08:51:16.000000,251.0,177.0,559.0,989.0,2894.0,2019-11-07 21:56:26.000000,0.6.1,,3439.0,23.0,18.0,,78.0,https://pypi.org/project/nbgrader,BSD-3-Clause,2019-11-07 21:54:11.000000,18.0,1800.0,https://anaconda.org/conda-forge/nbgrader,2020-04-03 14:56:13.923000,80333.0,2.0,,,,,,,,,,,,,,,,,,,
55,DataLab,Interactive tools and developer experiences for Big Data on Google Cloud Platform.,https://github.com/googledatalab/datalab,,notebook-environments,23,True,googledatalab/datalab,datalab,,https://github.com/googledatalab/datalab,2014-08-06 18:37:34.000000,2020-09-09 05:30:44.000000,2020-09-09 05:30:42.000000,242.0,220.0,666.0,953.0,2053.0,2020-03-25 23:36:46.000000,1.2.0,,30596.0,18.0,12.0,,51.0,https://pypi.org/project/datalab,Apache-2.0,2020-03-25 23:36:46.000000,12.0,30596.0,,,,3.0,,,,,,,,,,,,,,,,,,,
56,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/krassowski/jupyterlab-lsp,,lab-extensions,23,True,krassowski/jupyterlab-lsp,,,https://github.com/krassowski/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-02-24 21:04:25.000000,2021-02-24 21:04:25.000000,53.0,100.0,195.0,754.0,1866.0,2021-02-17 00:08:41.000000,3.4.1,,19797.0,54.0,3.0,1.0,22.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2021-02-16 23:58:27.093000,2.0,19797.0,1.0,,,,,,,,
57,JupyterLab Dash,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,23,True,plotly/jupyterlab-dash,jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,2018-11-07 19:47:52.000000,2021-01-22 17:06:54.671000,2020-05-19 11:44:34.000000,95.0,23.0,8.0,435.0,41.0,2021-01-22 17:06:54.671000,0.4.0,,223115.0,10.0,108.0,107.0,7.0,https://pypi.org/project/jupyterlab-dash,MIT,2019-07-13 16:38:26.000000,1.0,705.0,,,,1.0,,,,,,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671000,,222410.0,,,,,,,,,
58,DockerSpawner,Spawns JupyterHub single user servers in Docker containers.,https://github.com/jupyterhub/dockerspawner,,hub-spawners,23,True,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2021-02-25 13:43:35.000000,2021-02-25 12:55:44.000000,251.0,108.0,124.0,363.0,546.0,2019-04-25 09:02:42.000000,0.11.1,,2629.0,13.0,126.0,86.0,60.0,https://pypi.org/project/dockerspawner,BSD-3-Clause,2019-04-25 09:02:42.000000,40.0,2367.0,https://anaconda.org/conda-forge/dockerspawner,2019-04-26 00:50:54.465000,7084.0,2.0,,,,,,,,,,,,,,,,,,,
59,nbviewer,nbconvert as a web service: Render Jupyter Notebooks as static web pages.,https://github.com/jupyter/nbviewer,,notebook-sharing,22,True,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000000,2021-02-01 12:03:17.000000,2020-12-02 09:03:55.000000,474.0,144.0,400.0,1829.0,1382.0,,,,15510.0,,5.0,5.0,83.0,,BSD-3-Clause,,,,,,,2.0,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2020-12-02 09:25:43.416709,25.0,1582076.0,,,,,,,,,,,,,,
60,docker-python,Kaggle Python docker image.,https://github.com/Kaggle/docker-python,,notebook-environments,22,True,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,2015-04-14 01:45:38.000000,2021-02-22 20:59:06.652252,2021-02-18 23:15:17.000000,675.0,16.0,233.0,1707.0,1843.0,2021-02-22 20:34:18.000000,dafcedcb400d18a355058d19c57ca610c83c22ed5f958cfd3043b402cf4f5f98,,2697.0,35.0,,,139.0,,Apache-2.0,,,,,,,3.0,kaggle/python,https://hub.docker.com/r/kaggle/python,2021-02-22 20:59:06.652252,149.0,188818.0,,,,,,,,,,,,,,
61,IJavascript,IJavascript is a javascript kernel for the Jupyter notebook.,https://github.com/n-riesco/ijavascript,,kernels,22,True,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2020-12-02 16:36:07.000000,2020-12-02 16:32:55.000000,121.0,49.0,148.0,1506.0,323.0,2019-09-26 17:24:18.653000,5.2.0,,2336.0,32.0,80.0,42.0,14.0,,BSD-3-Clause,,,,,,,1.0,,,,,,ijavascript,https://www.npmjs.com/package/ijavascript,2019-09-26 17:24:18.653000,38.0,2336.0,,,,,,,,,
62,gmaps,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,22,False,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45.000000,143.0,66.0,135.0,701.0,1380.0,2019-07-21 08:49:48.715000,0.9.0,,9287.0,94.0,75.0,1.0,16.0,https://pypi.org/project/gmaps,BSD-3-Clause,2019-07-21 08:49:39.000000,74.0,3264.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940000,207781.0,2.0,,,,,,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,2019-07-21 08:49:48.715000,,1406.0,,,,,,,,,
