,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,trending,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,cran_id,gem_id,hex_id,bitbucket_id
153,bookstore,Notebook storage and publishing workflows for the masses.,https://github.com/nteract/bookstore,,notebook-sharing,19,False,bookstore,nteract/bookstore,,,https://github.com/nteract/bookstore,BSD-3-Clause,2018-10-16 18:54:00.000,2021-12-15 14:37:42.138000,2019-12-09 16:52:07,619.0,,19.0,20.0,109.0,35.0,39.0,185.0,12.0,11.0,7.0,https://pypi.org/project/bookstore,2019-12-09 16:49:29.000,2019-12-09 16:49:29.000,2.5.1,19.0,1.0,26665.0,26665.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
154,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,19,False,spylon-kernel,vericast/spylon-kernel,conda-forge/spylon-kernel,,https://github.com/vericast/spylon-kernel,BSD-3-Clause,2016-11-21 02:23:14.000,2021-06-10 08:02:43.000000,2018-09-20 15:43:57,188.0,,28.0,12.0,25.0,18.0,18.0,164.0,88.0,88.0,6.0,https://pypi.org/project/spylon-kernel,2018-03-23 20:36:58.000,2018-03-23 20:36:58.000,0.4.1,14.0,,2721.0,4152.0,https://anaconda.org/conda-forge/spylon-kernel,2018-10-05 21:02:27.447,94454.0,,,,,3.0,,,,,,,,,,,,,,,,,,
155,Rsession Proxy,Jupyter extensions for running an RStudio rsession proxy.,https://github.com/jupyterhub/jupyter-rsession-proxy,,jupyter-extensions,19,True,jupyter-rsession-proxy,jupyterhub/jupyter-rsession-proxy,conda-forge/jupyter-rsession-proxy,,https://github.com/jupyterhub/jupyter-rsession-proxy,BSD-3-Clause,2016-12-09 06:26:18.000,2022-08-18 06:10:43.000000,2022-06-16 20:56:08,223.0,4.0,67.0,12.0,62.0,26.0,45.0,93.0,41.0,41.0,20.0,https://pypi.org/project/jupyter-rsession-proxy,2021-12-01 19:23:10.000,2021-12-01 19:23:10.000,2.0.1,12.0,,2484.0,2779.0,https://anaconda.org/conda-forge/jupyter-rsession-proxy,2021-12-01 22:22:18.422,11515.0,,,,,2.0,,,,,,,,,,,,,,,,,,
156,IJava,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,18,False,,SpencerPark/IJava,,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2022-05-25 03:24:04.000000,2019-12-08 22:22:20,90.0,,162.0,32.0,11.0,69.0,57.0,813.0,,,4.0,,,2019-05-06 03:28:50.000,1.3.0,5.0,,,1772.0,,,,,,,,3.0,88631.0,,,,,,,,,,,,,,,,,
157,IRuby,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,True,,SciRuby/iruby,,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2022-07-05 23:32:06.000000,2022-07-05 23:32:06,715.0,2.0,18.0,30.0,137.0,45.0,141.0,722.0,162.0,162.0,44.0,,,2021-08-17 16:20:34.000,0.7.4,10.0,,,18.0,,,,,,,,3.0,15.0,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2022-06-07 05:42:07.589827,3.0,1663.0,,,,,,,,,,iruby,,
158,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,18,True,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,,https://github.com/ansible/ansible-jupyter-kernel,Apache-2.0,2018-06-26 14:28:02.000,2022-02-12 03:05:54.538000,2022-02-11 15:18:23,212.0,,54.0,19.0,51.0,15.0,29.0,499.0,9.0,9.0,10.0,https://pypi.org/project/ansible-kernel,2022-02-11 15:19:00.000,2022-02-11 15:19:00.000,1.0.0,11.0,,279.0,1890.0,https://anaconda.org/conda-forge/ansible-kernel,2022-02-12 03:05:54.538,10762.0,,,,,3.0,,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66445.0,,,,,,,,,,,,
159,nb_conda_kernels,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,False,,Anaconda-Platform/nb_conda_kernels,conda-forge/nb_conda_kernels,,https://github.com/Anaconda-Platform/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2022-02-14 03:58:59.101000,2020-11-30 15:55:07,335.0,,56.0,19.0,86.0,35.0,98.0,467.0,,,14.0,,,2020-09-05 22:35:32.000,2.3.0,11.0,,,9376.0,https://anaconda.org/conda-forge/nb_conda_kernels,2022-02-14 03:58:59.101,693855.0,,,,,3.0,,,,,,,,,,,,,,,,,,
160,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,True,,jupyterlab/jupyterlab-google-drive,,@jupyterlab/google-drive,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2022-07-20 08:58:08.000000,2022-04-28 22:45:01,515.0,,72.0,35.0,116.0,40.0,65.0,370.0,2.0,2.0,16.0,,,2020-05-27 00:10:19.202,2.0.0,32.0,,,959.0,,,,https://www.npmjs.com/package/@jupyterlab/google-drive,2020-05-27 00:10:19.202,,959.0,2.0,,,,,,,,,,,,,,,,,,
161,tributary,Streaming reactive and dataflow graphs in Python.,https://github.com/timkpaine/tributary,,widgets,18,True,tributary,timkpaine/tributary,conda-forge/tributary,,https://github.com/timkpaine/tributary,Apache-2.0,2020-06-18 03:08:16.885,2022-07-04 03:28:22.000000,2022-07-04 03:27:47,654.0,21.0,32.0,,,,,364.0,,,7.0,https://pypi.org/project/tributary,2022-05-11 00:34:12.000,2022-05-11 00:34:12.000,0.2.0,16.0,,83.0,863.0,https://anaconda.org/conda-forge/tributary,2022-05-17 02:09:09.609,20299.0,,,,,3.0,,,,,,,,,,,,,,,,,,
162,HTTP-over-WebSocket,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,18,True,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,conda-forge/jupyter_http_over_ws,,https://github.com/googlecolab/jupyter_http_over_ws,Apache-2.0,2018-03-26 22:52:45.000,2022-04-01 12:43:46.000000,2021-08-30 21:48:24,31.0,,38.0,11.0,1.0,21.0,8.0,231.0,15.0,,3.0,https://pypi.org/project/jupyter_http_over_ws,2020-03-12 16:09:39.000,2020-03-12 16:09:39.000,0.0.8,10.0,15.0,53727.0,54190.0,https://anaconda.org/conda-forge/jupyter_http_over_ws,2020-08-13 15:32:13.531,11126.0,,,,,3.0,,,,,,,,,,,,,,,,,,
