,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
27,dtale,Visualizer for pandas data structures.,https://github.com/man-group/dtale,,jupyter-extensions,31,False,dtale,man-group/dtale,conda-forge/dtale,https://github.com/man-group/dtale,LGPL-2.1,2019-07-15 09:34:48.000,2024-01-17 22:23:08.000000,2024-01-05 20:03:54,779.0,14.0,360.0,73.0,281.0,57.0,503.0,4411.0,2024-01-08 14:23:02.000,3.9.0,,84272.0,140.0,998.0,998.0,30.0,https://pypi.org/project/dtale,78291.0,https://anaconda.org/conda-forge/dtale,2024-01-05 22:01:34.870,263204.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
28,JupyterLab LSP,Coding assistance for JupyterLab (code navigation + hover suggestions + linters + autocompletion + rename) using..,https://github.com/jupyter-lsp/jupyterlab-lsp,,lab-extensions,31,True,jupyterlab-lsp,jupyter-lsp/jupyterlab-lsp,conda-forge/jupyter-lsp,https://github.com/jupyter-lsp/jupyterlab-lsp,BSD-3-Clause,2019-08-17 11:34:22.000,2024-01-18 11:36:15.000000,2024-01-18 11:36:15,2869.0,17.0,126.0,20.0,513.0,170.0,356.0,1669.0,2024-01-17 22:55:53.000,5.0.2,,67192.0,55.0,1772.0,1772.0,51.0,https://pypi.org/project/jupyterlab-lsp,35886.0,https://anaconda.org/conda-forge/jupyter-lsp,2024-01-17 23:02:45.582,1195324.0,1.0,@krassowski/jupyterlab-lsp,,,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,,,1423.0,,,,,,,,,,,,,,,,,,
29,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,31,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,BSD-3-Clause,2020-01-13 17:29:49.000,2024-01-02 13:44:54.000000,2024-01-02 13:44:52,376.0,8.0,49.0,11.0,201.0,34.0,69.0,130.0,2023-11-07 18:01:22.000,0.9.0,413.0,12242887.0,32.0,144761.0,144761.0,37.0,https://pypi.org/project/nbclient,11959120.0,https://anaconda.org/conda-forge/nbclient,2023-06-16 19:18:04.408,13336417.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
30,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,30,True,bqplot,bqplot/bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,Apache-2.0,2015-09-26 04:02:18.000,2023-11-06 09:55:37.480000,2023-10-04 07:40:23,3656.0,,445.0,100.0,1043.0,224.0,368.0,3524.0,2023-08-04 08:28:46.000,0.12.41,,138398.0,63.0,53.0,53.0,64.0,https://pypi.org/project/bqplot,107012.0,https://anaconda.org/conda-forge/bqplot,2023-11-06 09:55:37.480,1252439.0,2.0,bqplot,,,https://www.npmjs.com/package/bqplot,,,2922.0,,,,,,,,,,,,,,,,,,
31,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,30,True,ipympl,matplotlib/ipympl,conda-forge/ipympl,https://github.com/matplotlib/ipympl,BSD-3-Clause,2016-07-21 14:38:56.000,2024-01-24 11:03:44.000000,2024-01-24 11:01:46,511.0,1.0,224.0,40.0,247.0,150.0,155.0,1492.0,2023-02-15 19:26:01.770,0.9.3,,221242.0,49.0,10178.0,9995.0,33.0,https://pypi.org/project/ipympl,192956.0,https://anaconda.org/conda-forge/ipympl,2023-06-16 13:22:32.078,1514514.0,2.0,jupyter-matplotlib,2023-02-15 19:26:01.770,183.0,https://www.npmjs.com/package/jupyter-matplotlib,,,10257.0,,,,,,,,,,,,,,,,,,
32,nbgrader,A system for assigning and grading notebooks.,https://github.com/jupyter/nbgrader,,jupyter-extensions,30,True,nbgrader,jupyter/nbgrader,conda-forge/nbgrader,https://github.com/jupyter/nbgrader,BSD-3-Clause,2014-09-13 03:27:36.000,2024-01-04 16:11:34.000000,2023-12-04 18:34:04,3409.0,4.0,295.0,44.0,934.0,251.0,644.0,1242.0,2023-09-05 12:35:02.000,0.9.1,308.0,11412.0,34.0,517.0,517.0,105.0,https://pypi.org/project/nbgrader,6856.0,https://anaconda.org/conda-forge/nbgrader,2023-09-13 22:27:45.981,154827.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
33,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,30,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,BSD-3-Clause,2015-11-21 07:02:52.000,2024-01-18 10:31:34.000000,2024-01-04 16:04:33,1592.0,30.0,304.0,28.0,460.0,85.0,281.0,509.0,2023-11-23 11:08:31.000,6.2.0,,85396.0,38.0,169.0,155.0,84.0,https://pypi.org/project/jupyterhub-kubespawner,84796.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2023-11-23 12:55:19.939,20416.0,1.0,,2023-11-23 11:08:31.000,14.0,,,,,,,,,,,,,,,,,,,,,,
34,OAuthenticator,OAuth + JupyterHub Authenticator = OAuthenticator.,https://github.com/jupyterhub/oauthenticator,,hub-auth,30,True,oauthenticator,jupyterhub/oauthenticator,conda-forge/oauthenticator,https://github.com/jupyterhub/oauthenticator,BSD-3-Clause,2014-09-23 21:37:06.000,2024-01-22 23:39:33.000000,2024-01-22 19:35:21,1554.0,39.0,359.0,21.0,430.0,54.0,245.0,392.0,2023-11-27 17:40:41.000,16.2.1,,23609.0,44.0,451.0,402.0,120.0,https://pypi.org/project/oauthenticator,22432.0,https://anaconda.org/conda-forge/oauthenticator,2023-11-28 06:31:15.831,45904.0,1.0,,2023-11-27 17:40:41.000,49.0,,,,,,,,,,,,,,,,,,,,,,
35,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,29,False,,jupyterlab/debugger,,https://github.com/jupyterlab/debugger,BSD-3-Clause,2019-07-19 18:19:17.000,2024-01-19 19:15:08.506000,2021-03-31 14:20:34,1174.0,,2978.0,20.0,322.0,31.0,245.0,13557.0,2024-01-19 14:58:34.065,3.6.7,,60288.0,239.0,11.0,,11.0,,,,,,1.0,@jupyterlab/debugger,,,https://www.npmjs.com/package/@jupyterlab/debugger,2024-01-19 19:15:08.506,11.0,60288.0,,,,,,,,,,,,,,,,,,
36,xonsh,"Python-powered, cross-platform, Unix-gazing shell.",https://github.com/xonsh/xonsh,,kernels,29,False,xonsh,xonsh/xonsh,,https://github.com/xonsh/xonsh,https://github.com/xonsh/xonsh/blob/main/license,2015-01-21 22:05:27.000,2024-01-23 10:26:15.000000,2024-01-23 10:26:15,10492.0,25.0,604.0,105.0,2597.0,281.0,2209.0,7511.0,2024-01-16 13:58:53.000,0.14.4,9613.0,21207.0,100.0,,,322.0,https://pypi.org/project/xonsh,21103.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
