,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
64,colabcode,Run VSCode (codeserver) on Google Colab or Kaggle Notebooks.,https://github.com/abhishekkrthakur/colabcode,,others,22,True,abhishekkrthakur/colabcode,colabcode,,https://github.com/abhishekkrthakur/colabcode,2020-09-09 10:06:26.000000,2021-02-04 17:50:01.000000,2021-02-03 19:10:17.000000,149.0,36.0,21.0,1259.0,41.0,2021-02-03 19:12:47.000000,0.2.0,,3820.0,12.0,18.0,18.0,7.0,https://pypi.org/project/colabcode,MIT,2021-02-03 19:12:47.000000,,3820.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
65,gmaps,Google maps for Jupyter notebooks.,https://github.com/pbugnion/gmaps,,widgets,22,False,pbugnion/gmaps,gmaps,conda-forge/gmaps,https://github.com/pbugnion/gmaps,2014-12-01 09:12:06.000000,2020-10-13 07:09:18.000000,2019-07-22 06:22:45.000000,143.0,66.0,135.0,708.0,1380.0,2019-07-21 08:49:48.715000,0.9.0,,9630.0,94.0,75.0,1.0,16.0,https://pypi.org/project/gmaps,BSD-3-Clause,2019-07-21 08:49:39.000000,74.0,2675.0,https://anaconda.org/conda-forge/gmaps,2019-08-02 11:56:50.940000,215007.0,2.0,,,,,,,jupyter-gmaps,https://www.npmjs.com/package/jupyter-gmaps,2019-07-21 08:49:48.715000,,2381.0,,,,,,,,,
66,jupyter-dash,Develop Dash apps in the Jupyter Notebook and JupyterLab.,https://github.com/plotly/jupyter-dash,,widgets,22,True,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2021-03-08 10:44:34.000000,2021-01-22 17:01:16.000000,109.0,25.0,13.0,470.0,119.0,2021-01-22 17:07:52.000000,0.4.0,58.0,6523.0,12.0,310.0,310.0,3.0,https://pypi.org/project/jupyter-dash,MIT,2021-01-22 17:02:58.000000,0.0,6518.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
67,JupyterLab Dash,An Extension for the Interactive development of Dash apps in JupyterLab.,https://github.com/plotly/jupyterlab-dash,,lab-renderer,22,True,plotly/jupyterlab-dash,jupyterlab-dash,,https://github.com/plotly/jupyterlab-dash,2018-11-07 19:47:52.000000,2021-01-22 17:06:54.671000,2020-05-19 11:44:34.000000,95.0,23.0,8.0,437.0,41.0,2021-01-22 17:06:54.671000,0.4.0,,220563.0,10.0,110.0,109.0,7.0,https://pypi.org/project/jupyterlab-dash,MIT,2019-07-13 16:38:26.000000,1.0,453.0,,,,1.0,,,,,,,jupyterlab-dash,https://www.npmjs.com/package/jupyterlab-dash,2021-01-22 17:06:54.671000,,220110.0,,,,,,,,,
68,ipycanvas,Interactive Canvas in Jupyter.,https://github.com/martinRenou/ipycanvas,,widgets,22,True,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2021-03-30 06:53:11.000000,2021-03-30 06:53:11.000000,34.0,23.0,54.0,428.0,327.0,2021-01-20 17:26:18.000000,0.8.2,,2885.0,24.0,87.0,87.0,10.0,https://pypi.org/project/ipycanvas,BSD-3-Clause,2021-01-20 17:26:18.000000,0.0,1874.0,https://anaconda.org/conda-forge/ipycanvas,2021-01-20 17:56:51.201000,19211.0,2.0,,,,,,,,,,,,,,,,,,,,
69,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,22,True,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000000,2021-03-12 11:47:30.000000,2021-03-12 11:47:30.000000,61.0,32.0,69.0,398.0,507.0,2021-03-11 21:19:20.467000,3.1.2,,114369.0,30.0,1.0,1.0,23.0,,BSD-3-Clause,,,,,,,1.0,,,,,,2.0,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2021-03-11 21:19:20.467000,,114369.0,,,,,,,,,
70,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,22,True,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2021-03-19 21:48:14.000000,2021-03-19 21:48:13.000000,44.0,8.0,79.0,298.0,486.0,2020-05-15 23:40:02.000000,3.4.0,,12120.0,37.0,148.0,,9.0,https://pypi.org/project/vega,BSD-3-Clause,2020-05-15 23:40:02.000000,148.0,5207.0,https://anaconda.org/conda-forge/vega,2020-12-10 15:03:57.175000,401006.0,2.0,,,,,,,,,,,,,,,,,,,,
71,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/mariobuikhuizen/ipyvuetify,,widgets,22,True,mariobuikhuizen/ipyvuetify,ipyvuetify,conda-forge/ipyvuetify,https://github.com/mariobuikhuizen/ipyvuetify,2019-05-14 17:35:51.000000,2021-03-30 18:31:20.000000,2021-02-22 17:03:17.000000,28.0,50.0,61.0,186.0,192.0,2021-02-22 17:11:17.000000,1.6.2,,8235.0,43.0,10.0,4.0,10.0,https://pypi.org/project/ipyvuetify,MIT,2021-02-22 17:11:17.000000,6.0,6344.0,https://anaconda.org/conda-forge/ipyvuetify,2021-02-22 19:18:07.995000,39715.0,2.0,,,,,,,,,,,,,,,,,,,,
72,nbgitpuller,Jupyter server extension to sync a git repository one-way to a local path.,https://github.com/jupyterhub/nbgitpuller,,jupyter-extensions,22,True,jupyterhub/nbgitpuller,nbgitpuller,conda-forge/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,2017-05-24 19:41:10.000000,2021-03-21 21:13:55.000000,2021-03-21 21:13:22.000000,49.0,31.0,56.0,126.0,340.0,2020-08-01 12:38:50.000000,0.9.0,,12644.0,13.0,314.0,284.0,20.0,https://pypi.org/project/nbgitpuller,BSD-3-Clause,2020-08-01 12:38:50.000000,30.0,11927.0,https://anaconda.org/conda-forge/nbgitpuller,2020-08-01 13:34:29.631000,15781.0,2.0,,,,,,,,,,,,,,,,,,,,
73,commuter,Notebook sharing hub.,https://github.com/nteract/commuter,,notebook-sharing,21,True,nteract/commuter,,,https://github.com/nteract/commuter,2017-01-03 22:23:32.000000,2021-03-30 20:02:35.000000,2021-03-30 20:02:24.000000,542.0,47.0,38.0,5425.0,614.0,2020-07-17 00:15:20.654000,5.10.1,,419.0,70.0,3.0,3.0,27.0,,BSD-3-Clause,,,,,,,2.0,,,,,,,@nteract/commuter,https://www.npmjs.com/package/@nteract/commuter,2020-07-17 00:15:20.654000,,419.0,,,,,,,,,
74,Knowledge Repo,A next-generation curated knowledge sharing platform for data scientists and other technical professions.,https://github.com/airbnb/knowledge-repo,,notebook-sharing,21,True,airbnb/knowledge-repo,knowledge-repo,,https://github.com/airbnb/knowledge-repo,2016-08-17 23:32:50.000000,2021-03-12 23:00:14.000000,2021-03-12 23:00:14.000000,639.0,130.0,159.0,4696.0,574.0,2021-01-20 07:28:10.000000,0.9.0,,708.0,30.0,1.0,,57.0,https://pypi.org/project/knowledge-repo,Apache-2.0,2021-01-20 07:28:10.000000,1.0,708.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
75,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,21,False,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-02-12 13:31:15.000000,2019-09-07 14:59:00.000000,726.0,328.0,446.0,4543.0,2562.0,2019-01-02 12:23:07.000000,0.5.1,,67399.0,1.0,,,119.0,https://pypi.org/project/jupyter_contrib_nbextensions,,,,67399.0,,,,2.0,,,,,,-7.0,,,,,,,,,,,,,,
76,IHaskell,A Haskell kernel for IPython.,https://github.com/gibiansky/IHaskell,,kernels,21,True,gibiansky/IHaskell,,,https://github.com/gibiansky/IHaskell,2013-08-26 07:16:09.000000,2021-02-28 14:25:09.000000,2021-02-28 14:25:09.000000,231.0,37.0,657.0,2225.0,1880.0,2018-08-01 13:12:37.900000,0.0.5,,48.0,5.0,4.0,4.0,100.0,,MIT,,,,,,,2.0,,,,,,,ihaskell_jupyterlab,https://www.npmjs.com/package/ihaskell_jupyterlab,2018-08-01 13:12:37.900000,,48.0,,,,,,,,,
77,IRkernel,R kernel for Jupyter.,https://github.com/IRkernel/IRkernel,,kernels,21,True,IRkernel/IRkernel,,r/r-irkernel,https://github.com/IRkernel/IRkernel,2014-02-26 02:57:07.000000,2021-03-27 06:57:25.278438,2021-02-10 10:22:01.000000,278.0,46.0,491.0,1420.0,577.0,2020-07-20 12:11:32.000000,1.1.1,,4183.0,15.0,,,38.0,,MIT,,,,https://anaconda.org/r/r-irkernel,2020-03-10 23:18:20.173000,30643.0,2.0,jupyter/r-notebook,https://hub.docker.com/r/jupyter/r-notebook,2021-03-27 06:57:25.278438,38.0,323271.0,,,,,,,,,,IRkernel,,,,,
78,elyra,Elyra extends JupyterLab Notebooks with an AI centric approach.,https://github.com/elyra-ai/elyra,,lab-extensions,21,True,elyra-ai/elyra,elyra,conda-forge/elyra,https://github.com/elyra-ai/elyra,2019-10-22 21:37:58.000000,2021-04-01 06:28:48.000000,2021-04-01 06:26:24.000000,135.0,157.0,700.0,855.0,948.0,2021-04-01 06:27:06.000000,2.2.1,,766.0,47.0,16.0,16.0,21.0,https://pypi.org/project/elyra,Apache-2.0,2021-04-01 06:27:06.000000,0.0,392.0,https://anaconda.org/conda-forge/elyra,2021-01-13 18:23:08.007000,2994.0,2.0,,,,,,,,,,,,,,,,,,,,
79,notedown,Markdown = IPython Notebook.,https://github.com/aaren/notedown,,notebook-sharing,21,False,aaren/notedown,notedown,conda-forge/notedown,https://github.com/aaren/notedown,2014-02-17 17:28:59.000000,2021-03-10 10:08:52.000000,2017-11-16 19:29:56.000000,87.0,39.0,29.0,761.0,264.0,2017-11-16 17:59:43.000000,1.5.1,,2124.0,26.0,161.0,113.0,7.0,https://pypi.org/project/notedown,BSD-2-Clause,2017-11-16 17:59:43.000000,48.0,1200.0,https://anaconda.org/conda-forge/notedown,2018-06-07 01:28:24.567000,31420.0,2.0,,,,,,,,,,,,,,,,,,,,
80,Apache Toree,Jupyter kernel for Apache Spark.,https://github.com/apache/incubator-toree,,kernels,21,True,apache/incubator-toree,toree,,https://github.com/apache/incubator-toree,2016-01-07 08:00:06.000000,2020-09-28 04:37:49.000000,2020-08-23 17:51:13.000000,214.0,12.0,,663.0,1128.0,2020-08-01 16:46:23.000000,0.4.0,,4896.0,13.0,9.0,,101.0,https://pypi.org/project/toree,Apache-2.0,2020-08-01 16:46:23.000000,9.0,4896.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
81,Stencila,Living documents for reproducible research.,https://github.com/stencila/stencila,,notebook-sharing,21,True,stencila/stencila,,,https://github.com/stencila/stencila,2012-05-31 02:43:31.000000,2021-04-01 03:38:16.000000,2021-04-01 03:38:16.000000,37.0,8.0,446.0,588.0,2891.0,2021-03-31 22:32:08.000000,0.45.0,1212.0,648.0,76.0,21.0,13.0,20.0,,Apache-2.0,,,,,,,2.0,stencila/cloud,https://hub.docker.com/r/stencila/cloud,2019-04-08 04:14:51.284193,,16458.0,,stencila,https://www.npmjs.com/package/stencila,2020-11-06 15:20:04.059000,8.0,481.0,,,,,,,,,
82,Mapbox GL,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,https://github.com/mapbox/mapboxgl-jupyter,,widgets,21,False,mapbox/mapboxgl-jupyter,mapboxgl,,https://github.com/mapbox/mapboxgl-jupyter,2017-08-08 15:10:51.000000,2021-03-02 19:26:30.000000,2019-12-03 21:57:25.000000,121.0,35.0,67.0,562.0,220.0,2019-06-03 21:24:10.000000,0.10.2,,2599.0,20.0,112.0,94.0,20.0,https://pypi.org/project/mapboxgl,MIT,2019-06-02 15:18:57.000000,18.0,2599.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
83,Code Formatter,A universal code formatter for JupyterLab.,https://github.com/ryantam626/jupyterlab_code_formatter,,lab-extensions,21,True,ryantam626/jupyterlab_code_formatter,jupyterlab_code_formatter,,https://github.com/ryantam626/jupyterlab_code_formatter,2018-08-12 20:50:17.000000,2021-03-30 04:03:06.000000,2021-03-14 12:04:38.000000,37.0,18.0,108.0,416.0,336.0,2021-03-14 12:10:57.000000,1.4.5,,16635.0,49.0,2.0,,29.0,https://pypi.org/project/jupyterlab_code_formatter,MIT,2021-03-14 12:10:57.000000,2.0,3961.0,,,,2.0,,,,,,,@ryantam626/jupyterlab_code_formatter,https://www.npmjs.com/package/@ryantam626/jupyterlab_code_formatter,2021-03-14 12:10:10.582000,,12674.0,,,,,,,,,
84,Resource Usage,Jupyter Notebook Extension for monitoring your own Resource Usage.,https://github.com/jupyter-server/jupyter-resource-usage,,jupyter-extensions,21,True,jupyter-server/jupyter-resource-usage,jupyter-resource-usage,conda-forge/nbresuse,https://github.com/jupyter-server/jupyter-resource-usage,2016-04-22 07:01:34.000000,2021-03-22 07:17:55.000000,2021-03-22 07:17:52.000000,53.0,28.0,24.0,224.0,138.0,2020-12-18 20:29:35.000000,0.5.1,,20160.0,4.0,21.0,21.0,14.0,https://pypi.org/project/jupyter-resource-usage,BSD-2-Clause,2020-12-18 20:27:19.000000,0.0,2350.0,https://anaconda.org/conda-forge/nbresuse,2020-11-23 11:22:25.946000,231531.0,2.0,,,,,,,,,,,,,,,,,,,,
85,sos,SoS workflow system for daily data analysis.,https://github.com/vatlab/sos,,notebook-environments,21,True,vatlab/SOS,,,https://github.com/vatlab/sos,2016-02-13 00:46:46.000000,2021-02-26 19:51:47.000000,2021-02-26 19:51:31.000000,25.0,50.0,1353.0,197.0,7498.0,2019-05-21 01:06:30.000000,0.9.11,,,51.0,535.0,535.0,33.0,,BSD-3-Clause,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
86,LDAP Authenticator,LDAP Authenticator Plugin for Jupyter.,https://github.com/jupyterhub/ldapauthenticator,,hub-auth,21,True,jupyterhub/ldapauthenticator,jupyterhub-ldapauthenticator,conda-forge/jupyterhub-ldapauthenticator,https://github.com/jupyterhub/ldapauthenticator,2016-01-17 05:11:49.000000,2021-01-26 18:12:18.000000,2020-12-14 10:15:47.000000,149.0,58.0,74.0,146.0,162.0,2020-08-28 12:01:56.000000,1.3.2,,3321.0,9.0,72.0,65.0,28.0,https://pypi.org/project/jupyterhub-ldapauthenticator,BSD-3-Clause,2020-08-28 12:01:56.000000,7.0,2797.0,https://anaconda.org/conda-forge/jupyterhub-ldapauthenticator,2020-08-28 14:10:52.507000,17832.0,1.0,,,,,,,,,,,,,,,,,,,,
87,ipycytoscape,A Cytoscape Jupyter widget.,https://github.com/QuantStack/ipycytoscape,,widgets,21,True,QuantStack/ipycytoscape,,conda-forge/ipycytoscape,https://github.com/QuantStack/ipycytoscape,2020-02-05 13:46:52.000000,2021-03-29 15:33:35.000000,2021-03-29 15:33:35.000000,39.0,49.0,72.0,132.0,544.0,2021-01-05 04:00:14.000000,1.2.0,2.0,1124.0,15.0,27.0,27.0,25.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/ipycytoscape,2021-01-05 07:41:06.454000,14621.0,3.0,,,,,,,,,,,,,,,,,,,,
88,Jupyter Sphinx,Sphinx extension for rendering of Jupyter interactive widgets.,https://github.com/jupyter/jupyter-sphinx,,notebook-tools,21,True,jupyter/jupyter-sphinx,jupyter_sphinx,,https://github.com/jupyter/jupyter-sphinx,2016-11-15 18:36:37.000000,2021-02-19 11:21:03.000000,2021-02-19 11:21:03.000000,40.0,32.0,67.0,106.0,335.0,2020-09-21 17:37:11.000000,0.3.2,,18033.0,8.0,17.0,,22.0,https://pypi.org/project/jupyter_sphinx,BSD-3-Clause,2018-08-06 23:12:20.000000,17.0,18033.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
89,ipydatawidgets,A set of widgets to help facilitate reuse of large datasets across widgets.,https://github.com/vidartf/ipydatawidgets,,widgets,21,False,vidartf/ipydatawidgets,ipydatawidgets,conda-forge/ipydatawidgets,https://github.com/vidartf/ipydatawidgets,2017-07-31 17:37:26.000000,2021-01-06 10:43:12.012000,2021-01-04 10:18:53.000000,6.0,3.0,5.0,24.0,266.0,2021-01-04 10:18:03.000000,4.2.0,,9715.0,16.0,292.0,266.0,5.0,https://pypi.org/project/ipydatawidgets,BSD-3-Clause,2021-01-04 10:18:03.000000,26.0,7392.0,https://anaconda.org/conda-forge/ipydatawidgets,2021-01-06 10:43:12.012000,78989.0,3.0,,,,,,,,,,,,,,,,,,,,
90,Hydrogen,"Run code interactively, inspect data, and plot. All the power of Jupyter kernels, inside your favorite text editor.",https://github.com/nteract/hydrogen,,notebook-environments,20,True,nteract/hydrogen,,,https://github.com/nteract/hydrogen,2015-05-11 01:16:55.000000,2021-03-30 02:01:13.000000,2021-03-30 02:00:24.000000,336.0,150.0,1049.0,3688.0,2170.0,2021-02-01 02:10:26.000000,2.14.7,,,82.0,,,85.0,,MIT,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
91,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,20,True,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15.000000,2021-03-30 02:30:23.000000,2021-01-15 13:13:35.000000,223.0,25.0,50.0,1843.0,,2021-01-11 00:36:32.000000,0.12.1,,16659.0,3.0,,,9.0,,Apache-2.0,,,,,,,3.0,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-01-11 00:11:14.480525,16.0,383161.0,,,,,,,,,,,,,,,
92,Variable Inspector,Variable Inspector extension for Jupyterlab.,https://github.com/lckr/jupyterlab-variableInspector,,lab-extensions,20,True,lckr/jupyterlab-variableInspector,,,https://github.com/lckr/jupyterlab-variableInspector,2018-06-13 18:16:02.000000,2021-01-26 15:10:11.000000,2021-01-26 15:10:10.000000,68.0,34.0,105.0,755.0,159.0,2021-01-20 16:38:35.000000,3.0.6,,15587.0,7.0,3.0,3.0,16.0,,BSD-3-Clause,,,,,,,2.0,,,,,,,@lckr/jupyterlab_variableinspector,https://www.npmjs.com/package/@lckr/jupyterlab_variableinspector,2020-05-29 14:50:45.861000,,15587.0,,,,,,,,,
93,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,20,True,QuantStack/ipysheet,ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,2017-07-10 13:46:31.000000,2021-03-30 12:52:18.000000,2020-04-30 08:50:34.000000,56.0,67.0,48.0,401.0,282.0,2020-04-30 08:53:17.000000,0.4.4,,7794.0,21.0,21.0,3.0,8.0,https://pypi.org/project/ipysheet,MIT,2020-04-30 08:53:17.000000,18.0,2713.0,https://anaconda.org/conda-forge/ipysheet,2020-10-12 16:07:52.593000,30429.0,3.0,,,,,,,ipysheet,https://www.npmjs.com/package/ipysheet,2020-04-30 08:49:24.146000,,3954.0,,,,,,,,,
94,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,20,True,lgpage/nbtutor,,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,2016-11-07 14:08:25.000000,2021-03-07 20:10:37.000000,2021-02-21 18:17:10.000000,33.0,18.0,11.0,379.0,176.0,2016-12-23 12:20:44.000000,1.0.4,,1454.0,2.0,19.0,19.0,3.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/nbtutor,2020-10-15 14:07:05.970000,75650.0,3.0,,,,,,,,,,,,,,,,,,,,
95,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,20,True,oschuett/appmode,appmode,conda-forge/appmode,https://github.com/oschuett/appmode,2017-03-17 13:33:53.000000,2021-01-24 17:12:41.412000,2020-06-09 08:15:17.000000,60.0,3.0,48.0,361.0,95.0,2020-06-09 08:23:50.000000,0.8.0,,3562.0,16.0,290.0,252.0,8.0,https://pypi.org/project/appmode,MIT,2020-06-09 08:23:50.000000,38.0,939.0,https://anaconda.org/conda-forge/appmode,2021-01-24 17:12:41.412000,107555.0,2.0,,,,,,,,,,,,,,,,,,,,
96,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,20,True,nteract/scrapbook,nteract-scrapbook,,https://github.com/nteract/scrapbook,2018-10-22 04:17:04.000000,2021-03-16 05:27:29.000000,2021-03-16 05:27:29.000000,21.0,24.0,22.0,208.0,,2021-01-06 19:12:18.000000,0.4.2,,24654.0,7.0,38.0,18.0,11.0,https://pypi.org/project/nteract-scrapbook,BSD-3-Clause,2021-01-06 19:12:18.000000,20.0,24654.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
97,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,20,True,SamLau95/nbinteract,nbinteract,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000000,2021-03-15 00:06:17.000000,2021-03-15 00:06:17.000000,21.0,43.0,40.0,191.0,586.0,2021-01-05 06:47:54.000000,0.2.6,,639.0,37.0,38.0,1.0,7.0,https://pypi.org/project/nbinteract,BSD-3-Clause,2021-01-05 06:47:54.000000,37.0,639.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
98,Native Authenticator,JupyterHub-native user authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,20,True,jupyterhub/nativeauthenticator,jupyterhub-nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,2018-12-03 17:38:18.000000,2021-03-09 15:38:22.000000,2021-01-31 12:16:42.000000,41.0,20.0,40.0,36.0,262.0,2021-01-14 22:35:59.000000,0.0.7,,1342.0,7.0,19.0,19.0,16.0,https://pypi.org/project/jupyterhub-nativeauthenticator,BSD-3-Clause,2021-01-14 22:35:59.000000,,1342.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
99,jupyter-packaging,Tools to help build and install Jupyter Python packages.,https://github.com/jupyter/jupyter-packaging,,components,20,True,jupyter/jupyter-packaging,jupyter-packaging,conda-forge/jupyter-packaging,https://github.com/jupyter/jupyter-packaging,2017-03-04 19:38:49.000000,2021-04-01 12:48:58.631000,2021-04-01 11:42:10.000000,34.0,8.0,11.0,26.0,221.0,2021-04-01 11:42:39.000000,0.8.2,,163249.0,21.0,2.0,,17.0,https://pypi.org/project/jupyter-packaging,BSD-3-Clause,2021-03-24 20:13:37.000000,2.0,157656.0,https://anaconda.org/conda-forge/jupyter-packaging,2021-04-01 12:48:58.631000,61526.0,3.0,,,,,,-4.0,,,,,,,,,,,,,,
100,IJulia.jl,Julia kernel for Jupyter.,https://github.com/JuliaLang/IJulia.jl,,kernels,19,True,JuliaLang/IJulia.jl,,,https://github.com/JuliaLang/IJulia.jl,2013-03-05 18:20:21.000000,2021-03-24 16:34:04.000000,2021-02-23 23:47:25.000000,356.0,92.0,669.0,2205.0,698.0,2021-02-24 00:04:46.000000,1.23.2,,,41.0,,,99.0,,MIT,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
101,xeus-cling,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,19,True,jupyter-xeus/xeus-cling,,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,2017-04-20 15:35:44.000000,2021-03-16 17:18:48.868000,2021-03-16 14:48:10.000000,193.0,106.0,108.0,1760.0,462.0,,,,3379.0,14.0,,,18.0,,BSD-3-Clause,,,,https://anaconda.org/conda-forge/xeus-cling,2021-03-16 17:18:48.868000,94619.0,2.0,,,,,,,,,,,,,,,,,,,,
102,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,True,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,2018-09-07 20:26:10.000000,2021-03-31 09:17:26.000000,2021-03-17 12:46:20.000000,99.0,36.0,37.0,475.0,319.0,2021-01-19 14:40:37.214000,1.8.0,,7122.0,38.0,0.0,,19.0,https://pypi.org/project/witwidget,Apache-2.0,2021-01-19 14:40:21.000000,0.0,3266.0,,,,3.0,,,,,,,wit-widget,https://www.npmjs.com/package/wit-widget,2021-01-19 14:40:37.214000,,3856.0,,,,,,,,,
103,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,19,True,ansible/ansible-jupyter-kernel,ansible-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,2018-06-26 14:28:02.000000,2021-03-05 18:39:25.000000,2021-03-05 18:39:24.000000,45.0,12.0,29.0,459.0,208.0,2018-12-12 18:30:14.000000,0.9.0,,2356.0,10.0,7.0,7.0,9.0,https://pypi.org/project/ansible-kernel,Apache-2.0,2018-12-12 18:30:14.000000,,116.0,https://anaconda.org/conda-forge/ansible-kernel,2020-01-14 12:34:24.230000,6372.0,2.0,benthomasson/ansible-jupyter-kernel,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66345.0,,,,,,,,,,,,,,,
104,JupyterLab Drawio,A standalone embedding of the FOSS drawio / mxgraph package into jupyterlab.,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,19,True,QuantStack/jupyterlab-drawio,,,https://github.com/QuantStack/jupyterlab-drawio,2018-01-31 16:38:30.000000,2021-03-31 07:31:52.000000,2021-03-17 13:11:06.000000,53.0,37.0,19.0,454.0,79.0,2021-03-17 14:17:30.519000,0.8.0,,6199.0,10.0,4.0,4.0,15.0,,BSD-3-Clause,,,,,,,2.0,,,,,,2.0,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,2021-03-17 14:17:30.519000,,6199.0,,,,,,,,,
105,jupyter-tensorboard,Start Tensorboard in Jupyter Notebook.,https://github.com/lspvic/jupyter_tensorboard,,jupyter-extensions,19,False,lspvic/jupyter_tensorboard,jupyter-tensorboard,,https://github.com/lspvic/jupyter_tensorboard,2017-08-22 08:05:13.000000,2021-02-25 23:36:10.000000,2020-02-16 06:42:48.000000,69.0,41.0,27.0,446.0,69.0,2020-02-16 07:15:03.000000,0.2.0,,1231.0,19.0,31.0,,4.0,https://pypi.org/project/jupyter-tensorboard,MIT,2020-02-16 07:15:03.000000,31.0,1231.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
