,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,new_addition,go_id,cran_id,pypi,gem_id,updated_github_id,hex_id,bitbucket_id
44,BeakerX,Beaker Extensions for Jupyter Notebook.,https://github.com/twosigma/beakerx,,notebook-tools,24,True,twosigma/beakerx,beakerx,conda-forge/beakerx,https://github.com/twosigma/beakerx,2013-12-03 14:16:36.000000,2021-01-21 14:03:03.000000,2021-01-21 14:02:57.000000,381.0,340.0,4172.0,2544.0,1689.0,2020-09-07 15:05:22.000000,2.0.1,31.0,14477.0,48.0,40.0,,81.0,https://pypi.org/project/beakerx,Apache-2.0,2020-09-07 15:05:22.000000,40.0,1407.0,https://anaconda.org/conda-forge/beakerx,2020-10-16 00:01:07.915000,391046.0,2.0,beakerx/beakerx,https://hub.docker.com/r/beakerx/beakerx,2018-12-02 20:23:21.082606,21.0,243544.0,,beakerx,https://www.npmjs.com/package/beakerx,2019-04-06 03:31:02.776000,0.0,1209.0,,,,,,,,,
45,ipyregulartable,"High performance, editable, stylable datagrids in jupyter and jupyterlab.",https://github.com/jpmorganchase/ipyregulartable,,widgets,24,True,jpmorganchase/ipyregulartable,ipyregulartable,,https://github.com/jpmorganchase/ipyregulartable,2020-06-15 21:45:08.000000,2021-03-18 22:22:43.000000,2021-03-18 22:22:39.000000,734.0,9.0,13.0,2185.0,,2021-01-08 04:41:11.000000,0.2.0,,170263.0,90.0,66.0,4.0,4.0,https://pypi.org/project/ipyregulartable,Apache-2.0,2021-01-08 04:41:11.000000,,34.0,,,,2.0,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,170229.0,,,,,,,,,
46,ipydagred3,ipywidgets library for drawing directed acyclic graphs in jupyterlab using dagre-d3.,https://github.com/timkpaine/ipydagred3,,widgets,24,True,timkpaine/ipydagred3,ipydagred3,,https://github.com/timkpaine/ipydagred3,2020-02-29 23:01:15.000000,2021-04-01 00:36:23.000000,2021-04-01 00:36:18.000000,734.0,5.0,13.0,2185.0,,2020-12-31 23:08:14.000000,0.3.0,,170770.0,90.0,69.0,7.0,3.0,https://pypi.org/project/ipydagred3,Apache-2.0,2020-12-31 23:08:14.000000,0.0,541.0,,,,2.0,,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,170229.0,,,,,,,,,
47,watermark,"An IPython magic extension for printing date and time stamps, version numbers, and hardware information.",https://github.com/rasbt/watermark,,magic,24,True,rasbt/watermark,watermark,conda-forge/watermark,https://github.com/rasbt/watermark,2014-07-30 03:46:33.000000,2021-02-18 18:12:02.241000,2021-02-18 16:55:13.000000,62.0,15.0,26.0,507.0,81.0,2021-02-18 17:08:16.000000,2.2.0,,38903.0,20.0,1058.0,934.0,15.0,https://pypi.org/project/watermark,BSD-3-Clause,2021-02-18 16:56:30.000000,124.0,36116.0,https://anaconda.org/conda-forge/watermark,2021-02-18 18:12:02.241000,150504.0,2.0,,,,,,,,,,,,,,,,,,,,
48,JupyterLab Debugger,"A visual debugger for Jupyter notebooks, consoles, and source files.",https://github.com/jupyterlab/debugger,,lab-extensions,24,True,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2021-04-01 04:03:45.000000,2021-03-31 14:20:34.000000,32.0,20.0,243.0,485.0,1174.0,2021-03-19 20:14:32.636000,3.0.8,,68784.0,77.0,42.0,42.0,11.0,,BSD-3-Clause,,,,,,,1.0,,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2021-02-18 16:57:54.456000,0.0,68784.0,,,,,,,,,
49,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,24,True,jupyterhub/kubespawner,jupyterhub-kubespawner,,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000000,2021-03-14 09:12:04.000000,2021-03-14 09:12:04.000000,214.0,47.0,205.0,353.0,911.0,2021-02-26 15:18:12.000000,0.16.0,,2767.0,19.0,101.0,83.0,61.0,https://pypi.org/project/jupyterhub-kubespawner,BSD-3-Clause,2021-02-26 15:18:12.000000,18.0,2767.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
50,Metakernel,Jupyter/IPython Kernel Tools.,https://github.com/Calysto/metakernel,,kernels,24,True,Calysto/metakernel,metakernel,conda-forge/metakernel,https://github.com/Calysto/metakernel,2014-08-24 20:53:45.000000,2020-11-11 18:56:46.728000,2020-11-09 20:39:40.000000,69.0,25.0,112.0,233.0,1066.0,2020-11-09 20:39:53.000000,0.27.5,,13192.0,88.0,514.0,420.0,26.0,https://pypi.org/project/metakernel,BSD-3-Clause,2020-11-09 20:39:53.000000,94.0,6044.0,https://anaconda.org/conda-forge/metakernel,2020-11-11 18:56:46.728000,428938.0,1.0,,,,,,,,,,,,,,,,,,,,
51,ipywebrtc,WebRTC for Jupyter notebook/lab.,https://github.com/maartenbreddels/ipywebrtc,,widgets,24,True,maartenbreddels/ipywebrtc,ipywebrtc,conda-forge/ipywebrtc,https://github.com/maartenbreddels/ipywebrtc,2017-08-10 18:07:51.000000,2021-03-29 11:48:21.469000,2021-03-29 11:25:59.000000,30.0,29.0,20.0,173.0,209.0,2021-03-29 11:25:34.632000,0.6.0,,9496.0,12.0,216.0,200.0,9.0,https://pypi.org/project/ipywebrtc,MIT,2019-07-04 12:53:46.000000,16.0,4064.0,https://anaconda.org/conda-forge/ipywebrtc,2021-03-29 11:48:21.469000,180096.0,2.0,,,,,,3.0,jupyter-webrtc,https://www.npmjs.com/package/jupyter-webrtc,2021-03-29 11:25:34.632000,0.0,1339.0,,,,,,,,,
52,jupyter-console,Jupyter Terminal Console.,https://github.com/jupyter/jupyter_console,,others,24,True,jupyter/jupyter_console,jupyter-console,,https://github.com/jupyter/jupyter_console,2015-04-09 06:58:55.000000,2021-03-24 00:04:48.000000,2021-03-24 00:04:45.000000,119.0,47.0,78.0,161.0,560.0,2021-03-24 00:04:25.000000,6.4.0,,5561680.0,15.0,0.0,,54.0,https://pypi.org/project/jupyter-console,BSD-3-Clause,2021-03-24 00:04:25.000000,0.0,5561680.0,,,,3.0,,,,,,2.0,,,,,,,,,,,,,,
53,jupyter-server-proxy,Jupyter notebook server extension to proxy web services.,https://github.com/jupyterhub/jupyter-server-proxy,,jupyter-extensions,24,True,jupyterhub/jupyter-server-proxy,jupyter-server-proxy,conda-forge/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,2016-10-18 22:02:06.000000,2021-03-30 00:29:38.000000,2021-03-16 17:31:08.000000,89.0,63.0,77.0,155.0,651.0,2021-03-16 17:34:57.000000,3.0.2,,23227.0,24.0,94.0,,50.0,https://pypi.org/project/jupyter-server-proxy,BSD-3-Clause,2021-03-16 17:34:57.000000,94.0,12221.0,https://anaconda.org/conda-forge/jupyter-server-proxy,2021-03-16 18:23:56.345000,286161.0,1.0,,,,,,,,,,,,,,,,,,,,
