,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,updated_github_id,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-03-04 11:28:07.000000,2021-02-26 18:49:56.000000,4139.0,1471.0,5166.0,14689.0,24880.0,2021-02-26 22:13:06.000000,7.21.0,317007.0,8461519.0,101.0,245404.0,181482.0,796.0,https://pypi.org/project/ipython,BSD-3-Clause,2021-02-26 22:13:06.000000,63922.0,8363020.0,https://anaconda.org/conda-forge/ipython,2021-02-27 03:03:10.289000,5605998.0,1.0,,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-03-04 10:22:04.000000,2021-03-03 17:36:49.000000,3322.0,2005.0,2200.0,8847.0,12023.0,2021-01-13 23:58:54.000000,6.2.0,245.0,6596328.0,69.0,110152.0,94066.0,545.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,6344794.0,https://anaconda.org/conda-forge/jupyter,2021-01-28 22:23:49.648000,1262286.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-02-28 10:01:15.334669,797.0,16066298.0,,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-03-04 13:17:06.000000,2021-03-04 13:17:06.000000,1900.0,1796.0,3733.0,10846.0,22954.0,2021-02-22 22:25:38.000000,3.0.9,,566784.0,334.0,37732.0,35344.0,392.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-02-18 17:14:59.000000,2388.0,507588.0,https://anaconda.org/conda-forge/jupyterlab,2021-02-23 00:57:35.943000,3374221.0,1.0,,,,,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2021-02-28 20:46:42.000000,2021-02-28 20:46:41.000000,407.0,339.0,514.0,1076.0,3687.0,2020-10-02 22:38:52.000000,6.0.7,,6741164.0,35.0,108141.0,92757.0,212.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,6682695.0,https://anaconda.org/conda-forge/nbconvert,2021-01-21 02:13:03.383000,3449707.0,1.0,,,,,,,,,,,,,,,,,,,
5,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,34,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-03-03 15:06:14.000000,2021-02-26 09:24:57.000000,730.0,546.0,1103.0,2154.0,6909.0,2021-02-07 22:09:48.000000,7.6.3,,6244250.0,123.0,16246.0,1252.0,172.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-02-22 20:59:46.000000,14932.0,6023263.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2814975.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2021-02-10 22:10:11.354000,62.0,173276.0,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-03-01 13:03:16.000000,2021-02-24 10:29:21.000000,256.0,173.0,132.0,375.0,2091.0,2021-02-20 20:31:56.000000,5.5.0,,6206596.0,43.0,120145.0,102557.0,126.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2021-02-19 17:48:41.000000,17588.0,6204628.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,125962.0,1.0,,,,,,,,,,,0.0,,,,,,,,
7,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,33,True,bokeh/bokeh,bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,2012-03-26 15:40:01.000000,2021-03-04 13:34:55.000000,2021-03-03 05:53:55.000000,3659.0,628.0,5792.0,14777.0,,2021-02-24 19:44:29.000000,2.3.0,,669385.0,90.0,36846.0,30974.0,550.0,https://pypi.org/project/bokeh,BSD-3-Clause,2021-02-24 19:44:29.000000,5872.0,586862.0,https://anaconda.org/conda-forge/bokeh,2021-03-01 11:07:11.701000,3878621.0,1.0,,,,,,,,,,,,,,,,,,,
8,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-21 20:52:23.925000,2021-01-21 17:52:13.000000,148.0,88.0,182.0,251.0,1747.0,2021-01-21 17:49:48.000000,5.0.2,,5076420.0,31.0,83340.0,70978.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2021-01-21 17:49:48.000000,12362.0,5047329.0,https://anaconda.org/conda-forge/qtconsole,2021-01-21 20:52:23.925000,1687319.0,1.0,,,,,,,,,,,,,,,,,,,
9,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-03-04 13:03:27.000000,2021-02-26 11:57:22.000000,1536.0,166.0,1767.0,6388.0,4556.0,2020-12-11 11:09:47.000000,1.3.0,,84407.0,42.0,1718.0,1208.0,237.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,53555.0,https://anaconda.org/conda-forge/jupyterhub,2021-02-25 12:39:56.079000,339455.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-02-26 12:10:19.832274,278.0,2025056.0,,,,,,,,,,,,,,
