,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,conda_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
155,ipytree,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/jupyter-widgets-contrib/ipytree,,widgets,19,True,ipytree,QuantStack/ipytree,conda-forge/ipytree,https://github.com/jupyter-widgets-contrib/ipytree,MIT,2018-09-15 13:17:27.000,2023-07-20 07:28:33.000000,2022-11-23 09:34:00,111.0,,28.0,9.0,46.0,21.0,18.0,115.0,2022-08-24 12:33:17.000,0.2.2,,79703.0,12.0,23.0,2.0,9.0,https://pypi.org/project/ipytree,77575.0,https://anaconda.org/conda-forge/ipytree,2023-06-16 16:14:42.506,82637.0,3.0,,2022-08-23 15:13:01.647,19.0,,,,,ipytree,https://www.npmjs.com/package/ipytree,569.0,jupyter-widgets-contrib/ipytree,2022-08-23 15:10:34.820,2.0,,,,,,,,,,,
156,JupyterLab IFrame,View html as an embedded iframe in JupyterLab.,https://github.com/timkpaine/jupyterlab_iframe,,lab-extensions,19,True,jupyterlab_iframe,timkpaine/jupyterlab_iframe,conda-forge/jupyterlab_iframe,https://github.com/timkpaine/jupyterlab_iframe,Apache-2.0,2018-03-12 02:34:47.000,2023-07-19 16:07:49.000000,2023-07-19 16:07:48,338.0,11.0,17.0,5.0,84.0,6.0,64.0,99.0,2023-07-16 16:16:00.442,0.5.0,,1951.0,26.0,8.0,6.0,5.0,https://pypi.org/project/jupyterlab_iframe,743.0,https://anaconda.org/conda-forge/jupyterlab_iframe,2023-07-16 18:49:15.196,24274.0,2.0,,2023-07-16 16:16:00.442,,,,,,jupyterlab_iframe,https://www.npmjs.com/package/jupyterlab_iframe,495.0,,2023-07-16 16:13:17.752,2.0,,,,,,,,,,,
157,IJava,A Jupyter kernel for executing Java code.,https://github.com/SpencerPark/IJava,,kernels,18,False,,SpencerPark/IJava,,https://github.com/SpencerPark/IJava,MIT,2017-10-08 04:42:46.000,2023-05-18 06:09:30.000000,2019-12-08 22:22:20,90.0,,186.0,34.0,12.0,79.0,58.0,968.0,2019-05-06 03:28:50.000,1.3.0,130716.0,2108.0,5.0,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
158,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,18,False,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,,2018-06-26 14:28:02.000,2023-06-16 16:15:33.557000,2022-02-11 15:18:23,212.0,,56.0,21.0,51.0,16.0,29.0,520.0,,,,1560.0,2.0,11.0,11.0,10.0,https://pypi.org/project/ansible-kernel,206.0,https://anaconda.org/conda-forge/ansible-kernel,2023-06-16 16:15:33.557,14119.0,3.0,benthomasson/ansible-jupyter-kernel,,,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66471.0,,,,,,,,,,,,,,,,,
159,ipysheet,Jupyter handsontable integration.,https://github.com/jupyter-widgets-contrib/ipysheet,,widgets,18,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/jupyter-widgets-contrib/ipysheet,MIT,2017-07-10 13:46:31.000,2023-07-20 08:10:20.000000,2023-07-20 08:10:20,309.0,2.0,64.0,20.0,124.0,63.0,60.0,520.0,,,,59867.0,15.0,6.0,6.0,13.0,https://pypi.org/project/ipysheet,57064.0,https://anaconda.org/conda-forge/ipysheet,2023-06-16 16:13:19.853,89680.0,3.0,,,,,,,,ipysheet,https://www.npmjs.com/package/ipysheet,1173.0,jupyter-widgets-contrib/ipysheet,,,,,,,,,,,,,
160,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,False,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2023-01-05 16:15:48.000000,2022-04-28 22:45:01,515.0,,72.0,35.0,118.0,33.0,66.0,392.0,2018-02-05 18:54:22.000,0.11.1,,570.0,12.0,4.0,4.0,16.0,,,,,,2.0,,,,,,,,@jupyterlab/google-drive,https://www.npmjs.com/package/@jupyterlab/google-drive,570.0,,,,,,,,,,,,,,
161,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,18,True,jupyterlab-system-monitor,jtpio/jupyterlab-system-monitor,conda-forge/jupyterlab-system-monitor,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2023-07-28 15:17:36.000000,2023-07-28 15:17:32,177.0,1.0,29.0,6.0,60.0,,44.0,292.0,2021-02-04 22:39:49.000,0.8.0,,11907.0,2.0,2.0,2.0,7.0,https://pypi.org/project/jupyterlab-system-monitor,7656.0,https://anaconda.org/conda-forge/jupyterlab-system-monitor,2023-06-16 19:24:50.049,26626.0,2.0,,,,,,,,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,3364.0,,,,,,,,,,,,,,
162,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,18,True,,akabe/ocaml-jupyter,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2023-03-27 14:57:36.000000,2023-02-19 06:09:43,378.0,,37.0,10.0,123.0,6.0,71.0,259.0,2023-02-19 06:27:03.000,2.8.2,93439.0,1279.0,34.0,,,22.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
163,cdsdashboards,JupyterHub extension for ContainDS Dashboards.,https://github.com/ideonate/cdsdashboards,,notebook-sharing,18,True,cdsdashboards,ideonate/cdsdashboards,conda-forge/cdsdashboards,https://github.com/ideonate/cdsdashboards,BSD-3-Clause,2020-04-28 13:51:31.000,2023-06-16 19:20:47.542000,2022-09-12 07:55:08,464.0,,37.0,7.0,19.0,33.0,59.0,189.0,2022-09-19 18:15:56.375,0.6.3,,2909.0,44.0,,,14.0,https://pypi.org/project/cdsdashboards,1514.0,https://anaconda.org/conda-forge/cdsdashboards,2023-06-16 19:20:47.542,51633.0,3.0,,2022-04-29 11:08:28.000,,,,,,,,,,,,,,,,,,,,,,
164,Spylon Kernel,Jupyter kernel for scala and spark.,https://github.com/vericast/spylon-kernel,,kernels,18,False,spylon-kernel,vericast/spylon-kernel,conda-forge/spylon-kernel,https://github.com/vericast/spylon-kernel,,2016-11-21 02:23:14.000,2023-06-16 13:20:41.310000,2018-09-20 15:43:57,188.0,,32.0,12.0,28.0,20.0,20.0,179.0,2017-03-05 04:26:44.000,0.2.0,,3499.0,8.0,124.0,124.0,6.0,https://pypi.org/project/spylon-kernel,1934.0,https://anaconda.org/conda-forge/spylon-kernel,2023-06-16 13:20:41.310,122078.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
