,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
121,xeus-python,Jupyter kernel for the Python programming language.,https://github.com/jupyter-xeus/xeus-python,,kernels,22,True,xeus-python,jupyter-xeus/xeus-python,conda-forge/xeus-python,https://github.com/jupyter-xeus/xeus-python,BSD-3-Clause,2018-10-12 13:18:30.000,2024-04-25 02:26:21.000000,2024-03-14 08:07:17,934.0,9.0,68.0,14.0,431.0,64.0,126.0,416.0,2023-11-29 16:23:49.000,0.15.11,,45957.0,89.0,3.0,,23.0,https://pypi.org/project/xeus-python,2023-12-22 15:54:22.000,3.0,15393.0,https://anaconda.org/conda-forge/xeus-python,2024-03-14 09:50:13.300,1405964.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
122,vega,IPython/Jupyter notebook module for Vega and Vega-Lite.,https://github.com/vega/ipyvega,,widgets,22,True,vega,vega/ipyvega,conda-forge/vega,https://github.com/vega/ipyvega,BSD-3-Clause,2015-08-04 03:22:47.000,2024-04-01 02:14:13.000000,2024-04-01 02:14:12,659.0,2.0,62.0,30.0,452.0,13.0,91.0,370.0,2023-07-18 13:09:18.000,4.0.0,,21297.0,40.0,87.0,4.0,15.0,https://pypi.org/project/vega,2023-04-12 02:09:01.110,83.0,15104.0,https://anaconda.org/conda-forge/vega,2023-06-16 13:18:03.216,582146.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
123,ipyvuetify,Jupyter widgets based on vuetify UI components.,https://github.com/widgetti/ipyvuetify,,widgets,22,True,ipyvuetify,mariobuikhuizen/ipyvuetify,conda-forge/ipyvuetify,,MIT,2020-07-20 11:43:20.358,2024-04-09 15:19:30.673000,,,,57.0,,,,,328.0,2024-04-08 11:16:01.707,1.9.4,,128618.0,63.0,1214.0,1164.0,14.0,https://pypi.org/project/ipyvuetify,2024-04-08 10:59:33.000,46.0,117560.0,https://anaconda.org/conda-forge/ipyvuetify,2024-04-09 15:19:30.673,166976.0,3.0,jupyter-vuetify,https://www.npmjs.com/package/jupyter-vuetify,2024-04-08 11:16:01.707,4.0,7348.0,,,,,,,,,,,,,,,,,,
124,dask-labextension,JupyterLab extension for Dask.,https://github.com/dask/dask-labextension,,lab-extensions,22,True,dask-labextension,dask/dask-labextension,conda-forge/dask-labextension,https://github.com/dask/dask-labextension,BSD-3-Clause,2016-09-26 19:01:37.000,2023-08-04 21:07:12.374000,2023-08-04 14:43:59,410.0,,62.0,17.0,120.0,46.0,101.0,305.0,2023-11-07 09:41:30.000,7.0.0,,31903.0,28.0,14.0,3.0,24.0,https://pypi.org/project/dask-labextension,2023-08-04 14:55:02.000,8.0,9950.0,https://anaconda.org/conda-forge/dask-labextension,2023-08-04 21:07:12.374,955296.0,2.0,dask-labextension,https://www.npmjs.com/package/dask-labextension,2022-06-21 23:23:38.435,3.0,242.0,,,,,,,,,,,,,,,,,,
125,scrapbook,A library for recording and reading data in notebooks.,https://github.com/nteract/scrapbook,,notebook-sharing,22,False,nteract-scrapbook,nteract/scrapbook,conda-forge/nteract-scrapbook,https://github.com/nteract/scrapbook,BSD-3-Clause,2018-10-22 04:17:04.000,2023-06-16 19:17:54.716000,2022-04-13 16:57:42,184.0,,28.0,18.0,41.0,24.0,26.0,277.0,2021-01-06 19:12:18.000,0.4.2,,13915.0,7.0,365.0,347.0,11.0,https://pypi.org/project/nteract-scrapbook,2021-01-06 19:12:18.000,18.0,13593.0,https://anaconda.org/conda-forge/nteract-scrapbook,2023-06-16 19:17:54.716,16115.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
126,Jupyter Bokeh,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,22,True,jupyter-bokeh,bokeh/jupyter_bokeh,conda-forge/jupyter_bokeh,https://github.com/bokeh/jupyter_bokeh,BSD-3-Clause,2017-08-14 23:01:29.000,2024-04-21 08:16:07.178000,2024-04-21 03:08:00,145.0,9.0,46.0,21.0,98.0,21.0,87.0,239.0,2024-04-21 03:17:04.072,4.0.4,,45968.0,24.0,32.0,3.0,19.0,https://pypi.org/project/jupyter-bokeh,2023-03-14 10:10:06.309,26.0,39751.0,https://anaconda.org/conda-forge/jupyter_bokeh,2024-04-21 08:16:07.178,86061.0,2.0,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,2024-04-21 03:17:04.072,3.0,4347.0,,,,,,,,,,,,,,,,,,
127,ipylab,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,22,True,ipylab,jtpio/ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2024-04-06 06:39:52.000000,2023-10-09 07:01:31,224.0,,13.0,8.0,90.0,25.0,22.0,179.0,2023-08-11 05:48:03.000,1.0.0,133.0,116272.0,16.0,128.0,111.0,7.0,https://pypi.org/project/ipylab,2023-08-11 05:47:52.000,14.0,115254.0,https://anaconda.org/conda-forge/ipylab,2023-08-11 12:01:52.980,29460.0,2.0,ipylab,https://www.npmjs.com/package/ipylab,2023-08-11 05:47:59.304,3.0,261.0,,,,,,,,,,,,,,,,,,
128,Native Authenticator,JupyterHub-native User Authenticator.,https://github.com/jupyterhub/nativeauthenticator,,hub-auth,22,True,jupyterhub-nativeauthenticator,jupyterhub/nativeauthenticator,,https://github.com/jupyterhub/nativeauthenticator,BSD-3-Clause,2018-12-03 17:38:18.000,2024-04-02 07:54:12.000000,2024-04-02 07:54:11,585.0,7.0,63.0,13.0,160.0,33.0,73.0,69.0,2023-05-22 08:28:01.738,1.2.0,,12610.0,13.0,76.0,76.0,22.0,https://pypi.org/project/jupyterhub-nativeauthenticator,2022-09-09 11:33:03.525,,12610.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
129,ML Workspace,All-in-one web-based IDE specialized for machine learning and data science.,https://github.com/ml-tooling/ml-workspace,,notebook-environments,21,True,,ml-tooling/ml-workspace,,https://github.com/ml-tooling/ml-workspace,Apache-2.0,2019-05-27 16:55:15.000,2023-11-14 19:49:37.000000,2023-11-14 19:49:36,847.0,,424.0,73.0,33.0,2.0,92.0,3350.0,2021-07-13 22:12:59.000,0.13.2,,9408.0,4.0,,,12.0,,,,,,,,3.0,,,,,,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2021-07-13 16:32:15.225256,26.0,555073.0,,,,,,,,,,,,,
130,xeus-cling,Jupyter kernel for the C++ programming language.,https://github.com/jupyter-xeus/xeus-cling,,kernels,21,True,,jupyter-xeus/xeus-cling,conda-forge/xeus-cling,https://github.com/jupyter-xeus/xeus-cling,BSD-3-Clause,2017-04-20 15:35:44.000,2024-04-16 07:36:06.000000,2024-04-16 07:36:06,534.0,3.0,284.0,66.0,226.0,168.0,128.0,2952.0,,,,5165.0,20.0,,,27.0,,,,,https://anaconda.org/conda-forge/xeus-cling,2023-11-11 12:27:30.968,237602.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
