,name,github_id,pypi_id,conda_id,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,show,category,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,cran_id,go_id,pypi,gem_id,hex_id,bitbucket_id
46,DockerSpawner,jupyterhub/dockerspawner,dockerspawner,conda-forge/dockerspawner,https://github.com/jupyterhub/dockerspawner,https://github.com/jupyterhub/dockerspawner,2014-09-26 20:08:26.000000,2020-12-14 10:59:19.000000,2020-12-09 10:40:22.000000,245.0,106.0,124.0,359.0,540.0,2019-03-01 13:18:32.000000,0.11.1,,3334.0,13.0,Spawns JupyterHub single user servers in Docker containers.,94.0,80.0,59.0,23,https://pypi.org/project/dockerspawner,BSD-3-Clause,2019-04-25 09:02:42.000000,14.0,3075.0,https://anaconda.org/conda-forge/dockerspawner,2019-04-26 00:50:54.465000,6738.0,True,hub-spawners,2,,,,,,,,,,,,,,,,,
47,nbviewer,jupyter/nbviewer,,,https://github.com/jupyter/nbviewer,https://github.com/jupyter/nbviewer,2012-08-05 11:42:33.000000,2020-12-02 09:25:43.416709,2020-12-02 09:03:55.000000,474.0,144.0,398.0,1798.0,1382.0,,,,13181.0,,nbconvert as a web service: Render Jupyter Notebooks as static web pages.,5.0,5.0,83.0,22,,BSD-3-Clause,,,,,,,True,notebook-sharing,2,jupyter/nbviewer,https://hub.docker.com/r/jupyter/nbviewer,2020-12-02 09:25:43.416709,25.0,1331298.0,,,,,,,,,,,,
48,docker-python,kaggle/docker-python,,,https://github.com/Kaggle/docker-python,https://github.com/Kaggle/docker-python,2015-04-14 01:45:38.000000,2020-12-22 14:14:07.000000,2020-12-16 23:01:51.000000,672.0,15.0,228.0,1655.0,1818.0,2020-12-08 17:27:46.000000,993897c5431c85530f48a9fe6546d01decc42d91ab05f4d9eb31ab0da835fe90,,2721.0,27.0,Kaggle Python docker image.,,,137.0,22,,Apache-2.0,,,,,,,True,notebook-environments,3,kaggle/python,https://hub.docker.com/r/kaggle/python,2020-12-11 21:41:17.491190,145.0,187802.0,,,,,,,,,,,,
49,ML Workspace,ml-tooling/ml-workspace,,,https://github.com/ml-tooling/ml-workspace,https://github.com/ml-tooling/ml-workspace,2019-05-27 16:55:15.000000,2020-12-16 22:50:52.000000,2020-12-16 22:50:45.000000,194.0,25.0,44.0,1621.0,564.0,2020-12-13 13:06:31.000000,0.11.0,,15222.0,2.0,All-in-one web-based IDE specialized for machine learning and data science.,,,9.0,22,,Apache-2.0,,,,,,,True,notebook-environments,3,mltooling/ml-workspace,https://hub.docker.com/r/mltooling/ml-workspace,2020-12-13 04:06:47.815087,14.0,304440.0,,,,,,,,,,,,
50,IJavascript,n-riesco/ijavascript,,,https://github.com/n-riesco/ijavascript,https://github.com/n-riesco/ijavascript,2015-02-02 15:46:34.000000,2020-12-02 16:36:07.000000,2020-12-02 16:32:55.000000,121.0,49.0,145.0,1466.0,323.0,2019-09-26 17:24:18.653000,5.2.0,,2042.0,32.0,IJavascript is a javascript kernel for the Jupyter notebook.,78.0,40.0,14.0,22,,BSD-3-Clause,,,,,,,True,kernels,1,,,,,,ijavascript,https://www.npmjs.com/package/ijavascript,2019-09-26 17:24:18.653000,38.0,2042.0,,,,,,,
51,JupyterLab LSP,krassowski/jupyterlab-lsp,,,https://github.com/krassowski/jupyterlab-lsp,https://github.com/krassowski/jupyterlab-lsp,2019-08-17 11:34:22.000000,2021-01-01 22:33:12.000000,2021-01-01 20:41:54.000000,45.0,94.0,157.0,673.0,1556.0,2020-12-16 02:16:28.000000,2.1.1,,15959.0,45.0,Language Server Protocol integration for JupyterLab (code navigation + hover suggestions + linters + autocompletion +..,3.0,1.0,13.0,22,,BSD-3-Clause,,,,,,,True,lab-extensions,1,,,,,,@krassowski/jupyterlab-lsp,https://www.npmjs.com/package/@krassowski/jupyterlab-lsp,2020-12-16 02:14:59.253000,2.0,15959.0,,,,,,,
52,JupyterLab Debugger,jupyterlab/debugger,,,https://github.com/jupyterlab/debugger,https://github.com/jupyterlab/debugger,2019-07-19 18:19:17.000000,2020-12-24 00:27:21.987000,2020-12-14 09:10:30.000000,30.0,30.0,227.0,428.0,1170.0,2020-12-24 00:27:21.987000,3.0.0,,23783.0,65.0,"A visual debugger for Jupyter notebooks, consoles, and source files.",6.0,6.0,11.0,22,,BSD-3-Clause,,,,,,,True,lab-extensions,1,,,,,,@jupyterlab/debugger,https://www.npmjs.com/package/@jupyterlab/debugger,2020-12-24 00:27:21.987000,0.0,23783.0,,,,,,,
53,ipycanvas,martinRenou/ipycanvas,ipycanvas,conda-forge/ipycanvas,https://github.com/martinRenou/ipycanvas,https://github.com/martinRenou/ipycanvas,2019-07-06 12:55:29.000000,2020-12-29 15:36:29.000000,2020-12-29 15:35:45.000000,30.0,18.0,52.0,386.0,315.0,2020-12-27 10:31:35.000000,0.8.1,,2474.0,23.0,Interactive Canvas in Jupyter.,73.0,73.0,9.0,22,https://pypi.org/project/ipycanvas,BSD-3-Clause,2020-12-19 10:31:06.000000,0.0,1503.0,https://anaconda.org/conda-forge/ipycanvas,2020-12-29 14:28:22.560000,15536.0,True,widgets,2,,,,,,,,,,,,,,,,,
54,jupyter-dash,plotly/jupyter-dash,jupyter-dash,,https://github.com/plotly/jupyter-dash,https://github.com/plotly/jupyter-dash,2020-04-26 18:43:59.000000,2020-11-28 16:50:40.000000,2020-08-04 21:38:08.000000,67.0,22.0,11.0,381.0,116.0,2020-08-04 21:44:16.000000,0.3.1,58.0,7754.0,11.0,Develop Dash apps in the Jupyter Notebook and JupyterLab.,196.0,196.0,3.0,22,https://pypi.org/project/jupyter-dash,MIT,2020-08-04 21:44:16.000000,0.0,7747.0,,,,True,widgets,2,,,,,,,,,,,,,,,,,
55,vega,vega/ipyvega,vega,conda-forge/vega,https://github.com/vega/ipyvega,https://github.com/vega/ipyvega,2015-08-04 03:22:47.000000,2020-12-28 09:49:43.000000,2020-12-28 09:48:21.000000,46.0,8.0,79.0,291.0,466.0,2020-05-15 23:40:02.000000,3.4.0,,12197.0,37.0,IPython/Jupyter notebook module for Vega and Vega-Lite.,148.0,,9.0,22,https://pypi.org/project/vega,BSD-3-Clause,2020-05-15 23:40:02.000000,148.0,5410.0,https://anaconda.org/conda-forge/vega,2020-12-10 15:03:57.175000,373288.0,True,widgets,2,,,,,,,,,,,,,,,,,
