,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,docs_url,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,47,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2023-11-11 17:38:53.000000,2023-11-06 09:31:50,26755.0,126.0,4476.0,756.0,6969.0,1642.0,5636.0,16004.0,2023-10-31 10:23:52.000,8.17.2,320559.0,32546791.0,176.0,506910.0,470324.0,971.0,https://pypi.org/project/ipython,2023-10-31 10:23:52.000,36586.0,31853048.0,https://anaconda.org/conda-forge/ipython,2023-11-01 14:10:05.674,24880958.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,43,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2023-11-16 12:19:08.000000,2023-11-08 23:32:52,20299.0,108.0,4043.0,444.0,5877.0,743.0,6734.0,18295.0,,,,3914544.0,55.0,79265.0,79265.0,675.0,https://pypi.org/project/bokeh,,,3584678.0,https://anaconda.org/conda-forge/bokeh,2023-11-09 21:55:31.595,13080765.0,1.0,@bokeh/bokehjs,https://www.npmjs.com/package/@bokeh/bokehjs,10823.0,,,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,43,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2023-11-14 18:39:07.000000,2023-11-10 01:53:11,13475.0,46.0,4210.0,320.0,2339.0,1980.0,2770.0,11730.0,2023-10-17 12:42:06.000,7.0.6,15465.0,17705810.0,139.0,9540.0,530.0,643.0,https://pypi.org/project/notebook,2023-10-27 15:11:54.000,9010.0,17283641.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3934176.0,1.0,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1055.0,31546099.0,,,,,,,,,,,,,,,
4,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2023-11-08 12:59:15.000000,2023-11-08 12:59:15,4016.0,26.0,540.0,51.0,940.0,509.0,638.0,1581.0,2023-11-06 12:38:32.000,7.11.0,803.0,21243131.0,89.0,248015.0,239364.0,267.0,https://pypi.org/project/nbconvert,2023-11-06 12:38:24.000,8651.0,20812533.0,https://anaconda.org/conda-forge/nbconvert,2023-11-06 16:05:13.867,15501049.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2023-11-16 10:16:30.000000,2023-11-13 14:31:25,7147.0,130.0,1933.0,267.0,2225.0,200.0,2174.0,7732.0,2023-08-10 09:30:00.000,4.0.2,,257841.0,74.0,2959.0,2570.0,352.0,https://pypi.org/project/jupyterhub,2023-08-10 09:30:00.000,389.0,188341.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1027315.0,1.0,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2023-11-01 10:22:33.138710,329.0,4951440.0,,,,,,,,,,,,,,,
6,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,38,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2023-11-15 20:29:44.000000,2023-11-15 15:05:14,3393.0,252.0,381.0,52.0,2896.0,873.0,2082.0,3248.0,2023-10-31 16:50:44.000,1.3.1,,675683.0,58.0,8969.0,8969.0,147.0,https://pypi.org/project/panel,,,589599.0,https://anaconda.org/conda-forge/panel,2023-11-01 10:33:06.060,1224989.0,1.0,@holoviz/panel,https://www.npmjs.com/package/@holoviz/panel,56207.0,,,,,,,,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2023-11-09 13:11:17.000000,2023-11-09 13:11:17,2873.0,19.0,352.0,36.0,691.0,262.0,231.0,588.0,2023-10-24 23:55:26.000,6.26.0,1909.0,17757387.0,124.0,315945.0,305514.0,173.0,https://pypi.org/project/ipykernel,2023-10-24 23:55:18.000,10393.0,17748675.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,830362.0,1.0,,,,,,,,,38.0,,,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2023-11-16 10:06:26.000000,2023-11-02 08:01:34,1354.0,24.0,1536.0,150.0,731.0,195.0,547.0,11397.0,2023-10-24 11:33:51.000,4.6.1,,713955.0,52.0,1790.0,1790.0,115.0,https://pypi.org/project/pandas-profiling,,,709243.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,409976.0,1.0,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-16 00:13:41.000000,2023-11-16 00:13:41,1965.0,26.0,192.0,23.0,260.0,107.0,229.0,382.0,2023-11-06 02:43:51.000,5.5.0,,5316462.0,48.0,160948.0,154575.0,122.0,https://pypi.org/project/qtconsole,2023-11-15 22:59:37.000,6373.0,5204862.0,https://anaconda.org/conda-forge/qtconsole,2023-11-06 04:20:25.171,4575610.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
