,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,gem_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,hex_id,docs_url,bitbucket_id
217,ML Hub,Multi-user development platform for machine learning teams. Simple to setup within minutes.,https://github.com/ml-tooling/ml-hub,,notebook-environments,15,False,,ml-tooling/ml-hub,,https://github.com/ml-tooling/ml-hub,Apache-2.0,2019-06-26 15:05:50.000,2021-12-23 13:12:29.000000,2021-12-23 13:12:29,220.0,,66.0,17.0,8.0,16.0,11.0,324.0,2020-02-03 15:59:07.000,1.0.0,2166.0,671.0,8.0,,,7.0,,,,,,,,3.0,mltooling/ml-hub,https://hub.docker.com/r/mltooling/ml-hub,2020-02-18 09:26:53.302538,5.0,46823.0,,,,,,,,,,,,,,,,,,
218,pynb,Jupyter Notebooks as plain Python code with embedded Markdown text.,https://github.com/elehcimd/pynb,,notebook-sharing,15,False,pynb,elehcimd/pynb,,https://github.com/elehcimd/pynb,MIT,2017-11-14 11:13:22.000,2020-07-07 15:27:22.000000,2020-07-07 15:27:10,154.0,,8.0,17.0,6.0,,8.0,249.0,2020-07-07 15:27:22.000,0.2.4,,46.0,17.0,25.0,24.0,8.0,https://pypi.org/project/pynb,2020-07-07 15:27:22.000,1.0,46.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
219,Jupyter DataTables,Jupyter Notebook extension leveraging pandas DataFrames by integrating DataTables and ChartJS.,https://github.com/CermakM/jupyter-datatables,,widgets,15,False,jupyter-datatables,CermakM/jupyter-datatables,,https://github.com/CermakM/jupyter-datatables,MIT,2019-03-28 20:55:12.000,2019-12-11 12:10:31.000000,2019-12-11 12:10:07,147.0,,26.0,11.0,4.0,13.0,15.0,243.0,2019-11-22 07:33:04.000,0.3.9,,1222.0,9.0,,,4.0,https://pypi.org/project/jupyter-datatables,2019-11-22 07:33:04.000,,1222.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
220,jupyterlab-interactive-dashboard-editor,A drag-and-drop dashboard editor for JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,,lab-extensions,15,False,jupyterlab-interactive-dashboard-editor,jupytercalpoly/jupyterlab-interactive-dashboard-editor,conda-forge/jupyterlab-interactive-dashboard-editor,https://github.com/jupytercalpoly/jupyterlab-interactive-dashboard-editor,BSD-3-Clause,2020-06-17 20:39:00.000,2025-04-22 14:57:52.174000,2022-04-13 05:12:13,318.0,,27.0,8.0,113.0,50.0,12.0,219.0,2021-04-01 19:36:39.000,0.4.0,,94.0,5.0,8.0,3.0,11.0,https://pypi.org/project/jupyterlab-interactive-dashboard-editor,2021-04-01 19:36:39.000,,23.0,https://anaconda.org/conda-forge/jupyterlab-interactive-dashboard-editor,2025-04-22 14:57:52.174,3267.0,3.0,,,,,,jupyterlab-interactive-dashboard-editor,https://www.npmjs.com/package/jupyterlab-interactive-dashboard-editor,2021-01-27 19:15:26.231,5.0,6.0,,,,,,,,,,,,,
221,JupyterLab Spreadsheet,"JupyterLab plugin for viewing spreadsheets, such as Excel .xls/.xlsx workbooks and OpenOffice .ods files.",https://github.com/quigleyj97/jupyterlab-spreadsheet,,lab-renderer,15,False,,quigleyj97/jupyterlab-spreadsheet,,https://github.com/quigleyj97/jupyterlab-spreadsheet,BSD-3-Clause,2018-10-13 22:51:03.000,2023-05-06 22:45:04.000000,2022-07-18 18:08:51,129.0,,17.0,5.0,38.0,11.0,18.0,199.0,2021-07-17 23:46:41.952,0.4.1,,354.0,12.0,11.0,6.0,4.0,,,,,,,,3.0,,,,,,jupyterlab-spreadsheet,https://www.npmjs.com/package/jupyterlab-spreadsheet,2021-07-17 23:46:41.952,5.0,354.0,,,,,,,,,,,,,
222,igv.js widget,Extension for Jupyter which integrates igv.js.,https://github.com/g2nb/igv-jupyter,,widgets,15,False,igv-jupyter,igvteam/igv-jupyter,,https://github.com/g2nb/igv-jupyter,MIT,2016-07-21 18:44:38.000,2023-01-03 21:53:51.000000,2023-01-03 21:53:51,140.0,,15.0,13.0,8.0,2.0,41.0,154.0,2022-06-14 16:29:11.000,2.0.1,,121.0,10.0,22.0,20.0,5.0,https://pypi.org/project/igv-jupyter,2022-06-14 16:29:11.000,2.0,121.0,,,,3.0,,,,,,,,,,,,g2nb/igv-jupyter,,,,,,,,,,,
223,jupyterlab-tabular-data-editor,Manipulate your tabular data responsively and effectively within JupyterLab.,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,,lab-renderer,15,False,jupyterlab-tabular-data-editor,jupytercalpoly/jupyterlab-tabular-data-editor,,https://github.com/jupytercalpoly/jupyterlab-tabular-data-editor,BSD-3-Clause,2020-06-17 20:38:15.000,2021-03-24 19:57:48.307000,2021-03-24 19:48:15,225.0,,18.0,6.0,189.0,32.0,103.0,135.0,2021-03-24 19:57:48.307,1.0.0,,291.0,16.0,8.0,3.0,6.0,https://pypi.org/project/jupyterlab-tabular-data-editor,2021-03-24 19:56:11.000,,264.0,,,,3.0,,,,,,jupyterlab-tabular-data-editor,https://www.npmjs.com/package/jupyterlab-tabular-data-editor,2021-03-24 19:57:48.307,5.0,27.0,,,,,,,,,,,,,
224,JupyterLab Commenting,Commenting and annotation for JupyterLab.,https://github.com/jupyterlab/jupyterlab-commenting,,lab-extensions,15,False,jupyterlab-commenting-service,jupyterlab/jupyterlab-commenting,,https://github.com/jupyterlab/jupyterlab-commenting,BSD-3-Clause,2019-01-03 21:55:33.000,2021-02-10 20:06:33.000000,2020-05-01 11:42:37,332.0,,25.0,27.0,32.0,26.0,10.0,103.0,2020-05-01 11:39:08.310,0.3.0,,41.0,4.0,8.0,3.0,10.0,https://pypi.org/project/jupyterlab-commenting-service,2019-10-18 14:13:09.000,,25.0,,,,3.0,,,,,,@jupyterlab/commenting-extension,https://www.npmjs.com/package/@jupyterlab/commenting-extension,2020-05-01 11:39:08.310,5.0,16.0,,,,,,,,,,,,,
225,jupyterlab-sparkmonitor,JupyterLab extension that enables monitoring launched Apache Spark jobs from within a notebook.,https://github.com/itsjafer/jupyterlab-sparkmonitor,,lab-extensions,15,False,jupyterlab-sparkmonitor,itsjafer/jupyterlab-sparkmonitor,,https://github.com/itsjafer/jupyterlab-sparkmonitor,Apache-2.0,2020-03-12 20:59:01.000,2022-12-27 15:34:10.000000,2022-04-01 16:32:30,275.0,,23.0,7.0,24.0,12.0,8.0,92.0,2021-08-04 03:02:45.000,4.1.0,,157.0,15.0,8.0,3.0,10.0,https://pypi.org/project/jupyterlab-sparkmonitor,2021-08-04 03:02:45.000,,123.0,,,,3.0,itsjafer/sparkmonitor,https://hub.docker.com/r/itsjafer/sparkmonitor,2021-06-02 17:02:44.488613,,407.0,jupyterlab_sparkmonitor,https://www.npmjs.com/package/jupyterlab_sparkmonitor,2020-07-29 07:52:58.288,5.0,28.0,,,,,,,,,,,,,
226,nbzip,Zips and downloads all the contents of a jupyter notebook.,https://github.com/berkeley-dsep-infra/nbzip,,jupyter-extensions,15,False,nbzip,data-8/nbzip,,https://github.com/berkeley-dsep-infra/nbzip,Apache-2.0,2017-09-30 17:32:31.000,2019-11-22 08:47:26.000000,2019-11-22 08:47:25,43.0,,18.0,7.0,12.0,9.0,5.0,90.0,2018-08-10 16:52:09.000,0.1.0,,41857.0,4.0,3.0,,6.0,https://pypi.org/project/nbzip,2018-08-10 16:52:09.000,3.0,41857.0,,,,3.0,,,,,,,,,,,,berkeley-dsep-infra/nbzip,,,,,,,,,,,
