,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,cran_id,gem_id,pypi,hex_id,bitbucket_id
110,What-If Tool,Source code/webpage/demos for the What-If Tool.,https://github.com/PAIR-code/what-if-tool,,widgets,19,True,PAIR-code/what-if-tool,witwidget,,https://github.com/PAIR-code/what-if-tool,2018-09-07 20:26:10.000000,2021-10-05 12:45:28.000000,2021-09-17 12:33:12.000000,113.0,54.0,44.0,580.0,320.0,2021-01-19 14:40:37.214000,1.8.0,,11660.0,39.0,0.0,,19.0,https://pypi.org/project/witwidget,Apache-2.0,2021-01-19 14:40:21.000000,0.0,9046.0,,,,3.0,,,,,,wit-widget,https://www.npmjs.com/package/wit-widget,2021-10-04 15:41:09.919000,,2614.0,,,,,,,,
111,JupyterLab Renderers,Renderers and renderer extensions for JupyterLab.,https://github.com/jupyterlab/jupyter-renderers,,lab-renderer,19,True,jupyterlab/jupyter-renderers,,,https://github.com/jupyterlab/jupyter-renderers,2017-06-08 16:59:07.000000,2021-08-31 17:28:38.000000,2021-08-31 17:28:35.000000,61.0,32.0,69.0,411.0,525.0,2021-03-11 21:19:20.467000,3.1.2,,4537.0,30.0,1.0,1.0,23.0,,BSD-3-Clause,,,,,,,3.0,,,,,,@jupyterlab/geojson-extension,https://www.npmjs.com/package/@jupyterlab/geojson-extension,2021-03-11 21:19:20.467000,,4537.0,,,,,,,,
112,Octave Kernel,An Octave kernel for IPython.,https://github.com/Calysto/octave_kernel,,kernels,19,False,calysto/octave_kernel,octave_kernel,,https://github.com/Calysto/octave_kernel,2014-07-31 01:59:06.000000,2020-05-23 09:47:50.000000,2020-05-23 09:47:43.000000,55.0,32.0,131.0,380.0,347.0,2018-06-11 13:11:15.000000,0.28.4,,17540.0,97.0,5.0,,16.0,https://pypi.org/project/octave_kernel,BSD-3-Clause,2018-06-11 13:11:15.000000,5.0,17540.0,,,,2.0,,,,,,,,,,,,,,,,,,
113,pick,Customize your kernels on Launch!.,https://github.com/nteract/pick,,magic,19,True,nteract/pick,pick,,https://github.com/nteract/pick,2020-04-08 23:47:09.000000,2021-07-23 05:39:29.000000,2020-11-04 01:10:24.000000,37.0,4.0,5.0,326.0,,2020-08-17 02:44:36.000000,1.0.0,,42693.0,15.0,104.0,,5.0,https://pypi.org/project/pick,BSD-3-Clause,2020-08-17 02:44:36.000000,104.0,42693.0,,,,2.0,,,,,,,,,,,,,,,,,,
114,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,19,False,jupyterlab/jupyterlab-github,jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,2017-10-15 17:18:11.000000,2021-08-10 23:18:25.000000,2020-03-04 03:38:48.000000,76.0,23.0,34.0,299.0,192.0,2020-03-04 03:40:19.000000,2.0.0,,2753.0,21.0,4.0,2.0,12.0,https://pypi.org/project/jupyterlab-github,BSD-3-Clause,2020-03-04 03:40:19.000000,2.0,654.0,,,,2.0,,,,,,@jupyterlab/github,https://www.npmjs.com/package/@jupyterlab/github,2020-03-04 03:39:30.578000,,2099.0,,,,,,,,
115,responsible-ai-widgets,"This project provides responsible AI user interfaces for Fairlearn, interpret-community, and Error Analysis, as well..",https://github.com/microsoft/responsible-ai-widgets,,widgets,19,True,microsoft/responsible-ai-widgets,raiwidgets,,https://github.com/microsoft/responsible-ai-widgets,2020-07-06 20:46:53.000000,2021-10-07 14:12:55.000000,2021-10-07 14:12:54.000000,71.0,82.0,132.0,268.0,,2021-10-06 17:22:24.000000,0.12.0,,3373.0,25.0,15.0,15.0,19.0,https://pypi.org/project/raiwidgets,MIT,2021-10-06 17:16:51.000000,0.0,3373.0,,,,3.0,,,,,,,,,,,,,,,,,,
116,blackcellmagic,IPython magic command to format python code in cell using black.,https://github.com/csurfer/blackcellmagic,,magic,19,True,csurfer/blackcellmagic,blackcellmagic,,https://github.com/csurfer/blackcellmagic,2018-04-25 14:27:26.000000,2021-09-18 19:13:12.000000,2021-09-18 19:09:46.000000,8.0,5.0,5.0,267.0,18.0,2021-09-18 19:13:12.000000,0.0.3,,5026.0,3.0,124.0,120.0,3.0,https://pypi.org/project/blackcellmagic,MIT,2021-09-18 19:13:12.000000,4.0,5026.0,,,,2.0,,,,,,,,,,,,2.0,,,,,,
117,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,19,True,jtpio/jupyterlab-system-monitor,,,https://github.com/jtpio/jupyterlab-system-monitor,2019-07-13 12:31:51.000000,2021-09-01 08:40:57.000000,2021-09-01 08:40:07.000000,24.0,14.0,17.0,206.0,,2021-02-04 22:39:49.000000,0.8.0,,12874.0,20.0,21.0,21.0,5.0,,BSD-3-Clause,,,,,,,2.0,,,,,,jupyterlab-system-monitor,https://www.npmjs.com/package/jupyterlab-system-monitor,2020-11-23 15:30:52.408000,,12874.0,,,,,,,,
118,nbinteract,Create interactive webpages from Jupyter Notebooks.,https://github.com/SamLau95/nbinteract,,notebook-sharing,19,True,SamLau95/nbinteract,nbinteract,,https://github.com/SamLau95/nbinteract,2017-08-31 00:16:20.000000,2021-09-27 21:35:50.000000,2021-04-15 20:39:36.000000,21.0,43.0,41.0,202.0,590.0,2021-01-05 06:47:54.000000,0.2.6,,1019.0,37.0,38.0,1.0,8.0,https://pypi.org/project/nbinteract,BSD-3-Clause,2021-01-05 06:47:54.000000,37.0,1019.0,,,,3.0,,,,,,,,,,,,,,,,,,
119,JupyterLab SideCar,A sidecar output widget for JupyterLab.,https://github.com/jupyter-widgets/jupyterlab-sidecar,,lab-extensions,19,True,jupyter-widgets/jupyterlab-sidecar,sidecar,,https://github.com/jupyter-widgets/jupyterlab-sidecar,2018-03-26 09:23:58.000000,2021-08-31 16:41:24.000000,2021-07-04 21:12:58.000000,35.0,20.0,10.0,185.0,69.0,2021-07-05 14:42:11.336000,0.6.1,,3526.0,7.0,7.0,3.0,13.0,https://pypi.org/project/sidecar,BSD-3-Clause,2021-01-15 16:35:10.000000,4.0,2026.0,,,,2.0,,,,,,@jupyter-widgets/jupyterlab-sidecar,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-sidecar,2021-07-05 14:42:11.336000,,1500.0,,,,,,,,
