,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,go_id,updated_github_id,cran_id,pypi,gem_id,hex_id,bitbucket_id
11,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,31,True,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2021-05-18 16:43:40.000000,2021-05-18 16:43:39.000000,111.0,34.0,63.0,141.0,751.0,2021-04-02 04:40:44.000000,5.1.3,,12259095.0,21.0,123607.0,107567.0,57.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-04-02 04:40:44.000000,16040.0,12176890.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,5014529.0,1.0,,,,,,,,,,,,,,,,,,,
12,Jupytext,"Jupyter Notebooks as Markdown Documents, Julia, Python or R scripts.",https://github.com/mwouts/jupytext,,notebook-sharing,30,True,mwouts/jupytext,jupytext,conda-forge/jupytext,https://github.com/mwouts/jupytext,2018-06-15 05:25:36.000000,2021-05-11 23:33:54.000000,2021-05-02 18:06:58.000000,285.0,65.0,371.0,4507.0,2167.0,2021-05-02 18:11:30.000000,1.11.2,,236997.0,100.0,1620.0,1512.0,59.0,https://pypi.org/project/jupytext,MIT,2021-05-02 18:11:30.000000,108.0,217594.0,https://anaconda.org/conda-forge/jupytext,2021-05-02 19:53:40.929000,181134.0,1.0,,,,,,jupyterlab-jupytext,https://www.npmjs.com/package/jupyterlab-jupytext,2021-03-07 19:28:55.498000,,13366.0,,,,,,,,,
13,panel,A high-level app and dashboarding solution for Python.,https://github.com/holoviz/panel,,others,30,True,holoviz/panel,panel,conda-forge/panel,https://github.com/holoviz/panel,2018-08-23 12:14:24.000000,2021-05-20 11:53:23.000000,2021-05-20 11:53:22.000000,175.0,420.0,790.0,1190.0,1377.0,2021-04-15 09:58:42.000000,0.11.3,,136636.0,86.0,1497.0,1461.0,67.0,https://pypi.org/project/panel,BSD-3-Clause,2021-05-10 09:27:02.000000,36.0,129566.0,https://anaconda.org/conda-forge/panel,2021-04-15 10:16:04.506000,219189.0,2.0,,,,,,,,,,,,,,,,,,,
14,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,29,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-05-20 13:30:16.000000,2021-05-12 09:00:30.000000,1564.0,179.0,1794.0,6513.0,,2021-05-12 15:21:10.000000,1.4.1,,145476.0,44.0,1848.0,1338.0,242.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2021-05-12 15:21:10.000000,510.0,113143.0,https://anaconda.org/conda-forge/jupyterhub,2021-05-14 20:52:36.475000,383346.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-05-12 15:31:36.519180,285.0,2153370.0,,,,,,,,,,,,,,
15,Voila,Voil turns Jupyter notebooks into standalone web applications.,https://github.com/voila-dashboards/voila,,notebook-sharing,29,True,voila-dashboards/voila,voila,conda-forge/voila,https://github.com/voila-dashboards/voila,2018-08-21 14:21:42.000000,2021-05-15 05:51:57.000000,2021-05-03 16:05:52.000000,320.0,232.0,283.0,3275.0,889.0,2021-04-28 14:59:39.000000,0.2.10,,38521.0,58.0,3868.0,3842.0,47.0,https://pypi.org/project/voila,BSD-3-Clause,2021-04-28 14:59:39.000000,26.0,31218.0,https://anaconda.org/conda-forge/voila,2021-04-28 16:36:18.470000,119967.0,1.0,,,,,,@jupyter-voila/jupyterlab-preview,https://www.npmjs.com/package/@jupyter-voila/jupyterlab-preview,2020-05-19 10:24:11.555000,,3434.0,,1.0,,,,,,,
16,nikola,A static website and blog generator.,https://github.com/getnikola/nikola,,notebook-sharing,29,True,getnikola/nikola,nikola,,https://github.com/getnikola/nikola,2012-04-14 13:53:22.000000,2021-05-04 22:34:16.000000,2021-05-04 22:34:10.000000,415.0,34.0,2022.0,2124.0,10219.0,2021-02-13 17:21:54.000000,8.1.3,,1861.0,73.0,639.0,369.0,220.0,https://pypi.org/project/nikola,MIT,2021-02-13 17:18:18.000000,270.0,1861.0,,,,1.0,,,,,,,,,,,,,,,,,,,
17,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,29,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-05-13 17:17:15.000000,2021-05-12 06:28:31.000000,290.0,156.0,257.0,1119.0,916.0,2021-01-05 16:38:38.000000,0.13.6,,81009.0,70.0,946.0,846.0,64.0,https://pypi.org/project/ipyleaflet,MIT,2021-01-05 16:38:38.000000,98.0,46401.0,https://anaconda.org/conda-forge/ipyleaflet,2021-01-16 23:51:37.383000,673020.0,1.0,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-01-05 16:30:30.235000,2.0,23391.0,,,,,,,,,
18,nbclient,A client library for executing notebooks. Formally nbconvert's ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,29,True,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2021-05-07 14:19:26.000000,2021-04-27 18:49:29.000000,27.0,20.0,47.0,64.0,195.0,2021-02-26 08:08:24.000000,0.5.3,,10788280.0,14.0,17253.0,17253.0,19.0,https://pypi.org/project/nbclient,BSD-3-Clause,2021-02-26 08:08:24.000000,0.0,10710212.0,https://anaconda.org/conda-forge/nbclient,2021-02-26 10:44:05.167000,1171021.0,1.0,,,,,,,,,,,,1.0,,,,,,,
19,JupyterLab TOC,Table of Contents extension for JupyterLab.,https://github.com/jupyterlab/jupyterlab-toc,,lab-extensions,28,True,jupyterlab/jupyterlab-toc,,,https://github.com/jupyterlab/jupyterlab-toc,2018-03-12 15:55:19.000000,2021-05-12 16:33:35.564000,2020-11-20 20:06:41.000000,1989.0,65.0,49.0,11072.0,517.0,2021-05-10 15:50:56.535000,5.0.11,,99523.0,77.0,74.0,74.0,12.0,,BSD-3-Clause,,,,,,,1.0,,,,,,@jupyterlab/toc,https://www.npmjs.com/package/@jupyterlab/toc,2021-05-12 16:33:35.564000,0.0,99523.0,,,,,,,,,
20,Jupyter Themes,Custom Jupyter Notebook Themes.,https://github.com/dunovank/jupyter-themes,,jupyter-extensions,28,True,dunovank/jupyter-themes,jupyterthemes,,https://github.com/dunovank/jupyter-themes,2014-12-10 23:22:23.000000,2021-04-26 15:30:49.000000,2021-04-26 15:30:49.000000,932.0,198.0,191.0,8444.0,595.0,2018-11-22 17:02:16.000000,0.20.0,,32092.0,116.0,2315.0,2125.0,28.0,https://pypi.org/project/jupyterthemes,MIT,2018-11-22 17:02:16.000000,190.0,32092.0,,,,1.0,,,,,,,,,,,,,,,,,,,
