,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
97,Bash Kernel,A bash kernel for IPython.,https://github.com/takluyver/bash_kernel,,kernels,23,True,bash_kernel,takluyver/bash_kernel,conda-forge/bash_kernel,https://github.com/takluyver/bash_kernel,BSD-3-Clause,2014-06-27 00:27:25.000,2023-06-29 13:29:49.000000,2023-06-29 13:29:16,104.0,3.0,139.0,27.0,31.0,37.0,65.0,639.0,2023-06-29 13:30:26.682,0.9.1,,15524.0,13.0,178.0,151.0,17.0,https://pypi.org/project/bash_kernel,2022-12-17 19:23:02.426,27.0,12755.0,https://anaconda.org/conda-forge/bash_kernel,2023-06-16 16:16:52.485,127393.0,2.0,,,,,,,,,,,,,,,,,,,,,,
98,Mapbox GL,Use Mapbox GL JS to visualize data in a Python Jupyter notebook.,https://github.com/mapbox/mapboxgl-jupyter,,widgets,23,False,mapboxgl,mapbox/mapboxgl-jupyter,,https://github.com/mapbox/mapboxgl-jupyter,MIT,2017-08-08 15:10:51.000,2022-01-11 05:18:07.000000,2021-04-19 05:00:36,221.0,,138.0,119.0,91.0,43.0,67.0,637.0,2019-06-03 21:24:10.000,0.10.2,,13923.0,20.0,180.0,165.0,21.0,https://pypi.org/project/mapboxgl,2019-06-02 16:02:54.380,15.0,13923.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,
99,pivottablejs,"Dragndrop Pivot Tables and Charts for Jupyter/IPython Notebook, care of PivotTable.js.",https://github.com/nicolaskruchten/jupyter_pivottablejs,,widgets,23,False,pivottablejs,nicolaskruchten/jupyter_pivottablejs,anaconda/pivottablejs,https://github.com/nicolaskruchten/jupyter_pivottablejs,MIT,2015-09-09 13:39:18.000,2023-06-16 13:18:14.055000,2018-12-04 14:43:25,32.0,,73.0,22.0,7.0,21.0,41.0,575.0,2018-01-15 18:14:37.000,0.9.0,,20402.0,10.0,371.0,350.0,3.0,https://pypi.org/project/pivottablejs,2018-01-15 18:14:37.000,21.0,20376.0,https://anaconda.org/anaconda/pivottablejs,2023-06-16 13:18:14.055,2376.0,3.0,,,,,,,,,,,,,,,,,,,,,,
100,JupyterLab Drawio,A standalone embedding of the FOSS drawio / mxgraph package into jupyterlab.,https://github.com/QuantStack/jupyterlab-drawio,,lab-renderer,23,False,jupyterlab-drawio,QuantStack/jupyterlab-drawio,conda-forge/jupyterlab-drawio,https://github.com/QuantStack/jupyterlab-drawio,BSD-3-Clause,2018-01-31 16:38:30.000,2023-06-16 19:25:47.823000,2021-06-29 12:29:51,101.0,,66.0,29.0,52.0,42.0,25.0,571.0,2021-04-29 10:22:28.814,0.9.0,,4835.0,11.0,1325.0,1323.0,16.0,https://pypi.org/project/jupyterlab-drawio,2021-04-29 10:19:55.000,,1925.0,https://anaconda.org/conda-forge/jupyterlab-drawio,2023-06-16 19:25:47.823,17552.0,1.0,jupyterlab-drawio,https://www.npmjs.com/package/jupyterlab-drawio,2021-04-29 10:22:28.814,2.0,2235.0,,,,,,,,,,,,,,,,,
101,Enterprise Gateway,"A lightweight, multi-tenant, scalable and secure gateway that enables Jupyter Notebooks to share resources across..",https://github.com/jupyter-server/enterprise_gateway,,kernels,23,False,jupyter_enterprise_gateway,jupyter/enterprise_gateway,conda-forge/jupyter_enterprise_gateway,https://github.com/jupyter-server/enterprise_gateway,,2017-04-21 16:05:14.000,2023-07-04 01:17:17.000000,2023-07-04 00:31:00,1338.0,12.0,193.0,42.0,724.0,63.0,490.0,560.0,2023-03-18 23:02:09.000,3.2.2,29884.0,4528.0,37.0,,,112.0,https://pypi.org/project/jupyter_enterprise_gateway,,,2249.0,https://anaconda.org/conda-forge/jupyter_enterprise_gateway,2023-06-16 13:24:38.315,125573.0,2.0,,,,,,,,,,,,jupyter-server/enterprise_gateway,,,,,,,,,,
102,Kernel Gateway,Jupyter Kernel Gateway.,https://github.com/jupyter-server/kernel_gateway,,kernels,23,False,jupyter-kernel-gateway,jupyter/kernel_gateway,conda-forge/jupyter_kernel_gateway,https://github.com/jupyter-server/kernel_gateway,,2015-09-21 15:34:11.000,2023-06-16 13:21:45.404000,2023-03-02 17:55:59,566.0,,120.0,40.0,201.0,15.0,168.0,445.0,2023-02-06 19:49:08.000,2.5.2,135.0,12909.0,15.0,37.0,37.0,44.0,https://pypi.org/project/jupyter-kernel-gateway,,,10486.0,https://anaconda.org/conda-forge/jupyter_kernel_gateway,2023-06-16 13:21:45.404,198537.0,2.0,,,,,,,,,,,,jupyter-server/kernel_gateway,,,,,,,,,,
103,Appmode,A Jupyter extensions that turns notebooks into web applications.,https://github.com/oschuett/appmode,,jupyter-extensions,23,True,appmode,oschuett/appmode,conda-forge/appmode,https://github.com/oschuett/appmode,MIT,2017-03-17 13:33:53.000,2023-06-16 13:23:23.036000,2023-05-18 15:12:24,102.0,5.0,70.0,25.0,16.0,7.0,53.0,423.0,2023-05-18 14:28:00.000,0.9.0,,4610.0,17.0,370.0,349.0,9.0,https://pypi.org/project/appmode,2020-06-09 08:23:50.000,21.0,1502.0,https://anaconda.org/conda-forge/appmode,2023-06-16 13:23:23.036,211371.0,2.0,,,,,,,,,,,,,,,,,,,,,,
104,nbval,A py.test plugin to validate Jupyter notebooks.,https://github.com/computationalmodelling/nbval,,notebook-tools,23,False,nbval,computationalmodelling/nbval,conda-forge/nbval,https://github.com/computationalmodelling/nbval,,2015-04-09 09:40:33.000,2023-06-16 13:18:53.317000,2023-01-11 11:27:13,465.0,,46.0,11.0,95.0,38.0,65.0,407.0,,,,139422.0,8.0,2351.0,2351.0,33.0,https://pypi.org/project/nbval,,,134721.0,https://anaconda.org/conda-forge/nbval,2023-06-16 13:18:53.317,352626.0,3.0,,,,,,,,,,,,,,,,,,,,,,
105,ipydatagrid,Fast Datagrid widget for the Jupyter Notebook and JupyterLab.,https://github.com/bloomberg/ipydatagrid,,widgets,23,True,ipydatagrid,bloomberg/ipydatagrid,conda-forge/ipydatagrid,https://github.com/bloomberg/ipydatagrid,BSD-3-Clause,2019-07-19 09:06:19.000,2023-06-16 19:25:00.911000,2023-05-22 15:56:06,759.0,3.0,41.0,14.0,309.0,48.0,64.0,399.0,2023-05-23 07:55:17.000,1.1.16,,8992.0,36.0,75.0,75.0,17.0,https://pypi.org/project/ipydatagrid,,,7108.0,https://anaconda.org/conda-forge/ipydatagrid,2023-06-16 19:25:00.911,45402.0,3.0,ipydatagrid,https://www.npmjs.com/package/ipydatagrid,,,319.0,,,,,,,,,,,,,,,,,
106,JupyterLab Templates,Support for jupyter notebook templates in jupyterlab.,https://github.com/finos/jupyterlab_templates,,lab-extensions,23,True,jupyterlab_templates,jpmorganchase/jupyterlab_templates,conda-forge/jupyterlab_templates,https://github.com/finos/jupyterlab_templates,Apache-2.0,2018-03-17 21:38:11.000,2023-07-02 03:03:23.501000,2023-06-30 00:51:12,405.0,11.0,62.0,17.0,132.0,6.0,79.0,343.0,2023-06-30 00:54:30.884,0.4.1,,11324.0,26.0,14.0,7.0,18.0,https://pypi.org/project/jupyterlab_templates,2021-03-28 03:21:43.000,5.0,8054.0,https://anaconda.org/conda-forge/jupyterlab_templates,2023-07-02 03:03:23.501,13712.0,2.0,jupyterlab_templates,https://www.npmjs.com/package/jupyterlab_templates,2023-06-30 00:54:30.884,2.0,2900.0,,,,,,,finos/jupyterlab_templates,,,,,,,,,,
