,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,conda_dependent_project_count,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
16,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,33,True,nbformat,jupyter/nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000,2022-05-18 03:04:26.000000,2022-05-18 03:04:24,857.0,94.0,131.0,24.0,160.0,50.0,74.0,173.0,2022-05-03 15:51:25.740,5.4.0,,11747197.0,26.0,8578.0,,65.0,https://pypi.org/project/nbformat,BSD-3-Clause,2022-05-03 15:51:21.000,8578.0,11633479.0,https://anaconda.org/conda-forge/nbformat,2022-05-03 19:45:12.925,8291758.0,1.0,nbformat-schema,https://www.npmjs.com/package/nbformat-schema,2022-05-03 15:51:25.740,,133.0,,,,,,,,,,,,,,,,,
17,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,32,True,nteract_on_jupyter,nteract/nteract,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000,2022-05-16 16:56:55.000000,2022-04-25 16:19:17,11167.0,35.0,562.0,159.0,3935.0,162.0,1520.0,5823.0,2021-10-22 17:46:48.907,7.0.20,1336988.0,51542.0,94.0,37.0,,177.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000,5.0,2564.0,,,,2.0,@nteract/messaging,https://www.npmjs.com/package/@nteract/messaging,2021-10-22 17:46:48.907,32.0,30409.0,,,,,,,,,,,,,,,,,
18,nbdev,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,32,True,nbdev,fastai/nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000,2022-05-15 16:18:50.000000,2022-05-05 22:10:35,1419.0,69.0,342.0,39.0,241.0,97.0,284.0,3239.0,2022-04-30 03:19:06.000,1.2.8,,96533.0,104.0,73.0,,66.0,https://pypi.org/project/nbdev,Apache-2.0,2022-04-30 03:19:06.000,73.0,96533.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,ipyparallel,IPython Parallel: Interactive Parallel Computing in Python.,https://github.com/ipython/ipyparallel,,notebook-tools,32,True,ipyparallel,ipython/ipyparallel,conda-forge/ipyparallel,https://github.com/ipython/ipyparallel,2015-04-09 07:43:55.000,2022-05-18 11:15:03.000000,2022-05-18 11:15:03,2646.0,83.0,887.0,113.0,382.0,54.0,277.0,2190.0,2022-04-01 18:12:45.000,8.2.1,,59057.0,39.0,286.0,,110.0,https://pypi.org/project/ipyparallel,BSD-3-Clause,2022-05-09 13:31:35.000,286.0,50830.0,https://anaconda.org/conda-forge/ipyparallel,2022-05-10 12:00:39.038,600617.0,1.0,,,,,,,,,,,,,,,,,,,,,,
20,KubeSpawner,Kubernetes spawner for JupyterHub.,https://github.com/jupyterhub/kubespawner,,hub-spawners,32,True,jupyterhub-kubespawner,jupyterhub/kubespawner,conda-forge/jupyterhub-kubespawner,https://github.com/jupyterhub/kubespawner,2015-11-21 07:02:52.000,2022-05-19 10:19:52.000000,2022-05-19 10:19:52,1193.0,103.0,256.0,32.0,324.0,56.0,237.0,411.0,2022-04-23 20:35:00.000,4.0.0,,1719134.0,30.0,121.0,107.0,68.0,https://pypi.org/project/jupyterhub-kubespawner,BSD-3-Clause,2022-04-23 20:35:00.000,14.0,1718913.0,https://anaconda.org/conda-forge/jupyterhub-kubespawner,2022-05-16 11:42:21.669,3094.0,1.0,,,,,,,,,,,,,,,,,,,,,,
21,jupyter_server,"The backendi.e. core services, APIs, and REST endpointsto Jupyter web applications.",https://github.com/jupyter-server/jupyter_server,,components,32,True,jupyter_server,jupyter-server/jupyter_server,conda-forge/jupyter_server,https://github.com/jupyter-server/jupyter_server,2016-09-21 19:18:45.000,2022-05-19 12:28:46.000000,2022-05-16 21:11:11,12327.0,108.0,171.0,40.0,572.0,107.0,182.0,312.0,2022-04-27 15:26:04.000,1.17.0,352.0,3312773.0,60.0,,,464.0,https://pypi.org/project/jupyter_server,BSD-3-Clause,2018-07-31 14:15:16.000,,3279003.0,https://anaconda.org/conda-forge/jupyter_server,2022-04-27 20:53:34.214,1485389.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,
22,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,32,True,nbclient,jupyter/nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000,2022-05-10 04:10:24.115000,2022-05-09 14:51:58,310.0,45.0,43.0,9.0,145.0,33.0,61.0,93.0,2022-05-09 11:06:29.000,0.6.3,54.0,11107665.0,27.0,54460.0,54380.0,32.0,https://pypi.org/project/nbclient,BSD-3-Clause,2022-05-09 11:06:22.000,80.0,10965699.0,https://anaconda.org/conda-forge/nbclient,2022-05-10 04:10:24.115,3832924.0,1.0,,,,,,,,,,,,,,,,,,,,,,
23,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,31,True,jupyterlab,jupyterlab/jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000,2022-05-19 08:49:51.000000,,,,2337.0,,,2110.0,,12046.0,2022-05-13 00:58:29.257,3.4.2,,3623338.0,436.0,2113.0,,395.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2022-05-19 07:32:35.000,1872.0,3377975.0,https://anaconda.org/conda-forge/jupyterlab,2022-05-13 02:14:05.405,5466433.0,2.0,@jupyterlab/ui-components,https://www.npmjs.com/package/@jupyterlab/ui-components,2022-05-19 07:36:42.990,241.0,168371.0,1.0,,,,,,,,,,,,,,,,
24,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,31,True,,jupyter/docker-stacks,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000,2022-05-19 12:39:09.000000,2022-05-19 11:06:52,2902.0,225.0,2690.0,191.0,966.0,48.0,698.0,6979.0,,,,1042929.0,,,,219.0,,BSD-3-Clause,,,,,,,2.0,,,,,,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-05-13 18:26:20.753098,344.0,85520259.0,,,,,,,,,,,
25,papermill,"Parameterize, execute, and analyze notebooks.",https://github.com/nteract/papermill,,widgets,31,True,papermill,nteract/papermill,conda-forge/papermill,https://github.com/nteract/papermill,2017-07-06 17:17:53.000,2022-05-18 20:11:00.000000,2022-05-01 21:12:28,910.0,2.0,353.0,94.0,319.0,105.0,236.0,4696.0,2022-01-22 22:46:54.000,2.3.4,,602884.0,71.0,2341.0,2163.0,100.0,https://pypi.org/project/papermill,BSD-3-Clause,2022-01-22 22:46:54.000,178.0,597284.0,https://anaconda.org/conda-forge/papermill,2022-01-23 14:55:30.846,252027.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,,,
