,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,trending,cran_id,pypi,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
156,JupyterLab GitHub,GitHub integration for JupyterLab.,https://github.com/jupyterlab/jupyterlab-github,,lab-extensions,19,True,jupyterlab-github,jupyterlab/jupyterlab-github,,https://github.com/jupyterlab/jupyterlab-github,BSD-3-Clause,2017-10-15 17:18:11.000,2023-03-14 15:25:47.000000,2022-09-05 14:24:06,238.0,,92.0,30.0,83.0,21.0,37.0,362.0,2021-11-27 17:02:34.000,3.0.1,,2553.0,6.0,5.0,5.0,16.0,https://pypi.org/project/jupyterlab-github,1389.0,,,,2.0,@jupyterlab/github,,,https://www.npmjs.com/package/@jupyterlab/github,,,1164.0,,,,,,,,,,,,,,,,
157,treon,Easy to use test framework for Jupyter Notebooks.,https://github.com/ReviewNB/treon,,notebook-tools,19,True,treon,ReviewNB/treon,conda-forge/treon,https://github.com/ReviewNB/treon,MIT,2019-03-29 15:02:35.000,2022-08-05 18:31:01.490000,2022-08-04 11:15:04,66.0,,26.0,12.0,12.0,4.0,10.0,288.0,2022-08-04 11:25:18.993,0.1.4,,26027.0,5.0,79.0,72.0,5.0,https://pypi.org/project/treon,25805.0,https://anaconda.org/conda-forge/treon,2022-08-05 18:31:01.490,5336.0,3.0,,2022-08-04 11:25:18.993,7.0,,,,,,,,,,,,,,,,,,,,
158,OCaml Kernel,An OCaml kernel for Jupyter (IPython) notebook.,https://github.com/akabe/ocaml-jupyter,,kernels,19,True,,akabe/ocaml-jupyter,,https://github.com/akabe/ocaml-jupyter,MIT,2017-07-14 14:15:05.000,2023-03-27 14:57:36.000000,2023-02-19 06:09:43,378.0,,35.0,10.0,123.0,5.0,71.0,250.0,2023-02-19 06:27:03.000,2.8.2,88232.0,1242.0,34.0,,,22.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
159,ipytree,A Tree Widget using Jupyter-widgets protocol and jsTree.,https://github.com/QuantStack/ipytree,,widgets,19,True,ipytree,QuantStack/ipytree,conda-forge/ipytree,https://github.com/QuantStack/ipytree,MIT,2018-09-15 13:17:27.000,2023-04-24 13:24:17.000000,2022-11-23 09:34:00,111.0,,28.0,8.0,45.0,22.0,17.0,114.0,2022-08-24 12:33:17.000,0.2.2,,69151.0,12.0,19.0,2.0,9.0,https://pypi.org/project/ipytree,67237.0,https://anaconda.org/conda-forge/ipytree,2022-08-23 16:41:28.248,74325.0,3.0,ipytree,2022-08-23 15:13:01.647,15.0,https://www.npmjs.com/package/ipytree,2022-08-23 15:10:34.820,2.0,457.0,,,,,,,,,,,,,,,,
160,JupyterLab HDF5,"Open and explore HDF5 files in JupyterLab. Can handle very large (TB) sized files, and datasets of any dimensionality.",https://github.com/jupyterlab/jupyterlab-hdf5,,lab-extensions,19,True,jupyterlab_hdf,jupyterlab/jupyterlab-hdf5,,https://github.com/jupyterlab/jupyterlab-hdf5,BSD-3-Clause,2018-10-02 18:20:20.000,2023-03-22 16:23:31.000000,2023-03-22 16:23:31,361.0,17.0,22.0,16.0,93.0,12.0,36.0,111.0,2023-03-08 10:22:18.488,1.3.0,,1431.0,15.0,5.0,2.0,7.0,https://pypi.org/project/jupyterlab_hdf,887.0,,,,2.0,@jupyterlab/hdf5,2022-02-21 09:56:23.000,1.0,https://www.npmjs.com/package/@jupyterlab/hdf5,2023-03-08 10:22:05.823,2.0,544.0,,,,,,,3.0,,,,,,,,,
161,Altair Viewer,Viewer for Altair and Vega-Lite visualizations.,https://github.com/altair-viz/altair_viewer,,widgets,19,True,altair_viewer,altair-viz/altair_viewer,conda-forge/altair_viewer,https://github.com/altair-viz/altair_viewer,BSD-3-Clause,2019-12-20 14:32:14.000,2023-05-02 16:09:30.000000,2023-05-02 16:09:30,149.0,30.0,11.0,6.0,48.0,4.0,5.0,59.0,2021-11-06 14:18:45.000,0.4.0,,59417.0,7.0,14.0,,3.0,https://pypi.org/project/altair_viewer,57851.0,https://anaconda.org/conda-forge/altair_viewer,2021-11-06 17:22:59.600,64223.0,3.0,,2021-11-06 14:16:09.000,14.0,,,,,,,,,,,,,,,,,,,,
162,IRuby,Official gem repository: Ruby kernel for Jupyter/IPython Notebook.,https://github.com/SciRuby/iruby,,kernels,18,True,,SciRuby/iruby,,https://github.com/SciRuby/iruby,MIT,2015-03-03 18:05:50.000,2023-02-03 04:21:45.711711,2023-01-11 06:17:33,718.0,,20.0,31.0,140.0,45.0,143.0,768.0,2021-08-17 16:20:34.000,0.7.4,15.0,19.0,10.0,181.0,181.0,46.0,,,,,,3.0,,,,,,,,rubydata/datascience-notebook,https://hub.docker.com/r/rubydata/datascience-notebook,2023-02-03 04:21:45.711711,5.0,1891.0,,,,,,,,,iruby,,
163,ipysheet,Jupyter handsontable integration.,https://github.com/QuantStack/ipysheet,,widgets,18,True,ipysheet,QuantStack/ipysheet,conda-forge/ipysheet,https://github.com/QuantStack/ipysheet,MIT,2017-07-10 13:46:31.000,2023-03-15 06:08:24.000000,2022-11-28 09:20:26,307.0,,63.0,19.0,122.0,62.0,60.0,519.0,,,,49953.0,15.0,6.0,6.0,13.0,https://pypi.org/project/ipysheet,47001.0,https://anaconda.org/conda-forge/ipysheet,2022-11-28 14:56:47.302,81696.0,3.0,ipysheet,,,https://www.npmjs.com/package/ipysheet,,,1411.0,,,,,,,,,,,,,,,,
164,nb_conda_kernels,Package for managing conda environment-based kernels inside of Jupyter.,https://github.com/Anaconda-Platform/nb_conda_kernels,,kernels,18,False,,Anaconda-Platform/nb_conda_kernels,conda-forge/nb_conda_kernels,https://github.com/Anaconda-Platform/nb_conda_kernels,BSD-3-Clause,2015-12-10 16:11:42.000,2022-10-29 16:32:26.594000,2020-11-30 15:55:07,335.0,,59.0,20.0,86.0,40.0,100.0,516.0,2020-09-05 22:35:32.000,2.3.0,,12814.0,11.0,,,14.0,,,https://anaconda.org/conda-forge/nb_conda_kernels,2022-10-29 16:32:26.594,1076384.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
165,JupyterWith,Declarative and reproducible Jupyter environments - powered by Nix.,https://github.com/tweag/jupyenv,,notebook-tools,18,True,,tweag/jupyterWith,,https://github.com/tweag/jupyenv,MIT,2018-12-18 10:10:58.000,2023-05-28 00:09:19.000000,2023-03-17 16:46:08,577.0,14.0,99.0,32.0,312.0,34.0,148.0,468.0,2023-01-31 21:35:49.000,0.1.0,,,1.0,,,36.0,,,,,,3.0,,,,,,,,,,,,,tweag/jupyenv,,,,,,,,,,
166,JupyterLab Google Drive,Cloud storage for JupyterLab using Google Drive.,https://github.com/jupyterlab/jupyterlab-google-drive,,lab-extensions,18,False,,jupyterlab/jupyterlab-google-drive,,https://github.com/jupyterlab/jupyterlab-google-drive,BSD-3-Clause,2016-12-17 01:40:45.000,2023-01-05 16:15:48.000000,2022-04-28 22:45:01,515.0,,72.0,36.0,118.0,32.0,66.0,388.0,2018-02-05 18:54:22.000,0.11.1,,901.0,12.0,4.0,4.0,16.0,,,,,,2.0,@jupyterlab/google-drive,,,https://www.npmjs.com/package/@jupyterlab/google-drive,,,901.0,,,,,,,,,,,,,,,,
167,JupyterLab System Monitor,JupyterLab extension to display system metrics.,https://github.com/jtpio/jupyterlab-system-monitor,,lab-extensions,18,False,jupyterlab-system-monitor,jtpio/jupyterlab-system-monitor,conda-forge/jupyterlab-system-monitor,https://github.com/jtpio/jupyterlab-system-monitor,BSD-3-Clause,2019-07-13 12:31:51.000,2023-03-04 10:34:32.000000,2022-02-15 08:27:46,176.0,,29.0,5.0,59.0,23.0,21.0,284.0,2021-02-04 22:39:49.000,0.8.0,,14882.0,2.0,2.0,2.0,7.0,https://pypi.org/project/jupyterlab-system-monitor,10319.0,https://anaconda.org/conda-forge/jupyterlab-system-monitor,2022-09-02 08:38:51.500,23643.0,2.0,jupyterlab-system-monitor,,,https://www.npmjs.com/package/jupyterlab-system-monitor,,,3719.0,,,,,,,,,,,,,,,,
168,HTTP-over-WebSocket,Jupyter support for HTTP-over-ws.,https://github.com/googlecolab/jupyter_http_over_ws,,jupyter-extensions,18,False,jupyter_http_over_ws,googlecolab/jupyter_http_over_ws,conda-forge/jupyter_http_over_ws,https://github.com/googlecolab/jupyter_http_over_ws,Apache-2.0,2018-03-26 22:52:45.000,2022-11-09 21:06:35.000000,2021-08-30 21:48:24,31.0,,48.0,12.0,2.0,21.0,9.0,259.0,2020-03-12 16:09:39.000,0.0.8,,43727.0,10.0,19.0,,3.0,https://pypi.org/project/jupyter_http_over_ws,42759.0,https://anaconda.org/conda-forge/jupyter_http_over_ws,2020-08-13 15:32:13.531,32934.0,3.0,,2020-03-12 16:09:39.000,19.0,,,,,,,,,,,4.0,,,,,,,,,
169,SAS Kernel,A Jupyter kernel for SAS. This opens up all the data manipulation and analytics capabilities of your SAS system within..,https://github.com/sassoftware/sas_kernel,,kernels,18,True,sas_kernel,sassoftware/sas_kernel,anaconda/sas_kernel,https://github.com/sassoftware/sas_kernel,Apache-2.0,2016-04-01 16:19:50.000,2023-03-16 13:29:59.912000,2023-01-13 14:14:25,262.0,,77.0,36.0,29.0,,58.0,193.0,2022-12-01 21:51:02.000,2.4.13,,4253.0,15.0,,,11.0,https://pypi.org/project/sas_kernel,4222.0,https://anaconda.org/anaconda/sas_kernel,2023-03-16 13:29:59.912,2138.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
170,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,18,False,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2022-05-23 15:47:39.000000,2020-05-24 13:16:16,426.0,,35.0,28.0,58.0,59.0,34.0,174.0,2019-10-03 18:34:08.594,3.0.0,,120.0,17.0,19.0,12.0,9.0,,,,,,2.0,@jupyterlab/dataregistry-extension,,,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,2019-10-03 18:34:08.594,7.0,120.0,,,,,,,,,,,,,,,,
171,JupyterLab Spellchecker,Spellchecker for JupyterLab notebook markdown cells and file editor.,https://github.com/jupyterlab-contrib/spellchecker,,lab-extensions,18,True,jupyterlab-spellchecker,jupyterlab-contrib/spellchecker,conda-forge/jupyterlab-spellchecker,https://github.com/jupyterlab-contrib/spellchecker,BSD-3-Clause,2018-04-02 07:47:30.000,2023-03-15 10:58:02.000000,2023-02-08 18:57:02,180.0,,17.0,8.0,75.0,15.0,36.0,173.0,2023-02-08 19:00:19.000,0.7.3,,6927.0,8.0,3.0,3.0,6.0,https://pypi.org/project/jupyterlab-spellchecker,2959.0,https://anaconda.org/conda-forge/jupyterlab-spellchecker,2023-03-09 08:15:57.373,78055.0,2.0,@ijmbarr/jupyterlab_spellchecker,,,https://www.npmjs.com/package/@ijmbarr/jupyterlab_spellchecker,,,966.0,,,,,,,,,,,,,,,,
172,nbgallery,Enterprise Jupyter notebook sharing and collaboration app.,https://github.com/nbgallery/nbgallery,,notebook-sharing,18,True,,nbgallery/nbgallery,,https://github.com/nbgallery/nbgallery,MIT,2017-01-10 19:18:40.000,2023-05-30 17:34:44.000000,2023-05-24 18:01:32,1597.0,15.0,26.0,10.0,414.0,44.0,398.0,147.0,,,,2193.0,,,,20.0,,,,,,3.0,,,,,,,,nbgallery/nbgallery,https://hub.docker.com/r/nbgallery/nbgallery,2023-05-16 17:02:40.330980,3.0,168863.0,,,,,,,,,,,
173,ipylab,Control JupyterLab from Python Notebooks with Jupyter Widgets.,https://github.com/jtpio/ipylab,,lab-extensions,18,True,ipylab,jtpio/ipylab,conda-forge/ipylab,https://github.com/jtpio/ipylab,BSD-3-Clause,2019-11-15 19:52:12.000,2023-04-26 07:46:29.000000,2023-04-26 07:46:28,220.0,11.0,11.0,7.0,82.0,17.0,20.0,145.0,2023-03-30 06:21:21.000,0.7.1,92.0,19808.0,14.0,2.0,2.0,7.0,https://pypi.org/project/ipylab,18845.0,https://anaconda.org/conda-forge/ipylab,2023-03-30 15:24:01.581,21342.0,2.0,ipylab,,,https://www.npmjs.com/package/ipylab,,,465.0,,,,,,,,,,,,,,,,
