,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,npm_latest_release_published_at,npm_dependent_project_count,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,bitbucket_id
172,jupyter-fs,A filesystem-like contents manager for multiple backends in Jupyter.,https://github.com/jpmorganchase/jupyter-fs,,lab-extensions,18,True,jupyter-fs,jpmorganchase/jupyter-fs,conda-forge/jupyter-fs,https://github.com/jpmorganchase/jupyter-fs,Apache-2.0,2019-09-24 17:44:10.000,2023-10-10 21:03:28.000000,2023-06-06 09:31:44,407.0,,31.0,14.0,113.0,13.0,50.0,165.0,2021-06-04 01:03:11.000,0.3.1,,522.0,7.0,4.0,4.0,13.0,https://pypi.org/project/jupyter-fs,298.0,https://anaconda.org/conda-forge/jupyter-fs,2023-06-16 19:22:50.491,8317.0,2.0,,,,,2021-06-04 01:03:11.000,,,,,,,,,,,,,,,,,,,
173,Content Management,Jupyter Content Management Extensions.,https://github.com/jupyter-incubator/contentmanagement,,jupyter-extensions,18,False,jupyter_cms,jupyter-incubator/contentmanagement,conda-forge/jupyter_cms,https://github.com/jupyter-incubator/contentmanagement,BSD-3-Clause,2015-09-21 15:41:02.000,2023-10-06 09:59:54.551000,2018-06-11 01:51:34,136.0,,27.0,22.0,32.0,7.0,20.0,77.0,2017-04-05 01:49:01.000,0.7.0,,2638.0,12.0,20.0,14.0,8.0,https://pypi.org/project/jupyter_cms,248.0,https://anaconda.org/conda-forge/jupyter_cms,2023-10-06 09:59:54.551,93241.0,3.0,,,,,2017-04-05 01:49:01.000,6.0,,,,,,,,,,,,,,,,,,
174,jupyterlab-sos,"Jupyterlab extension for SoS Polyglot Notebook and Workflow Engine, allows multiple kernels in one notebook.",https://github.com/vatlab/jupyterlab-sos,,lab-extensions,18,True,jupyterlab-sos,vatlab/jupyterlab-sos,conda-forge/jupyterlab-sos,https://github.com/vatlab/jupyterlab-sos,BSD-3-Clause,2018-03-20 16:07:18.000,2023-09-30 16:16:46.000000,2023-09-30 16:16:13,333.0,6.0,6.0,4.0,5.0,10.0,52.0,64.0,2023-09-15 05:23:19.000,0.10.0,,1238.0,43.0,4.0,2.0,4.0,https://pypi.org/project/jupyterlab-sos,531.0,https://anaconda.org/conda-forge/jupyterlab-sos,2023-06-16 16:17:01.985,31075.0,2.0,jupyterlab-sos,https://www.npmjs.com/package/jupyterlab-sos,73.0,,2023-09-15 05:23:19.000,,,,,,,,2021-01-14 22:31:15.129,2.0,,,,,,,,,,
175,Ansible Kernel,Jupyter Notebook Kernel for running Ansible Tasks and Playbooks.,https://github.com/ansible/ansible-jupyter-kernel,,kernels,17,False,ansible-kernel,ansible/ansible-jupyter-kernel,conda-forge/ansible-kernel,https://github.com/ansible/ansible-jupyter-kernel,,2018-06-26 14:28:02.000,2023-06-16 16:15:33.557000,2022-02-11 15:18:23,212.0,,56.0,21.0,51.0,16.0,29.0,521.0,,,,1398.0,2.0,11.0,11.0,10.0,https://pypi.org/project/ansible-kernel,82.0,https://anaconda.org/conda-forge/ansible-kernel,2023-06-16 16:15:33.557,14445.0,3.0,,,,benthomasson/ansible-jupyter-kernel,,,https://hub.docker.com/r/benthomasson/ansible-jupyter-kernel,2018-12-12 18:42:31.528778,2.0,66549.0,,,,,,,,,,,,,,
176,nbtutor,Visualize Python code execution (line-by-line) in Jupyter Notebook cells.,https://github.com/lgpage/nbtutor,,widgets,17,False,nbtutor,lgpage/nbtutor,conda-forge/nbtutor,https://github.com/lgpage/nbtutor,,2016-11-07 14:08:25.000,2023-10-06 22:24:16.000000,2023-04-14 07:14:04,272.0,,39.0,20.0,112.0,13.0,24.0,444.0,,,,1789.0,4.0,38.0,38.0,4.0,https://pypi.org/project/nbtutor,85.0,https://anaconda.org/conda-forge/nbtutor,2023-06-16 13:17:46.107,139782.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
177,Lantern,Data exploration glue.,https://github.com/timkpaine/lantern,,lab-extensions,17,True,pylantern,timkpaine/lantern,,https://github.com/timkpaine/lantern,Apache-2.0,2017-07-15 03:49:10.000,2023-09-04 14:11:31.000000,2023-09-04 14:11:30,536.0,2.0,20.0,14.0,26.0,11.0,188.0,339.0,2020-02-02 22:32:28.000,0.1.6,,45.0,26.0,21.0,19.0,3.0,https://pypi.org/project/pylantern,45.0,,,,3.0,,,,,2020-02-02 22:31:39.000,2.0,,,,,,,,,,,,,,,,,,
178,naas,"Schedule notebooks, run them like APIs, expose securely your assets: Jupyter as a viable Production environment.",https://github.com/jupyter-naas/naas,,notebook-tools,17,True,naas,jupyter-naas/naas,,https://github.com/jupyter-naas/naas,AGPL-3.0,2020-09-20 17:09:00.000,2023-10-05 20:24:57.000000,2023-09-27 15:53:24,1830.0,32.0,20.0,5.0,244.0,38.0,144.0,257.0,,,,2314.0,,4.0,4.0,20.0,https://pypi.org/project/naas,2314.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
179,Jupyter Bokeh,An extension for rendering Bokeh content in JupyterLab notebooks.,https://github.com/bokeh/jupyter_bokeh,,lab-extensions,17,True,jupyter-bokeh,bokeh/jupyter_bokeh,conda-forge/jupyter_bokeh,https://github.com/bokeh/jupyter_bokeh,BSD-3-Clause,2017-08-14 23:01:29.000,2023-07-19 08:30:24.000000,2023-03-14 10:04:23,136.0,,45.0,21.0,94.0,18.0,82.0,227.0,,,,51020.0,8.0,2.0,2.0,18.0,https://pypi.org/project/jupyter-bokeh,43823.0,https://anaconda.org/conda-forge/jupyter_bokeh,2023-06-16 19:19:30.692,69852.0,3.0,@bokeh/jupyter_bokeh,https://www.npmjs.com/package/@bokeh/jupyter_bokeh,5451.0,,,,,,,,,,,,,,,,,,,,,
180,JupyterLab Data Explorer,First class datasets in JupyterLab.,https://github.com/jupyterlab/jupyterlab-data-explorer,,lab-extensions,17,True,,jupyterlab/jupyterlab-data-explorer,,https://github.com/jupyterlab/jupyterlab-data-explorer,BSD-3-Clause,2019-01-03 21:57:42.000,2023-08-08 06:45:57.000000,2023-08-08 06:45:57,427.0,1.0,35.0,26.0,58.0,,93.0,176.0,,,,279.0,,13.0,13.0,10.0,,,,,,3.0,@jupyterlab/dataregistry-extension,https://www.npmjs.com/package/@jupyterlab/dataregistry-extension,279.0,,,,,,,,,,,,,,,,,,,,,
181,SciJava Kernel,[RETIRED] Try IJava or BeakerX.,https://github.com/scijava/scijava-jupyter-kernel,,kernels,17,False,,scijava/scijava-jupyter-kernel,conda-forge/scijava-jupyter-kernel,https://github.com/scijava/scijava-jupyter-kernel,Apache-2.0,2017-01-31 01:16:24.000,2023-06-16 13:18:35.621000,2022-02-03 17:25:03,404.0,,41.0,20.0,22.0,14.0,80.0,174.0,2017-06-02 21:19:27.000,0.5.0,106.0,1258.0,15.0,,,9.0,,,https://anaconda.org/conda-forge/scijava-jupyter-kernel,2023-06-16 13:18:35.621,98108.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
