,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,trending,cran_id,go_id,gem_id,pypi,hex_id,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,39,True,ipython/ipython,ipython,conda-forge/ipython,https://github.com/ipython/ipython,2010-05-10 04:46:06.000000,2021-01-11 16:29:33.000000,2021-01-11 16:29:32.000000,4130.0,1460.0,5138.0,14605.0,24824.0,2020-10-30 18:15:35.000000,7.19.0,316762.0,10831156.0,99.0,236511.0,172589.0,794.0,https://pypi.org/project/ipython,BSD-3-Clause,2020-10-30 18:15:35.000000,63922.0,10738562.0,https://anaconda.org/conda-forge/ipython,2021-01-03 18:35:39.838000,5074999.0,1.0,,,,,,,,,,,,,,,,,,
2,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,39,True,jupyter/notebook,notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,2015-04-09 06:58:03.000000,2021-01-13 23:56:45.000000,2021-01-13 23:56:44.000000,3258.0,1998.0,2172.0,8715.0,11991.0,2021-01-13 23:58:54.000000,6.2.0,238.0,9065316.0,69.0,104511.0,88425.0,540.0,https://pypi.org/project/notebook,BSD-3-Clause,2021-01-13 16:31:49.000000,16086.0,8830376.0,https://anaconda.org/conda-forge/jupyter,2019-03-26 08:57:37.135000,1168732.0,1.0,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2021-01-02 20:17:57.583790,774.0,14530604.0,,,,,,,,,,,,,
3,JupyterLab,JupyterLab computational environment.,https://github.com/jupyterlab/jupyterlab,,notebook-environments,37,True,jupyterlab/jupyterlab,jupyterlab,conda-forge/jupyterlab,https://github.com/jupyterlab/jupyterlab,2016-06-03 20:09:17.000000,2021-01-14 07:58:02.000000,2021-01-14 07:16:12.000000,1872.0,1753.0,3647.0,10683.0,22681.0,2021-01-12 22:15:04.000000,3.0.4,,525439.0,324.0,34735.0,32347.0,383.0,https://pypi.org/project/jupyterlab,BSD-3-Clause,2021-01-12 22:15:04.000000,2388.0,468923.0,https://anaconda.org/conda-forge/jupyterlab,2021-01-13 01:27:14.902000,3108421.0,1.0,,,,,,,,,,,,,,,,,,
4,ipywidgets,Interactive Widgets for the Jupyter Notebook.,https://github.com/jupyter-widgets/ipywidgets,,widgets,36,True,jupyter-widgets/ipywidgets,ipywidgets,conda-forge/ipywidgets,https://github.com/jupyter-widgets/ipywidgets,2015-04-17 20:29:25.000000,2021-01-12 14:36:22.000000,2021-01-06 13:31:25.000000,712.0,540.0,1066.0,2083.0,6691.0,2020-12-27 00:41:53.000000,7.6.3,,8618939.0,119.0,98707.0,83713.0,167.0,https://pypi.org/project/ipywidgets,BSD-3-Clause,2021-01-07 00:25:28.000000,14932.0,8439790.0,https://anaconda.org/conda-forge/ipywidgets,2021-01-07 05:03:39.883000,2590356.0,1.0,,,,,,@jupyter-widgets/jupyterlab-manager,https://www.npmjs.com/package/@jupyter-widgets/jupyterlab-manager,2020-12-24 17:55:12.997000,62.0,133705.0,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,35,True,jupyter/nbconvert,nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,2015-04-09 06:58:23.000000,2020-12-30 05:02:15.000000,2020-12-19 19:50:04.000000,407.0,327.0,507.0,1059.0,3674.0,2020-10-02 22:38:52.000000,6.0.7,,9273024.0,35.0,102628.0,87244.0,208.0,https://pypi.org/project/nbconvert,BSD-3-Clause,2020-10-02 22:38:52.000000,15384.0,9218079.0,https://anaconda.org/conda-forge/nbconvert,2020-11-15 01:15:45.173000,3131916.0,1.0,,,,,,,,,,,,,,,,,,
6,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,34,True,ipython/ipykernel,ipykernel,ipykernel,https://github.com/ipython/ipykernel,2015-04-09 07:44:14.000000,2021-01-11 17:11:44.000000,2021-01-11 17:11:34.000000,246.0,165.0,129.0,363.0,2067.0,2020-12-12 01:43:03.000000,5.4.2,,8476067.0,41.0,113956.0,96368.0,122.0,https://pypi.org/project/ipykernel,BSD-3-Clause,2020-12-11 22:22:41.000000,17588.0,8474369.0,https://anaconda.org/anaconda/ipykernel,2020-12-08 22:57:34.883000,105312.0,1.0,,,,,,,,,,,0.0,,,,,,,
7,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,33,True,jupyter/qtconsole,qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,2015-04-09 06:59:10.000000,2021-01-12 16:03:19.000000,2021-01-12 16:03:18.000000,146.0,85.0,181.0,242.0,1742.0,2020-11-24 17:28:10.000000,5.0.1,,7165601.0,30.0,80029.0,67667.0,107.0,https://pypi.org/project/qtconsole,BSD-3-Clause,2020-11-24 17:28:10.000000,12362.0,7137241.0,https://anaconda.org/conda-forge/qtconsole,2020-11-25 05:36:12.863000,1588183.0,1.0,,,,,,,,,,,,,,,,,,
8,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,32,True,jupyterhub/jupyterhub,jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,2014-06-12 23:22:10.000000,2021-01-14 12:54:34.000000,2021-01-14 11:01:24.000000,1512.0,393.0,1522.0,6314.0,4493.0,2020-12-11 11:09:47.000000,1.3.0,,88773.0,42.0,1661.0,1151.0,235.0,https://pypi.org/project/jupyterhub,BSD-3-Clause,2020-12-11 11:09:47.000000,510.0,59047.0,https://anaconda.org/conda-forge/jupyterhub,2020-12-11 12:21:27.289000,313939.0,2.0,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2021-01-14 11:18:58.375221,274.0,1905524.0,,,,,,,,,,,,,
9,Jupyter Client,Jupyter protocol client APIs.,https://github.com/jupyter/jupyter_client,,notebook-tools,31,True,jupyter/jupyter_client,jupyter-client,,https://github.com/jupyter/jupyter_client,2015-04-09 06:57:29.000000,2021-01-12 18:24:51.000000,2021-01-12 18:24:50.000000,199.0,124.0,137.0,204.0,1854.0,2021-01-09 09:14:50.000000,6.1.11,,8903090.0,35.0,3594.0,,100.0,https://pypi.org/project/jupyter-client,BSD-3-Clause,2021-01-09 09:14:50.000000,3594.0,8903090.0,,,,1.0,,,,,,,,,,,,,,,,,,
