,name,description,homepage,resource,category,projectrank,show,pypi_id,github_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,pypi_latest_release_published_at,pypi_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,conda_dependent_project_count,updated_github_id,trending,pypi,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,gem_id,hex_id,docs_url,bitbucket_id
0,best-of-ml-python - Data Visualization,Python-based data visualization libraries.,https://github.com/ml-tooling/best-of-ml-python#data-visualization,True,widgets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ipython,"Official repository for IPython itself. Other repos in the IPython organization contain things like the website,..",https://github.com/ipython/ipython,,components,46,True,ipython,ipython/ipython,conda-forge/ipython,https://github.com/ipython/ipython,BSD-3-Clause,2010-05-10 04:46:06.000,2024-01-10 08:42:48.000000,2024-01-10 08:42:48,26831.0,122.0,4286.0,755.0,6993.0,1578.0,5648.0,16052.0,2021-01-30 02:36:56.000,7.18.1,320721.0,29725670.0,94.0,491540.0,491540.0,978.0,https://pypi.org/project/ipython,29054597.0,https://anaconda.org/conda-forge/ipython,2024-01-08 13:16:04.705,25403315.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,bokeh,"Interactive Data Visualization in the browser, from Python.",https://github.com/bokeh/bokeh,,widgets,45,True,bokeh,bokeh/bokeh,conda-forge/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-01-11 09:56:45.000000,2024-01-09 19:27:41,20358.0,102.0,4202.0,443.0,5945.0,761.0,6798.0,18478.0,2024-01-08 19:07:44.000,3.3.3,,3975277.0,190.0,85345.0,81532.0,680.0,https://pypi.org/project/bokeh,3658966.0,https://anaconda.org/conda-forge/bokeh,2024-01-08 21:10:28.843,13255841.0,1.0,@bokeh/bokehjs,2024-01-08 19:07:44.000,3803.0,https://www.npmjs.com/package/@bokeh/bokehjs,2024-01-08 19:07:35.508,10.0,8036.0,,,,,,,,,,,,,,,,,,
3,Jupyter,Jupyter Interactive Notebook.,https://github.com/jupyter/notebook,,notebook-environments,42,True,notebook,jupyter/notebook,conda-forge/jupyter,https://github.com/jupyter/notebook,BSD-3-Clause,2015-04-09 06:58:03.000,2024-01-11 08:12:53.000000,2024-01-02 08:27:32,13496.0,35.0,4430.0,321.0,2367.0,2003.0,2794.0,11905.0,2023-10-17 12:42:06.000,7.0.6,16037.0,16123552.0,141.0,9871.0,806.0,645.0,https://pypi.org/project/notebook,15708500.0,https://anaconda.org/conda-forge/jupyter,2023-10-02 14:08:37.561,3995650.0,1.0,,2023-12-27 09:48:58.000,9065.0,,,,,jupyter/datascience-notebook,https://hub.docker.com/r/jupyter/datascience-notebook,2023-10-20 20:06:40.614669,1064.0,31906781.0,,,,,,,,,,,,,
4,panel,Panel: The powerful data exploration & web app framework for Python.,https://github.com/holoviz/panel,,widgets,39,True,panel,holoviz/panel,conda-forge/panel,https://github.com/holoviz/panel,BSD-3-Clause,2018-08-23 12:14:24.000,2024-01-11 14:43:25.000000,2024-01-11 14:43:24,3532.0,277.0,406.0,52.0,3052.0,926.0,2194.0,3463.0,2023-12-20 18:22:28.571,1.3.6,,623013.0,350.0,9872.0,9673.0,154.0,https://pypi.org/project/panel,547973.0,https://anaconda.org/conda-forge/panel,2023-12-22 13:29:20.614,1253585.0,1.0,@holoviz/panel,2023-12-20 18:20:26.000,196.0,https://www.npmjs.com/package/@holoviz/panel,2023-12-20 18:22:28.571,3.0,45887.0,,,,,,,,,,,,,,,,,,
5,nbconvert,Jupyter Notebook Conversion.,https://github.com/jupyter/nbconvert,,notebook-sharing,39,True,nbconvert,jupyter/nbconvert,conda-forge/nbconvert,https://github.com/jupyter/nbconvert,BSD-3-Clause,2015-04-09 06:58:23.000,2024-01-11 12:07:41.000000,2024-01-11 12:07:32,4035.0,29.0,547.0,51.0,954.0,517.0,641.0,1608.0,2024-01-11 12:07:48.000,7.14.1,901.0,19662973.0,94.0,257186.0,248479.0,270.0,https://pypi.org/project/nbconvert,19246833.0,https://anaconda.org/conda-forge/nbconvert,2024-01-02 01:37:14.931,15812724.0,1.0,,2024-01-11 12:07:41.000,8707.0,,,,,,,,,,,,,,,,,,,,,,
6,JupyterHub,Multi-user server for Jupyter notebooks.,https://github.com/jupyterhub/jupyterhub,,notebook-environments,38,True,jupyterhub,jupyterhub/jupyterhub,conda-forge/jupyterhub,https://github.com/jupyterhub/jupyterhub,BSD-3-Clause,2014-06-12 23:22:10.000,2024-01-11 09:26:42.083666,2024-01-11 09:21:18,7192.0,85.0,1974.0,267.0,2248.0,180.0,2182.0,7790.0,2023-08-10 09:30:00.000,4.0.2,,184234.0,74.0,3062.0,2669.0,354.0,https://pypi.org/project/jupyterhub,115738.0,https://anaconda.org/conda-forge/jupyterhub,2023-08-10 13:04:08.285,1038607.0,1.0,,2023-08-10 09:30:00.000,393.0,,,,,jupyterhub/jupyterhub,https://hub.docker.com/r/jupyterhub/jupyterhub,2024-01-11 09:26:42.083666,330.0,5033387.0,,,,,,,,,,,,,
7,IPython Kernel,IPython Kernel for Jupyter.,https://github.com/ipython/ipykernel,,kernels,38,True,ipykernel,ipython/ipykernel,ipykernel,https://github.com/ipython/ipykernel,BSD-3-Clause,2015-04-09 07:44:14.000,2024-01-11 12:44:05.000000,2023-12-26 15:00:52,2886.0,21.0,352.0,37.0,703.0,262.0,236.0,596.0,2023-12-26 15:01:09.000,6.28.0,2042.0,15992185.0,127.0,332555.0,321986.0,176.0,https://pypi.org/project/ipykernel,15983483.0,https://anaconda.org/anaconda/ipykernel,2023-08-08 23:38:38.779,846645.0,1.0,,2023-12-26 15:01:00.000,10530.0,,,,,,,,,,39.0,,,,,,,,,,,,
8,pandas-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames.,https://github.com/ydataai/ydata-profiling,,widgets,37,True,pandas-profiling,pandas-profiling/pandas-profiling,conda-forge/pandas-profiling,https://github.com/ydataai/ydata-profiling,MIT,2016-01-09 23:47:55.000,2024-01-08 15:17:31.000000,2024-01-08 12:18:12,1370.0,19.0,1607.0,150.0,742.0,199.0,552.0,11660.0,2024-01-08 15:03:46.000,4.6.4,34.0,563336.0,55.0,2401.0,2205.0,117.0,https://pypi.org/project/pandas-profiling,558673.0,https://anaconda.org/conda-forge/pandas-profiling,2023-06-16 13:22:30.453,415088.0,1.0,,2023-02-03 17:59:40.571,196.0,,,,,,,,,,,ydataai/ydata-profiling,,,,,,,,,,,
9,qtconsole,Jupyter Qt Console.,https://github.com/jupyter/qtconsole,,others,37,True,qtconsole,jupyter/qtconsole,conda-forge/qtconsole,https://github.com/jupyter/qtconsole,BSD-3-Clause,2015-04-09 06:59:10.000,2023-11-25 20:30:31.000000,2023-11-25 20:30:31,1971.0,21.0,198.0,23.0,261.0,108.0,229.0,385.0,2023-11-15 22:59:37.000,5.5.1,,4033544.0,48.0,166452.0,160067.0,122.0,https://pypi.org/project/qtconsole,3926521.0,https://anaconda.org/conda-forge/qtconsole,2023-11-16 21:13:55.750,4602022.0,1.0,,2023-11-15 22:59:37.000,6385.0,,,,,,,,,,,,,,,,,,,,,,
