,name,description,homepage,resource,category,projectrank,show,github_id,pypi_id,conda_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,license,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_dependent_project_count,updated_github_id,cran_id,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi,gem_id,hex_id,bitbucket_id
17,Perspective,"A data visualization and analytics component, especially well-suited for large and/or streaming datasets.",https://github.com/finos/perspective,,lab-extensions,32,True,finos/perspective,perspective-python,,https://github.com/finos/perspective,2017-11-02 16:27:54.000000,2022-01-07 18:07:44.000000,2022-01-06 21:41:52.000000,4989.0,216.0,428.0,98.0,1155.0,70.0,419.0,4130.0,2022-01-06 01:42:23.000000,1.1.0,,4747.0,61.0,230.0,221.0,65.0,https://pypi.org/project/perspective-python,Apache-2.0,2022-01-06 01:42:23.000000,9.0,3030.0,,,,1.0,,,,,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,2022-01-05 23:51:27.806000,,1717.0,,,,,,,,,,,
18,jupyter-matplotlib,Matplotlib Jupyter Integration.,https://github.com/matplotlib/ipympl,,widgets,32,True,matplotlib/ipympl,ipympl,,https://github.com/matplotlib/ipympl,2016-07-21 14:38:56.000000,2022-01-05 15:58:10.000000,2022-01-05 15:58:10.000000,423.0,53.0,173.0,41.0,189.0,95.0,131.0,1208.0,2022-01-04 10:17:36.000000,0.8.5,,103213.0,42.0,2425.0,2355.0,25.0,https://pypi.org/project/ipympl,BSD-3-Clause,2022-01-04 10:23:04.000000,70.0,58544.0,,,,1.0,,,,,,,jupyter-matplotlib,https://www.npmjs.com/package/jupyter-matplotlib,2021-12-15 15:55:53.489000,,44669.0,,,,,,,,,,,
19,ipyleaflet,A Jupyter - Leaflet.js bridge.,https://github.com/jupyter-widgets/ipyleaflet,,widgets,32,True,jupyter-widgets/ipyleaflet,ipyleaflet,conda-forge/ipyleaflet,https://github.com/jupyter-widgets/ipyleaflet,2014-05-07 16:32:10.000000,2021-12-22 09:30:54.000000,2021-12-22 09:30:53.000000,986.0,34.0,316.0,66.0,452.0,181.0,285.0,1208.0,2021-12-06 12:34:17.000000,0.15.0,,90036.0,72.0,1473.0,1369.0,73.0,https://pypi.org/project/ipyleaflet,MIT,2021-12-06 12:34:17.000000,102.0,42783.0,https://anaconda.org/conda-forge/ipyleaflet,2021-12-09 18:45:12.043000,785709.0,1.0,,,,,,,jupyter-leaflet,https://www.npmjs.com/package/jupyter-leaflet,2021-12-06 12:32:39.669000,2.0,35699.0,,,,,,,,,,,
20,nbformat,Reference implementation of the Jupyter Notebook format.,https://github.com/jupyter/nbformat,,notebook-tools,32,True,jupyter/nbformat,nbformat,conda-forge/nbformat,https://github.com/jupyter/nbformat,2015-04-09 01:07:29.000000,2022-01-07 01:58:37.000000,2021-12-17 08:10:00.000000,756.0,4.0,118.0,23.0,132.0,44.0,65.0,157.0,2021-04-02 04:40:44.000000,5.1.3,,13438835.0,22.0,145051.0,136547.0,60.0,https://pypi.org/project/nbformat,BSD-3-Clause,2021-04-02 04:40:44.000000,8504.0,13338796.0,https://anaconda.org/conda-forge/nbformat,2021-04-02 17:08:52.492000,6902739.0,1.0,,,,,,,,,,,,,,,,,,,,,,
21,nbclient,A client library for executing notebooks. Formally nbconverts ExecutePreprocessor.,https://github.com/jupyter/nbclient,,notebook-tools,32,True,jupyter/nbclient,nbclient,conda-forge/nbclient,https://github.com/jupyter/nbclient,2020-01-13 17:29:49.000000,2022-01-13 01:31:32.000000,2022-01-10 09:00:19.000000,252.0,43.0,39.0,9.0,117.0,32.0,54.0,84.0,2021-11-19 09:12:41.000000,0.5.9,10.0,12750235.0,19.0,40069.0,40007.0,29.0,https://pypi.org/project/nbclient,BSD-3-Clause,2021-11-19 09:12:37.000000,62.0,12639532.0,https://anaconda.org/conda-forge/nbclient,2021-11-19 13:08:45.492000,2546126.0,1.0,,,,,,,,,,,,,,,,,,,,,,
22,nteract,The interactive computing suite for you!.,https://github.com/nteract/nteract,,notebook-environments,31,True,nteract/nteract,nteract_on_jupyter,,https://github.com/nteract/nteract,2015-06-15 23:21:49.000000,2022-01-04 19:02:49.000000,2022-01-04 19:02:10.000000,11110.0,30.0,558.0,161.0,3899.0,162.0,1518.0,5729.0,2021-01-26 05:18:38.000000,0.28.0,1292540.0,21880.0,66.0,5.0,,177.0,https://pypi.org/project/nteract_on_jupyter,BSD-3-Clause,2019-07-16 03:59:16.000000,5.0,2873.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
23,bqplot,Plotting library for IPython/Jupyter notebooks.,https://github.com/bqplot/bqplot,,widgets,31,True,bqplot/bqplot,bqplot,conda-forge/bqplot,https://github.com/bqplot/bqplot,2015-09-26 04:02:18.000000,2022-01-11 13:29:04.000000,2022-01-07 12:45:26.000000,3445.0,23.0,457.0,108.0,882.0,222.0,354.0,3221.0,2022-01-07 12:38:39.000000,0.12.32,,77764.0,99.0,129.0,29.0,55.0,https://pypi.org/project/bqplot,Apache-2.0,2022-01-07 12:37:12.000000,90.0,46913.0,https://anaconda.org/conda-forge/bqplot,2022-01-07 13:02:09.921000,912505.0,2.0,,,,,,,bqplot,https://www.npmjs.com/package/bqplot,2022-01-07 12:35:41.247000,10.0,17432.0,,,,,,,,,,,
24,Docker Stacks,Ready-to-run Docker images containing Jupyter applications.,https://github.com/jupyter/docker-stacks,,notebook-environments,30,True,jupyter/docker-stacks,,,https://github.com/jupyter/docker-stacks,2015-07-15 15:30:00.000000,2022-01-12 23:27:48.000000,2022-01-12 12:39:49.000000,2447.0,156.0,2560.0,192.0,854.0,71.0,643.0,6769.0,,,,1026956.0,,,,211.0,,BSD-3-Clause,,,,,,,2.0,,jupyter/scipy-notebook,https://hub.docker.com/r/jupyter/scipy-notebook,2022-01-12 15:36:09.854889,331.0,80102608.0,,,,,,,,,,,,,,,,
25,Contrib NBextensions,A collection of various notebook extensions for Jupyter.,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,,jupyter-extensions,30,True,ipython-contrib/jupyter_contrib_nbextensions,jupyter_contrib_nbextensions,,https://github.com/ipython-contrib/jupyter_contrib_nbextensions,2013-07-13 17:05:16.000000,2021-12-03 07:25:49.000000,2021-04-06 05:51:36.000000,2608.0,,750.0,142.0,824.0,333.0,450.0,4751.0,2019-01-02 12:23:07.000000,0.5.1,,266141.0,16.0,251.0,,126.0,https://pypi.org/project/jupyter_contrib_nbextensions,BSD-3-Clause,2018-03-28 11:04:12.000000,251.0,266141.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
26,nbdev,Create delightful python projects using Jupyter Notebooks.,https://github.com/fastai/nbdev,,notebook-tools,30,True,fastai/nbdev,nbdev,,https://github.com/fastai/nbdev,2019-11-18 17:37:35.000000,2022-01-09 00:29:38.000000,2021-12-08 16:25:05.000000,1286.0,10.0,318.0,39.0,218.0,80.0,270.0,3094.0,2021-10-29 23:19:41.000000,1.1.23,,41607.0,95.0,58.0,,61.0,https://pypi.org/project/nbdev,Apache-2.0,2021-10-29 23:19:41.000000,58.0,41607.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
